state	county	town	dot_district	huc12_name	ej_criteria	featureid
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473434
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473435
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473448
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473449
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473554
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473555
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473682
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473683
Vermont	Windham	Sunderland	VT-1	East Branch Deerfield River	None	201473794
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473794
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	201473794
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	201473794
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473895
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473846
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473847
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473795
Vermont	Windham	Sunderland	VT-1	East Branch Deerfield River	None	201473806
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473806
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	201473806
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	201473806
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473805
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201474006
Vermont	Windham	Sunderland	VT-1	East Branch Deerfield River	None	201473826
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	201473826
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	201473826
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	201473826
