layer	short_heading	long_heading	unit	direction	data_type	scale	display	rank	tooltip	conversion
crossings	impassability	Impassability Score		reverse	decimal	linear	not yet	5	The aquatic impassability score for the road-stream crossing (0 = Completely Passable, 1 = Impassable)	
crossings	bar_type	Structure Type		reverse	text	categorical	no	17	Type of stream crossing structure	{"1":"Culvert","2":"Bridge","3":"Dam"}
crossings	jurisdiction	Road Jurisdiction		forward	text	categorical	no	18	Stewardship of road at crossing	{"0":"Unaccepted", "1":"Mass DOT", "2":"City/Town", "6":"State Park/Forest"}
crossings	nhs	National Highway System		forward	text	categorical	no	19	National Highway System status of road at crossing	{"0":"Not on NHS","1":"NHS-Interstate","14":"NHS-Other"}
crossings	drain_bar	Drainage (connected)	KM^2	forward	decimal	log	no		Drainage area (square kilometers) of all upstream reaches to first encountered road-stream crossing	
crossings	drain_tot	Drainage Area	KM^2	forward	decimal	log	no	20	Drainage area (square kilometers) of all upstream reaches	
crossings	strkm_bar	Habitat (connected)	KM	forward	decimal	log	no		Stream length (kilometers) of all upstream reaches to first encountered road-stream crossing	
crossings	strkm_tot	Stream Length	KM	forward	decimal	log	no	21	Stream length (kilometers) of all upstream reaches	
crossings	upstr_bars	Structure Count		reverse	integer	log	no	22	Total number of upstream structures crossing the stream	
crossings	Slope_perc	Stream Slope	%	forward	decimal	log	no	23	The slope of the stream reach containing the crossing	
crossings	Q2_m3_s	Q2 Discharge	M^3/s	forward	decimal	log	no	24	The predicted two-year high discharge value determined using the Jacob's regime equation for gravel dominated stream beds	
crossings	w_W_m2_ST	Unit Stream Power	W/M	forward	decimal	log	no	25	The total energy exerted by the stream divided by the width of the stream determined using Q2 discharge and bankful width	
crossings	hydro_rof	Hydrologic Risk		reverse	decimal	linear	not yet	15	Hydrologic risk of failure probability for stream crossing (0 = Good, 1 = Poor)	
crossings	struct_rof	Structural Risk		reverse	decimal	linear	not yet	14	Structural risk of failure probability for road-stream crossing (0 = Good, 1 = Poor)	
crossings	geo_rof	Geomorphic Risk		reverse	decimal	linear	not yet	16	Geomorphic risk of failure probability for road-stream crossing (0 = Good, 1 = Poor)	
