layer	cfGroup	short_heading	long_heading	unit	direction	data_type	scale	display	rank	tooltip	conversion
crossings	core	cross_prior	Crossing Prioritization		reverse	decimal	linear	yes	0	Crossing prioritization score that combines the maximum value of the Ecological Disruption and Transportation Vulnerability scores (0 = Low, 1 = High)	
crossings	core	eco_dis	Ecological Disruption		reverse	decimal	linear	yes	1	Integrated metric that combines overall Connectivity Restoration Potential (for all streams) and Current Coldwater (16 C) Restoration Potential (for cold water streams)	
crossings	core	trans_vuln	Transportation Vulnerability		reverse	decimal	linear	yes	2	Transportation system vulnerability score that combines the Overall EMS delay score (criticality) and Overall Risk of Failure score (risk)	
crossings	core	max_rof	Overall Risk		reverse	decimal	linear	yes	3	Maximum value for hydraulic (All models, current conditions), structural, and geomorphic risk of failure (0 = Low, 1 = High)	
crossings	core	int_del	Overall EMS Delay		reverse	decimal	linear	yes	4	Integrated metric that combines frequency of use by EMS and potential delays for each trip (0 = Least affected, 1 = Most affected) (sum of all logistically converted trip delays transformed by the natural logarithm and scaled to most affected crossing)	
crossings	eco	impass	Impassability Score		reverse	decimal	linear	not yet	5	The aquatic impassability score for the road-stream crossing (0 = Completely Passable, 1 = Impassable)	
crossings	eco	deltaln	Connectivity Loss		forward	decimal	linear	not yet	6	Loss of aquatic connectivity caused by crossing impassibility (0 = Low, 1 = High)	
crossings	eco	effectln	Connectivity Restoration Potential		forward	decimal	linear	not yet	7	Potential for improved aquatic connectivity via crossing replacement (connectivity loss weighted by habitat quality) (0 = Low, 1 = High)	
crossings	eco	effln16Cur	Coldwater (16 C) Restoration		forward	decimal	linear	not yet	8	Potential for improved aquatic connectivity of coldwater streams (below 16 C average summer temperature) via crossing replacement (connectivity loss weighted by habitat quality) (0 = Low, 1 = High)	
crossings	eco	effln18Cur	Coldwater (18 C) Restoration		forward	decimal	linear	not yet	9	Potential for improved aquatic connectivity of coldwater streams (below 18 C average summer temperature) via crossing replacement (connectivity loss weighted by habitat quality) (0 = Low, 1 = High)	
crossings	eco	effln20Cur	Coldwater (20 C) Restoration		forward	decimal	linear	not yet	10	Potential for improved aquatic connectivity of coldwater streams (below 20 C average summer temperature) via crossing replacement (connectivity loss weighted by habitat quality) (0 = Low, 1 = High)	
