unique_id	impassability	delta_scaled	effect_scaled	effect_scaled_16	effect_scaled_18	effect_scaled_20	hydro_rof	struct_rof	geo_rof	max_rof	ave_del	ave_aff_del	max_del	ln_comp_del	int_eco_dis	trans_vuln	cross_prior	bar_type	jurisdiction	nhs	drain_tot	strkm_tot	upstr_bars	Slope_perc	Q2_m3_s	w_W_m2_ST	Observed_Date	crossing_id	featureid
1670	1	NA	NA	NA	NA	NA	0.931388424	NA	NA	0.931388424	NA	NA	NA	NA	NA	0.931388424	0.475068304	3	NA	NA	609.1875	629.9085729	331	4.8299999	222.8913326	1923.97022	NA	MA_MA00043	201477569
1901	1	NA	NA	NA	NA	NA	0.603680791	NA	NA	0.603680791	NA	NA	NA	NA	NA	0.603680791	0.307916227	3	NA	NA	10.4247	13.88599717	11	0	6.880286909	0	NA	MA_MA00044	201477884
1932	1	NA	NA	NA	NA	NA	0.12024492	NA	NA	0.12024492	NA	NA	NA	NA	NA	0.621681782	0.317097896	3	NA	NA	0.5634	1.648231966	2	11.8000002	0.331902927	181.3811649	NA	MA_MA00047	201478033
1767	1	NA	NA	NA	NA	NA	0.204375085	NA	NA	0.204375085	NA	NA	NA	NA	NA	0.707246178	0.360741269	3	NA	NA	13.8924	21.74404719	21	6.1500001	6.749687842	426.3061499	NA	MA_MA00048	201477773
1766	1	NA	NA	NA	NA	NA	0.341655251	NA	NA	0.341655251	NA	NA	NA	NA	NA	0.509724706	0.25999255	3	NA	NA	13.3812	21.03249241	19	0	6.087171163	0	NA	MA_MA00049	201477773
1965	1	NA	NA	NA	NA	NA	0.386780906	NA	NA	0.386780906	NA	NA	NA	NA	NA	0.599446255	0.30575634	3	0	0	2.6883	3.590261246	2	27.6700001	1.869559271	1009.446742	NA	MA_MA00222	201477873
2789	1	NA	NA	NA	NA	NA	0.743449365	NA	NA	0.743449365	NA	NA	NA	NA	NA	0.743449365	0.379207235	3	2	0	3.5811	4.027912977	2	6.6399999	3.491817201	331.0537045	NA	MA_MA00310	201478753
2956	1	NA	NA	NA	NA	NA	0.510781964	NA	NA	0.510781964	NA	NA	NA	NA	NA	0.817850845	0.417156799	3	NA	NA	1.6704	2.325184386	2	3.29	1.705419333	114.6347043	NA	MA_MA00311	201479114
2440	0.5	NA	NA	NA	NA	NA	0.136043843	NA	NA	0.136043843	NA	NA	NA	NA	NA	0.780839141	0.398278438	3	NA	NA	1047.537	1158.061806	753	0.51	253.4210408	216.6187944	NA	MA_MA00460	201478436
2608	0.5	NA	NA	NA	NA	NA	0.103381938	NA	NA	0.103381938	NA	NA	NA	NA	NA	0.707122072	0.360677967	3	NA	NA	0.0261	0.116440016	1	0.98	329.4503227	474.59776	NA	MA_MA00461	201478592
