unique_id	bar_type	drain_tot	drain_bar	strkm_tot	strkm_bar	upstr_bars	slope_perc	Q2_m3_s	w_W_m2_ST	obs_date	jurisdiction	nhs	crossing_id	featureid
1	1	1.4112	1.4112	1.296089948	1.296089948	0	0	1.162766256	0	NA	NA	NA	xy4309151272955658	201473434
4	1	1.4571	1.4571	0.654412441	0.654412441	0	4.4400001	2.257726439	178.0013378	NA	NA	NA	xy4308447672955756	201473435
21	1	1.971	1.971	2.1403755	2.1403755	0	7.02	2.347151144	286.9539918	NA	NA	NA	xy4306254572994161	201473815
22	1	2.0484	0.0774	2.675806499	0.535430998	1	NA	NA	NA	NA	NA	NA	xy4306160972988036	201474006
25	1	0.9765	0.9765	0.714369591	0.714369591	0	3.3	1.538777078	109.221068	NA	NA	NA	xy4305996972952352	201473846
28	1	0.5796	0.5796	0.730858786	0.730858786	0	1.76	1.150432148	50.36719918	NA	NA	NA	xy4305756672939357	201473847
29	3	11.4363	8.568	9.51514956	7.564647172	2	1.78	9.811031154	148.758556	NA	NA	NA	VT_201.02	201473895
30	1	11.4516	0.0153	9.562299558	0.047149998	3	1.78	9.811031154	148.758556	NA	NA	NA	xy4306112972968401	201473895
36	1	0.009	0.009	0.061811263	0.061811263	0	NA	NA	NA	NA	NA	NA	xy4305778172988858	201474006
39	1	2.637	2.637	4.746584881	4.746584881	0	2.73	5.034916194	163.4419008	NA	NA	NA	xy4306162872987546	201474006
56	1	0.2376	0.2376	0.41677575	0.41677575	0	4.8400002	0.440967309	85.75376643	NA	NA	NA	xy4303162672984281	201474333
62	1	0.3186	0.3186	0.357354861	0.357354861	0	7.1500001	0.415851478	123.021156	NA	NA	NA	xy4300468872955488	201474430
65	1	1.7163	1.7163	1.163395294	1.163395294	0	2.3	2.201843091	91.05957975	NA	NA	NA	xy4301245772963758	201474424
83	1	2.7747	2.7747	3.886531226	3.886531226	0	NA	NA	NA	NA	NA	NA	xy4299743372929091	201474588
94	1	3.7251	3.7251	3.950691312	3.950691312	0	3.1400001	3.31887506	152.6264299	NA	NA	NA	xy4300745373015616	201474642
96	1	1.998	1.5255	2.657329597	1.736992084	1	3.49	2.014559261	132.1661025	NA	NA	NA	xy4298728972889017	201474653
97	1	2.6028	0.6048	2.70877738	0.051447783	2	0.25	2.052883235	9.557113946	NA	NA	NA	xy4298701572888556	201474653
98	1	3.1653	0.5625	3.207415039	0.498637658	3	1.76	3.61166206	89.24231965	NA	NA	NA	xy4298338572885373	201474653
99	1	3.8988	0.0828	3.778363303	0.157733226	5	1.76	3.61166206	89.24231965	NA	NA	NA	xy4297952772881621	201474653
101	1	3.816	0.6507	3.620630076	0.413215037	4	1.76	3.61166206	89.24231965	NA	NA	NA	xy4298047372882983	201474653
103	1	0.4725	0.4725	0.920337514	0.920337514	0	10.5299997	0.617284062	220.737197	NA	NA	NA	xy4298938472892990	201474653
108	1	1.2636	1.2636	1.899171784	1.899171784	0	5.9200001	1.316107497	181.2057711	NA	NA	NA	xy4297860772878534	201475020
110	1	0.2916	0.2916	0.551974634	0.551974634	0	2.29	0.726515856	52.0790022	NA	NA	NA	xy4299841672953797	201474695
116	1	0.0504	0.0504	0.231540934	0.231540934	0	7.25	0.138015077	71.86309282	NA	NA	NA	xy4297509672846929	201474705
118	1	6.39	2.6649	7.759733941	3.809042629	1	3.1199999	2.77197343	138.5969716	NA	NA	NA	xy4300395273019443	201474721
121	1	0.8694	0.8694	0.952067066	0.952067066	0	7.25	1.827622105	261.5085177	NA	NA	NA	xy4300346473024569	201474720
124	1	0.7002	0.7002	1.031108012	1.031108012	0	4.0700002	0.956452349	106.2015188	NA	NA	NA	xy4298880172954030	201474728
126	1	0.3969	0.3969	0.912475709	0.912475709	0	4.54	0.531228678	88.28791006	NA	NA	NA	xy4298987572952728	201474728
128	1	9.1089	1.8495	11.30596885	2.594167841	3	3.3099999	8.265389455	253.9009223	NA	NA	NA	xy4299285073011868	201474778
132	1	0.3312	0.3312	0.372052438	0.372052438	0	5.4200001	1.027103645	146.5585161	NA	NA	NA	xy4298341572935354	201474796
135	1	2.6082	2.6082	2.858384575	2.858384575	0	5.7399998	4.432842074	322.4464768	NA	NA	NA	xy4297084872897253	201474806
139	1	0.864	0.864	0.252407542	0.252407542	0	6.4400001	1.262301094	193.0509672	NA	NA	NA	xy4297985972895795	201474807
140	1	1.3419	0.3231	1.12776746	0.423423857	2	7.1500001	1.308189344	218.1955969	NA	NA	NA	xy4297249272894923	201474807
141	1	1.0188	0.1548	0.704343604	0.451936062	1	6.4400001	1.262301094	193.0509672	NA	NA	NA	xy4297607672895461	201474807
148	1	0.3924	0.3924	0.485947833	0.485947833	0	6.5900002	0.427170724	114.9187243	NA	NA	NA	xy4299545172976800	201474820
151	1	4.4757	4.4253	5.306120468	5.074579534	1	2.6700001	4.014606555	142.7372745	NA	NA	NA	xy4296353272838098	201474849
