unique_id	cross_prior	eco_dis	trans_vuln	max_rof	int_del	impass	deltaln	effectln	effln16Cur	effln18Cur	effln20Cur	effln22Cur	effln16Fut	effln18Fut	effln20Fut	effln22Fut	anad_rest	struct_rof	geo_rof	hydCurAll	hydCurStat	hydCurPhys	hydMCAll	hydMCPhys	ave_del	aff_del	max_del	bar_type	drain_tot	drain_bar	strkm_tot	strkm_bar	upstr_bars	slope_perc	Q2_m3_s	w_W_m2_ST	obs_date	jurisdiction	nhs	crossing_id	featureid
1	0.41176604	0.737453258	NA	NA	NA	0.383	0.726808534	0.737453258	0.727272727	0.804993675	0.804993675	0.804993675	0.888888889	0.727272727	0.804993675	0.804993675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.4112	1.4112	1.296089948	1.296089948	0	0	1.162766256	0	NA	NA	NA	xy4309151272955658	201473434
4	NA	NA	NA	NA	NA	0.452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.4571	1.4571	0.654412441	0.654412441	0	4.4400001	2.257726439	178.0013378	NA	NA	NA	xy4308447672955756	201473435
21	0.456841818	0.818181818	NA	NA	NA	0.362	0.771197609	0.777960242	0.818181818	0.849451767	0.849451767	0.849451767	0	0.818181818	0.849451767	0.849451767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.971	1.971	2.1403755	2.1403755	0	7.02	2.347151144	286.9539918	NA	NA	NA	xy4306254572994161	201473815
22	0.456841818	0.818181818	NA	NA	NA	0.329	0.76219998	0.768101817	0.818181818	0.838625808	0.838625808	0.838625808	0.888888889	0.818181818	0.838625808	0.838625808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.0484	0.0774	2.675806499	0.535430998	1	NA	NA	NA	NA	NA	NA	xy4306160972988036	201474006
25	0.262960321	0.470949341	NA	NA	NA	0.349	0.514364712	0.470949341	0.454545455	0.514319524	0.514319524	0.514319524	0.555555556	0.454545455	0.514319524	0.514319524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.9765	0.9765	0.714369591	0.714369591	0	3.3	1.538777078	109.221068	NA	NA	NA	xy4305996972952352	201473846
28	0.355321414	0.636363636	NA	NA	NA	0.353	0.639163974	0.630927402	0.636363636	0.688455521	0.688455521	0.688455521	0.777777778	0.636363636	0.688455521	0.688455521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.5796	0.5796	0.730858786	0.730858786	0	1.76	1.150432148	50.36719918	NA	NA	NA	xy4305756672939357	201473847
29	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.649598358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	11.4363	8.568	9.51514956	7.564647172	2	1.78	9.811031154	148.758556	NA	NA	NA	VT_201.02	201473895
30	0.355321414	0.636363636	NA	NA	NA	0.285	0.5901182	0.595930965	0.636363636	0.650159004	0.650159004	0.650159004	0.666666667	0.636363636	0.650159004	0.650159004	0.180837666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	11.4516	0.0153	9.562299558	0.047149998	3	1.78	9.811031154	148.758556	NA	NA	NA	xy4306112972968401	201473895
36	NA	NA	NA	NA	NA	0.315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.009	0.009	0.061811263	0.061811263	0	NA	NA	NA	NA	NA	NA	xy4305778172988858	201474006
39	0.414069439	0.741578535	NA	NA	NA	0.239	0.732721612	0.741578535	0.727272727	0.809444686	0.809444686	0.809444686	0.888888889	0.727272727	0.809444686	0.809444686	0.239019581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.637	2.637	4.746584881	4.746584881	0	2.73	5.034916194	163.4419008	NA	NA	NA	xy4306162872987546	201474006
56	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.2376	0.2376	0.41677575	0.41677575	0	4.8400002	0.440967309	85.75376643	NA	NA	NA	xy4303162672984281	201474333
62	0.406081616	0.727272727	NA	NA	NA	0.35	0.678151348	0.682871135	0.727272727	0.745422559	0.745422559	0.745422559	0	0.727272727	0.745422559	0.745422559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.3186	0.3186	0.357354861	0.357354861	0	7.1500001	0.415851478	123.021156	NA	NA	NA	xy4300468872955488	201474430
65	0.410288829	0.734807644	NA	NA	NA	0.327	0.726392489	0.734807644	0.727272727	0.802987093	0.802987093	0.802987093	0	0.727272727	0.802987093	0.802987093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.7163	1.7163	1.163395294	1.163395294	0	2.3	2.201843091	91.05957975	NA	NA	NA	xy4301245772963758	201474424
83	0.406081616	0.727272727	NA	NA	NA	0.286	0.684644862	0.691004231	0.727272727	0.754371321	0.754371321	0.754371321	0.777777778	0.727272727	0.754371321	0.754371321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.7747	2.7747	3.886531226	3.886531226	0	NA	NA	NA	NA	NA	NA	xy4299743372929091	201474588
94	NA	NA	NA	NA	NA	0.271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.7251	3.7251	3.950691312	3.950691312	0	3.1400001	3.31887506	152.6264299	NA	NA	NA	xy4300745373015616	201474642
96	0.304561212	0.545454545	NA	NA	NA	0.31	0.597154908	0.517058801	0.545454545	0.56444565	0.56444565	0.56444565	0	0.545454545	0.56444565	0.56444565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.998	1.5255	2.657329597	1.736992084	1	3.49	2.014559261	132.1661025	NA	NA	NA	xy4298728972889017	201474653
97	0.304561212	0.545454545	NA	NA	NA	0.3	0.574126009	0.492395706	0.545454545	0.53747929	0.53747929	0.53747929	0	0.545454545	0.53747929	0.53747929	0.149140854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.6028	0.6048	2.70877738	0.051447783	2	0.25	2.052883235	9.557113946	NA	NA	NA	xy4298701572888556	201474653
