unique_id	cross_prior	eco_dis	trans_vuln	max_rof	int_del	impass	deltaln	effectln	effectln14	effectln16	effectln18	effectln20	effectln22	anad_rest	struct_rof	geo_rof	hydCurAll	hydCurStat	hydCurPhys	hydMCAll	hydMCPhys	ave_del	aff_del	max_del	crossing_id	featureid
1	0.798744652	0.737453258	0.737453258	NA	NA	0.383	0.726808534	0.737453258	0.888888889	0.727272727	0.804993675	0.804993675	0.804993675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4309151272955658	201473434
4	NA	NA	NA	NA	NA	0.452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4308447672955756	201473435
21	0.886182743	0.818181818	0.818181818	NA	NA	0.362	0.771197609	0.777960242	0	0.818181818	0.849451767	0.849451767	0.849451767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4306254572994161	201473815
22	0.886182743	0.818181818	0.818181818	NA	NA	0.329	0.76219998	0.768101817	0.888888889	0.818181818	0.838625808	0.838625808	0.838625808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4306160972988036	201474006
25	0.510090997	0.470949341	0.470949341	NA	NA	0.349	0.514364712	0.470949341	0.555555556	0.454545455	0.514319524	0.514319524	0.514319524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4305996972952352	201473846
28	0.689253245	0.636363636	0.636363636	NA	NA	0.353	0.639163974	0.630927402	0.777777778	0.636363636	0.688455521	0.688455521	0.688455521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4305756672939357	201473847
29	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.649598358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VT_201.02	201473895
30	0.689253245	0.636363636	0.636363636	NA	NA	0.285	0.5901182	0.595930965	0.666666667	0.636363636	0.650159004	0.650159004	0.650159004	0.180837666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4306112972968401	201473895
36	NA	NA	NA	NA	NA	0.315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4305778172988858	201474006
39	0.80321279	0.741578535	0.741578535	NA	NA	0.239	0.732721612	0.741578535	0.888888889	0.727272727	0.809444686	0.809444686	0.809444686	0.239019581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4306162872987546	201474006
56	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4303162672984281	201474333
62	0.787717994	0.727272727	0.727272727	NA	NA	0.35	0.678151348	0.682871135	0	0.727272727	0.745422559	0.745422559	0.745422559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4300468872955488	201474430
65	0.795879155	0.734807644	0.734807644	NA	NA	0.327	0.726392489	0.734807644	0	0.727272727	0.802987093	0.802987093	0.802987093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4301245772963758	201474424
83	0.787717994	0.727272727	0.727272727	NA	NA	0.286	0.684644862	0.691004231	0.777777778	0.727272727	0.754371321	0.754371321	0.754371321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4299743372929091	201474588
94	NA	NA	NA	NA	NA	0.271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4300745373015616	201474642
96	0.590788496	0.545454545	0.545454545	NA	NA	0.31	0.597154908	0.517058801	0	0.545454545	0.56444565	0.56444565	0.56444565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4298728972889017	201474653
97	0.590788496	0.545454545	0.545454545	NA	NA	0.3	0.574126009	0.492395706	0	0.545454545	0.53747929	0.53747929	0.53747929	0.149140854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4298701572888556	201474653
98	0.604005899	0.557657716	0.557657716	NA	NA	0.359	0.615086153	0.557657716	0	0.545454545	0.608897832	0.608897832	0.608897832	0.115475477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4298338572885373	201474653
99	0.700255552	0.646521685	0.646521685	NA	NA	0.305	0.683603804	0.646521685	0	0.636363636	0.706440258	0.706440258	0.706440258	0.205313864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4297952772881621	201474653
101	0.617608385	0.57021642	0.57021642	NA	NA	0.268	0.610738255	0.57021642	0	0.545454545	0.623159156	0.623159156	0.623159156	0.119605478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4298047372882983	201474653
103	0.689253245	0.636363636	0.636363636	NA	NA	0.412	0.671996072	0.619774652	0	0.636363636	0.676293453	0.676293453	0.676293453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4298938472892990	201474653
108	0.787717994	0.727272727	0.727272727	NA	NA	0.237	0.690881087	0.668089119	0.222222222	0.727272727	0.73003617	0.73003617	0.73003617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4297860772878534	201475020
110	NA	NA	NA	NA	NA	0.419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	xy4299841672953797	201474695
