score	bar_type	drain_bar	drain_tot	strkm_bar	strkm_tot	upstr_bars	str_order	observed_date	unique_id	featureid
0.617	1	1.4112	1.4112	1.296089948	1.296089948	0	1		1	201473434
0.548	1	1.4571	1.4571	0.654412441	0.654412441	0	1		4	201473435
0.638	1	1.971	1.971	2.1403755	2.1403755	0	2		21	201473815
0.671	1	0.0774	2.0484	0.535430998	2.675806499	1	2		22	201474006
0.651	1	0.9765	0.9765	0.714369591	0.714369591	0	1		25	201473846
0.647	1	0.5796	0.5796	0.730858786	0.730858786	0	1		28	201473847
0	2	8.568	11.4363	7.564647172	9.51514956	2	2		29	201473895
0.715	1	0.0153	11.4516	0.047149998	9.562299558	3	2		30	201473895
0.685	1	0.009	0.009	0.061811263	0.061811263	0	1		36	201474006
0.761	1	2.637	2.637	4.746584881	4.746584881	0	2		39	201474006
0	1	0.2376	0.2376	0.41677575	0.41677575	0	1		56	201474333
0.65	1	0.3186	0.3186	0.357354861	0.357354861	0	1		62	201474430
0.673	1	1.7163	1.7163	1.163395294	1.163395294	0	1		65	201474424
0.714	1	2.7747	2.7747	3.886531226	3.886531226	0	2		83	201474588
0.729	1	3.7251	3.7251	3.950691312	3.950691312	0	2		94	201474642
0.69	1	1.5255	1.998	1.736992084	2.657329597	1	2		96	201474653
0.7	1	0.6048	2.6028	0.051447783	2.70877738	2	2		97	201474653
0.641	1	0.5625	3.1653	0.498637658	3.207415039	3	2		98	201474653
0.695	1	0.0828	3.8988	0.157733226	3.778363303	5	2		99	201474653
0.732	1	0.6507	3.816	0.413215037	3.620630076	4	2		101	201474653
0.588	1	0.4725	0.4725	0.920337514	0.920337514	0	1		103	201474653
0.763	1	1.2636	1.2636	1.899171784	1.899171784	0	1		108	201475020
0.581	1	0.2916	0.2916	0.551974634	0.551974634	0	1		110	201474695
0.61	1	0.0504	0.0504	0.231540934	0.231540934	0	1		116	201474705
0.768	1	2.6649	6.39	3.809042629	7.759733941	1	3		118	201474721
0.565	1	0.8694	0.8694	0.952067066	0.952067066	0	1		121	201474720
0.653	1	0.7002	0.7002	1.031108012	1.031108012	0	1		124	201474728
0.628	1	0.3969	0.3969	0.912475709	0.912475709	0	1		126	201474728
0.841	1	1.8495	9.1089	2.594167841	11.30596885	3	3		128	201474778
0.598	1	0.3312	0.3312	0.372052438	0.372052438	0	1		132	201474796
0.626	1	2.6082	2.6082	2.858384575	2.858384575	0	2		135	201474806
0.63	1	0.864	0.864	0.252407542	0.252407542	0	1		139	201474807
0.523	1	0.3231	1.3419	0.423423857	1.12776746	2	1		140	201474807
0.557	1	0.1548	1.0188	0.451936062	0.704343604	1	1		141	201474807
0.627	1	0.3924	0.3924	0.485947833	0.485947833	0	1		148	201474820
0.76	1	4.4253	4.4757	5.074579534	5.306120468	1	2		151	201474849
0.729	1	0.2169	4.6926	0.144461877	5.450582345	2	2		152	201474849
0.592	1	1.4886	1.4886	0.879022916	0.879022916	0	1		155	201474850
0.71	1	3.591	3.591	4.013946441	4.013946441	0	1		157	201474860
0.644	1	0.3078	0.3078	0.779802617	0.779802617	0	1		164	201474868
0.928	1	41.706	69.3459	48.10850626	78.09614844	20	4		166	201474918
0	2	0	69.3459	0.006544809	78.10269325	21	4		167	201474918
0	1	0.036	69.3819	0.059642842	78.1623361	22	4		168	201474918
0.749	1	2.1699	3.1005	2.07180617	2.441216815	1	2		171	201474870
0.602	1	0.9306	0.9306	0.369410645	0.369410645	0	1		173	201474870
0.871	1	17.5608	18.1908	17.29832967	18.20105325	2	3		179	201474902
0.765	1	3.9483	3.9483	2.241215052	2.241215052	0	2		181	201474969
0.803	1	3.7053	7.6536	3.89967987	6.140894922	1	2		183	201474954
0	1	2.8224	10.476	2.524565501	8.665460423	2	2		184	201474954
0.64	1	0.774	0.774	2.347668819	2.347668819	0	2		190	201474932
0.571	1	0.1062	0.1062	0.566484962	0.566484962	0	1		192	201474932
0.79	1	6.21	6.21	5.119782668	5.119782668	0	2		196	201474942
0.733	1	1.4787	5.4288	1.247123501	5.233275537	4	2		206	201475065
0.864	1	2.4084	12.6657	1.36195968	8.260312072	8	2		207	201475065
0.821	1	0.6021	13.2678	0.959075591	9.219387663	9	2		208	201475065
0	2	1.4445	6.8733	0.317341705	5.550617242	5	2		210	201475065
0.853	1	0.0027	6.876	0.017956711	5.568573953	6	2		211	201475065
0.817	1	3.3813	10.2573	1.329778439	6.898352392	7	2		212	201475065
0.774	1	0.18	5.3424	0.499568765	6.177103851	7	2		214	201475020
0.869	1	0.7452	9.3852	0.943857164	10.21627995	10	2		215	201475020
0.918	1	0.9054	8.64	0.597773592	9.272422786	9	2		216	201475020
0.824	1	2.3922	7.7346	2.497545343	8.674649195	8	2		217	201475020
0.711	1	5.5656	5.5656	3.179846126	3.179846126	0	1		232	201475418
0.847	1	1.0737	7.2828	1.553097139	5.007087509	2	1		233	201475418
0.817	1	1.2951	8.5779	0.709617352	5.716704861	3	1		234	201475418
0.751	1	0.6435	6.2091	0.274144244	3.45399037	1	1		235	201475418
0.925	1	4.8843	36.6381	7.494479816	37.19656039	12	3		236	201475117
0.923	1	4.9464	23.1372	5.345889036	23.54694228	3	3		239	201475118
0.731	1	4.4937	4.4937	2.666696756	2.666696756	0	1		249	201475273
0.738	1	0.189	4.6827	0.277193615	2.943890372	1	1		250	201475273
0.739	1	0.1944	4.8771	0.194428691	3.138319062	2	1		251	201475273
0.711	1	0.09	4.9671	0.207733489	3.346052552	3	1		252	201475273
0.926	1	5.967	18.3582	8.434965972	19.8843539	5	3		253	201475272
0	1	1.4238	24.0768	2.145015812	21.58068342	21	3		263	201475317
0.943	1	0.3888	26.316	0.413471543	22.8328261	23	3		264	201475317
0.934	1	1.8504	25.9272	0.838671134	22.41935456	22	3		265	201475317
0.592	1	1.5489	1.5489	2.162864109	2.162864109	0	1		273	201475367
0.862	1	1.2339	8.5221	0.940916502	7.97205753	2	2		275	201475422
0.3	2	0.0873	8.6094	0.107072478	8.079130009	3	2		276	201475422
0.733	1	5.7393	5.7393	4.86827692	4.86827692	0	2		279	201475331
0.949	1	3.1113	55.6479	4.488862956	54.02592945	37	4		282	201475435
0.65	1	2.3355	2.3355	2.6786867	2.6786867	0	2		285	201475340
0.7	1	0.1809	2.5164	0.233911565	2.912598265	1	2		286	201475340
0.689	1	0.3789	2.8953	0.561235679	3.473833944	2	2		287	201475340
0.815	1	4.8519	7.3539	4.473261382	4.907172431	1	2		293	201475373
0.72	1	0.0459	9.1287	0.05542144	5.660266202	3	2		294	201475373
0.792	1	0.1314	9.2601	0.269399255	5.929665457	4	2		295	201475373
0.772	1	1.7289	9.0828	0.697672331	5.604844762	2	2		296	201475373
0.792	1	0	9.2601	0.00647945	5.936144906	5	2		297	201475373
0.848	1	0.1449	9.405	0.277743247	6.213888153	6	2		298	201475373
0.969	1	4.1967	73.377	3.314817445	70.27220827	24	4		299	201475364
0.634	1	2.502	2.502	0.433911049	0.433911049	0	1		304	201475462
