unique_id	score	bar_type	jurisdiction	nhs	drain_tot	strkm_tot	upstr_bars	Slope_perc	Q2_m3_s	w_W_m2_ST	hydro_rof	struct_rof	geo_rof	ave_del	ave_aff_del	max_del	ln_comp_del	Observed_Date	crossing_id	featureid
1	0.617	1	NA	NA	1.4112	1.296089948	0	0	1.162766256	0	0.354524702	0.977461983	NA	NA	NA	NA	NA	NA	xy4309151272955658	201473434
4	0.548	1	NA	NA	1.4571	0.654412441	0	4.4400001	2.257726439	178.0013378	0.445571524	0.51712833	NA	NA	NA	NA	NA	NA	xy4308447672955756	201473435
21	0.638	1	NA	NA	1.971	2.1403755	0	7.02	2.347151144	286.9539918	0.452371362	0.519904542	NA	NA	NA	NA	NA	NA	xy4306254572994161	201473815
22	0.671	1	NA	NA	2.0484	2.675806499	1	NA	NA	NA	0.499096215	0.642900648	NA	NA	NA	NA	NA	NA	xy4306160972988036	201474006
25	0.651	1	NA	NA	0.9765	0.714369591	0	3.3	1.538777078	109.221068	0.628885518	0.625911007	NA	NA	NA	NA	NA	NA	xy4305996972952352	201473846
28	0.647	1	NA	NA	0.5796	0.730858786	0	1.76	1.150432148	50.36719918	0.066086385	0.561161745	NA	NA	NA	NA	NA	NA	xy4305756672939357	201473847
29	0	3	NA	NA	11.4363	9.51514956	2	1.78	9.811031154	148.758556	0.066417811	0.274091773	NA	NA	NA	NA	NA	NA	VT_201.02	201473895
30	0.715	1	NA	NA	11.4516	9.562299558	3	1.78	9.811031154	148.758556	0.116633979	0.739847881	NA	NA	NA	NA	NA	NA	xy4306112972968401	201473895
36	0.685	1	NA	NA	0.009	0.061811263	0	NA	NA	NA	0.82866004	0.854274292	NA	NA	NA	NA	NA	NA	xy4305778172988858	201474006
39	0.761	1	NA	NA	2.637	4.746584881	0	2.73	5.034916194	163.4419008	0.070478652	0.543527355	NA	NA	NA	NA	NA	NA	xy4306162872987546	201474006
56	0	1	NA	NA	0.2376	0.41677575	0	4.8400002	0.440967309	85.75376643	0.43533359	0.84307465	NA	NA	NA	NA	NA	NA	xy4303162672984281	201474333
62	0.65	1	NA	NA	0.3186	0.357354861	0	7.1500001	0.415851478	123.021156	0.683361554	0.712685852	NA	NA	NA	NA	NA	NA	xy4300468872955488	201474430
65	0.673	1	NA	NA	1.7163	1.163395294	0	2.3	2.201843091	91.05957975	0.009055806	0.830573548	NA	NA	NA	NA	NA	NA	xy4301245772963758	201474424
83	0.714	1	NA	NA	2.7747	3.886531226	0	NA	NA	NA	0.989369699	0.229958484	NA	NA	NA	NA	NA	NA	xy4299743372929091	201474588
94	0.729	1	NA	NA	3.7251	3.950691312	0	3.1400001	3.31887506	152.6264299	0.332940669	0.163254505	NA	NA	NA	NA	NA	NA	xy4300745373015616	201474642
96	0.69	1	NA	NA	1.998	2.657329597	1	3.49	2.014559261	132.1661025	0.455694149	0.847744923	NA	NA	NA	NA	NA	NA	xy4298728972889017	201474653
97	0.7	1	NA	NA	2.6028	2.70877738	2	0.25	2.052883235	9.557113946	0.068036808	0.005041995	NA	NA	NA	NA	NA	NA	xy4298701572888556	201474653
98	0.641	1	NA	NA	3.1653	3.207415039	3	1.76	3.61166206	89.24231965	0.631138174	0.835479205	NA	NA	NA	NA	NA	NA	xy4298338572885373	201474653
99	0.695	1	NA	NA	3.8988	3.778363303	5	1.76	3.61166206	89.24231965	0.625844485	0.377462989	NA	NA	NA	NA	NA	NA	xy4297952772881621	201474653
101	0.732	1	NA	NA	3.816	3.620630076	4	1.76	3.61166206	89.24231965	0.385642312	0.749411991	NA	NA	NA	NA	NA	NA	xy4298047372882983	201474653
103	0.588	1	NA	NA	0.4725	0.920337514	0	10.5299997	0.617284062	220.737197	0.96414871	0.087966204	NA	NA	NA	NA	NA	NA	xy4298938472892990	201474653
108	0.763	1	NA	NA	1.2636	1.899171784	0	5.9200001	1.316107497	181.2057711	0.125319663	0.185046735	NA	NA	NA	NA	NA	NA	xy4297860772878534	201475020
110	0.581	1	NA	NA	0.2916	0.551974634	0	2.29	0.726515856	52.0790022	0.118295491	0.818539412	NA	NA	NA	NA	NA	NA	xy4299841672953797	201474695
116	0.61	1	NA	NA	0.0504	0.231540934	0	7.25	0.138015077	71.86309282	0.165640769	0.184824526	NA	NA	NA	NA	NA	NA	xy4297509672846929	201474705
