score	bar_type	drain_bar	drain_tot	strkm_bar	strkm_tot	upstr_bars	hydro_rof	struct_rof	geo_rof	unique_id	featureid
0.894	1	1.1619	35.9811	1.760567402	48.38159403	33	0.489719756	0.545454222	0.725565868	727	201476337
0.706	1	0.6525	3.9456	1.439925356	5.590869085	4	0.785110968	0.001957058	0.828706604	1305	201477101
0.585	1	0.0216	0.4239	0.023817176	0.287618026	1	0.667844373	0.259264973	0.213751946	1148	201476900
0.565	1	0.4023	0.4023	0.26380085	0.26380085	0	0.843506911	0.000923457	0.349493618	1147	201476900
0.641	1	0.5103	0.5103	0.624225796	0.624225796	0	0.450131095	0.639116181	0.363302702	907	201476579
0.609	1	0.3447	0.3447	0.059016485	0.059016485	0	0.580798367	0.056516578	0.659047967	734	201476348
0.668	1	0.0054	0.3501	0.024765446	0.083781931	1	0.583835369	0.808414366	0.270121233	735	201476348
0.575	1	0.5013	0.5013	0.857093774	0.857093774	0	0.814622521	0.710469439	0.650816562	1151	201476901
0.697	1	2.142	2.6523	3.789200017	4.413425813	1	0.037512307	0.464135707	0.39824824	964	201476645
0.703	1	2.7801	3.7971	5.60738967	6.901746299	5	0.818874334	0.581988044	0.120021537	1344	201477181
0.656	1	1.1925	1.5426	1.846876304	1.930658235	2	0.239892515	0.990310215	0.376170284	730	201476348
0.634	1	0.0819	0.0918	0.141802106	0.149644829	1	0.481411374	0.622815993	0.953376987	1349	201477130
0.66	1	0.0099	0.0099	0.007842724	0.007842724	0	0.970264787	0.995952859	0.432026612	1348	201477130
0.553	1	0.6957	0.6957	0.532051157	0.532051157	0	0.37393184	0.388508592	0.940940352	582	201476108
0.689	1	0.9297	0.9297	1.338089102	1.338089102	0	0.330793351	0.550574319	0.13386221	724	201476332
0.659	1	0.0207	0.9504	0.087979259	1.426068361	1	0.057019897	0.327460149	0.868234607	725	201476387
0.584	1	0.5643	1.26	0.598686566	1.130737723	1	0.777552317	0.957136691	0.199623129	583	201476108
0.638	1	1.746	2.052	3.526046725	4.482191692	2	0.682435967	0.454847075	0.458808249	1376	201477182
0.687	1	0.0621	0.0621	0.007905622	0.007905622	0	0.744252541	0.259212008	0.145596508	1381	201477182
0.5	1	0	0.3879	0.026555473	0.579472487	1	0.019471043	0.529844237	0.167221253	781	201476387
0.5	1	0.3879	0.3879	0.552917014	0.552917014	0	0.843642925	0.422721364	0.007255333	778	201476387
0.64	1	0.2439	0.2439	0.948239344	0.948239344	0	0.783953041	0.743215097	0.474368906	1383	201477182
0.585	1	0.018	0.4059	0.081636386	0.661108872	2	0.438219627	0.37356954	0.835721439	780	201476387
0.658	1	0.0288	0.4347	0.054725435	0.715834307	3	0.482068941	0.022244727	0.021905397	779	201476387
0.614	1	0.1971	0.1971	0.374494026	0.374494026	0	0.99260165	0.162910873	0.596374768	642	201476218
0.717	1	4.6449	5.9049	6.226069653	7.356807376	2	0.776822443	0.586579494	0.223057496	664	201476241
0.539	1	0.324	0.324	0.407825697	0.407825697	0	0.339939134	0.048438527	0.917844701	663	201476241
0.577	1	0.1575	0.1575	0.220896026	0.220896026	0	0.638743751	0.227997474	0.595766077	1111	201476847
0.602	1	0.6471	0.6471	0.867408121	0.867408121	0	0.046729127	0.796918958	0.841054328	1114	201476847
0.877	1	3.609	43.8561	5.090321686	58.86759326	44	0.742483501	0.678979773	0.159800551	775	201476387
0	1	0.6939	6.9228	0.784561036	8.549194109	4	0.878236889	0.916470886	0.988191796	659	201476241
0.62	1	0.6363	0.6363	0.770958434	0.770958434	0	0.37403668	0.894980549	0.227869843	1297	201477093
0	1	1.3824	1.3824	2.060603546	2.060603546	0	0.356598202	0.245996034	0.404250624	1105	201476841
0.902	1	0.3501	44.2062	0.40175619	59.26934945	45	0.534686776	0.693377398	0.068222326	776	201476387
0.618	1	0.3789	0.3789	0.214783751	0.214783751	0	0.847026048	0.971907438	0.970393393	963	201476645
0.831	1	0.2898	7.2126	0.55609509	9.105289199	5	0.236012836	0.789949061	0.754894869	661	201476241
0.639	1	1.9863	1.9863	3.344636953	3.344636953	0	0.296227162	0.139973882	0.835646037	1004	201476683
0.82	1	3.393	6.4242	5.108919289	9.737128854	3	0.191276649	0.572583157	0.985139571	956	201476645
0.598	1	0.1521	0.1521	0.30775444	0.30775444	0	0.258438823	0.396847767	0.696396102	1295	201477093
0.643	1	0.4797	1.116	0.851961366	1.622919801	1	0.235513991	0.840194559	0.419369465	1298	201477093
0	1	0.2808	7.4934	0.53709902	9.642388219	6	0.028066346	0.28637218	0.422929347	660	201476357
0.693	1	0.7209	2.7072	1.24074898	4.585385933	1	0.05815827	0.835221283	0.058865326	1001	201476683
0.878	1	2.4804	10.1709	4.735546861	14.75242911	8	0.665585833	0.844773122	0.630096489	750	201476357
0.648	1	1.0269	1.0269	1.318962483	1.318962483	0	0.449864668	0.238128367	0.530898067	753	201476373
0.774	1	0.5751	9.7065	0.826060269	15.14857506	6	0.608056336	0.390229191	0.055271015	1099	201476813
0.84	1	0.297	10.4679	0.507727516	15.26015662	9	0.9644505	0.278048422	0.497464062	751	201476357
0.679	1	0.1395	0.1395	0.036152181	0.036152181	0	0.006472056	0.886437427	0.550527834	757	201476374
0.629	1	0.4356	0.4356	0.684601619	0.684601619	0	0.552722117	0.127199863	0.62521518	979	201476652
0	1	2.8746	62.3889	4.161734072	85.69210119	63	0.08794347	0.745804302	0.196040724	977	201476652
0.824	1	0.4734	10.9413	0.902899186	16.16305581	10	0.616007744	0.378260273	0.641069072	749	201476357
0.964	1	1.3581	46.7307	2.456602161	63.08106627	48	0.835286468	0.678359261	0.911211377	740	201476374
0.97	1	0.0081	63.5472	0.044831041	87.37105925	65	0.060234851	0.128673965	0.845103118	973	201476652
0.871	1	1.1655	12.348	1.297732287	17.76469923	12	0.461439426	0.546344645	0.810085471	744	201476357
0.849	1	1.449	11.1555	2.035739727	17.18431478	7	0.576815904	0.758959031	0.372472927	1093	201476813
0.623	1	0.2412	0.2412	0.303911138	0.303911138	0	0.451837416	0.773533199	0.043412723	746	201476357
0.857	1	0.0252	11.1807	0.08456395	17.26887873	8	0.383156793	0.214301866	0.27113357	1098	201476813
0.857	1	0	11.1807	0.013627023	17.28250576	9	0.79023571	0.614459901	0.605953722	1097	201476813
0.894	1	0.1836	11.3643	0.255125141	17.5376309	10	0.512771051	0.567123522	0.984188244	1096	201476813
0.557	1	0.2763	0.5589	0.27436472	0.316788296	1	0.881977509	0.677970539	0.536440637	985	201476653
0.807	1	4.6962	6.8832	7.756436208	10.9053439	3	0.684393335	0.384926501	0.922901469	1250	201477014
0.636	1	0.2826	0.2826	0.042423576	0.042423576	0	0.580586652	0.462042101	0.615925231	984	201476653
0.578	1	0.207	0.207	0.152077689	0.152077689	0	0.821586937	0.515819702	0.553480816	1255	201477015
0.87	1	0.5895	11.9538	0.488766685	18.02639758	11	0.352449873	0.276371485	0.842096654	1095	201476813
0.71	1	0.0792	0.2862	0.308098111	0.4601758	1	0.699377878	0.887603908	0.485788357	1256	201477015
0.865	1	0.0648	12.0186	0.227319538	18.25371712	12	0.282063916	0.77400278	0.705105154	1094	201476813
0.589	1	0.1062	1.1772	0.203928511	2.041490958	2	0.924846294	0.337506497	0.016648063	1333	201477107
0.533	1	0.8298	1.071	1.355752273	1.837562446	1	0.04190861	0.00453062	0.41902887	1332	201477107
0.564	1	0.2412	0.2412	0.481810173	0.481810173	0	0.903609487	0.488771182	0.030900158	1329	201477107
0.569	1	0.846	0.846	0.908655686	0.908655686	0	0.494790245	0.549235253	0.34119501	1337	201477108
0.803	1	3.7053	7.6536	3.89967987	6.140894922	1	0.798639399	0.015561241	0.384063558	183	201474954
0.711	1	5.5656	5.5656	3.179846126	3.179846126	0	0.184969949	0.637889738	0.607280894	232	201475418
0.565	1	0.8694	0.8694	0.952067066	0.952067066	0	0.712386539	0.358493737	0.6581926	121	201474720
0.751	1	0.6435	6.2091	0.274144244	3.45399037	1	0.524384502	0.536595601	0.911909675	235	201475418
0.768	1	2.6649	6.39	3.809042629	7.759733941	1	0.585502458	0.255637613	0.685105014	118	201474721
0.729	1	3.7251	3.7251	3.950691312	3.950691312	0	0.332940669	0.163254505	0.136215217	94	201474642
0.847	1	1.0737	7.2828	1.553097139	5.007087509	2	0.809344127	0.323776506	0.168755055	233	201475418
0.841	1	1.8495	9.1089	2.594167841	11.30596885	3	0.449959377	0.327288526	0.623418249	128	201474778
0.71	1	3.591	3.591	4.013946441	4.013946441	0	0.465777812	0.518320759	0.371800026	157	201474860
0.817	1	1.2951	8.5779	0.709617352	5.716704861	3	0.053109808	0.534158891	0.642451608	234	201475418
0	1	2.8224	10.476	2.524565501	8.665460423	2	0.484646742	0.828078693	0.253441884	184	201474954
0.634	1	2.502	2.502	0.433911049	0.433911049	0	0.694334022	0.977165663	0.776078677	304	201475462
0	1	0.2376	0.2376	0.41677575	0.41677575	0	0.43533359	0.84307465	0.896010022	56	201474333
0.925	1	4.8843	36.6381	7.494479816	37.19656039	12	0.881012799	0.330627118	0.443868107	236	201475117
0.815	1	4.8519	7.3539	4.473261382	4.907172431	1	0.13537541	0.685870262	0.15887003	293	201475373
0.871	1	17.5608	18.1908	17.29832967	18.20105325	2	0.067345021	0.338582691	0.589632979	179	201474902
0.923	1	4.9464	23.1372	5.345889036	23.54694228	3	0.528854734	0.068971362	0.678759367	239	201475118
0.772	1	1.7289	9.0828	0.697672331	5.604844762	2	0.494960233	0.511529037	0.195848701	296	201475373
0.72	1	0.0459	9.1287	0.05542144	5.660266202	3	0.333890296	0.136926934	0.453231069	294	201475373
0.792	1	0.1314	9.2601	0.269399255	5.929665457	4	0.303597918	0.718199582	0.54124432	295	201475373
0.792	1	0	9.2601	0.00647945	5.936144906	5	0.363725579	0.759686112	0.641786639	297	201475373
0.627	1	0.3924	0.3924	0.485947833	0.485947833	0	0.411607458	0.582595553	0.166369509	148	201474820
0.848	1	0.1449	9.405	0.277743247	6.213888153	6	0.125921219	0.714585881	0.510706048	298	201475373
0.969	1	4.1967	73.377	3.314817445	70.27220827	24	0.167389694	0.387490541	0.879463691	299	201475364
0.673	1	1.7163	1.7163	1.163395294	1.163395294	0	0.009055806	0.830573548	0.90136106	65	201474424
0.967	1	30.042	43.3323	20.56610098	29.29442908	11	0.455117197	0.127018601	0.740798836	348	201475513
0.65	1	0.3186	0.3186	0.357354861	0.357354861	0	0.683361554	0.712685852	0.011874095	62	201474430
0.581	1	0.2916	0.2916	0.551974634	0.551974634	0	0.118295491	0.818539412	0.465853619	110	201474695
0.653	1	0.7002	0.7002	1.031108012	1.031108012	0	0.200160379	0.058365548	0.333730837	124	201474728
0.64	1	0.774	0.774	2.347668819	2.347668819	0	0.101733458	0.220411374	0.687336645	190	201474932
0.628	1	0.3969	0.3969	0.912475709	0.912475709	0	0.014426686	0.578284459	0.894112705	126	201474728
0.571	1	0.1062	0.1062	0.566484962	0.566484962	0	0.261709548	0.264511968	0.209300512	192	201474932
0.644	1	0.3078	0.3078	0.779802617	0.779802617	0	0.585857815	0.962117459	0.555319143	164	201474868
0.962	1	5.625	5.625	6.380572592	6.380572592	0	0.753605192	0.476376347	0.655746079	377	201475618
0	1	0.036	69.3819	0.059642842	78.1623361	22	0.535717441	0.939001894	0.230581138	168	201474918
0.928	1	41.706	69.3459	48.10850626	78.09614844	20	0.244666941	0.977415234	0.103510899	166	201474918
0	1	0.9675	0.9675	1.407643484	1.407643484	0	0.198719242	0.020657314	0.310945883	389	201475655
0.598	1	0.3312	0.3312	0.372052438	0.372052438	0	0.717422914	0.631974726	0.004345758	132	201474796
0.714	1	2.7747	2.7747	3.886531226	3.886531226	0	0.989369699	0.229958484	0.524492144	83	201474588
