unique_id	score	bar_type	drain_tot	strkm_tot	upstr_bars	Slope_perc	Q2_m3_s	w_W_m2_ST	hydro_rof	struct_rof	geo_rof	ave_Value	afAve_Value	max_Dif	Observed_Date	crossing_id	featureid
727	0.894	1	35.9811	48.38159403	33	2.1600001	18.94050781	250.8154061	0.489719756	0.545454222	0.725565868	NA	NA	NA	NA	xy4280843372717720	201476337
1305	0.706	1	3.9456	5.590869085	4	11.6400003	2.449972304	486.1140929	0.785110968	0.001957058	0.828706604	NA	NA	NA	NA	xy4274528072738758	201477101
1148	0.585	1	0.4239	0.287618026	1	5.9899998	0.761905388	139.50249	0.667844373	0.259264973	0.213751946	NA	NA	NA	NA	xy4276790272727959	201476900
1147	0.565	1	0.4023	0.26380085	0	5.9899998	0.761905388	139.50249	0.843506911	0.000923457	0.349493618	NA	NA	NA	NA	xy4276810872727884	201476900
907	0.641	1	0.5103	0.624225796	0	4.6999998	0.688512739	104.0539238	0.450131095	0.639116181	0.363302702	NA	NA	NA	NA	xy4278481572717995	201476579
734	0.609	1	0.3447	0.059016485	0	3.0799999	0.434812008	54.18837179	0.580798367	0.056516578	0.659047967	NA	NA	NA	NA	xy4281789272705803	201476348
735	0.668	1	0.3501	0.083781931	1	3.0799999	0.434812008	54.18837179	0.583835369	0.808414366	0.270121233	NA	NA	NA	NA	xy4281767872705819	201476348
1151	0.575	1	0.5013	0.857093774	0	4.9200001	0.479973181	90.94487417	0.814622521	0.710469439	0.650816562	NA	NA	NA	NA	xy4276490672722848	201476901
964	0.697	1	2.6523	4.413425813	1	4.6399999	1.836288633	167.7617981	0.037512307	0.464135707	0.39824824	NA	NA	NA	NA	xy4279320072710447	201476645
1344	0.703	1	3.7971	6.901746299	5	6.6700001	2.693044766	292.0466686	0.818874334	0.581988044	0.120021537	NA	NA	NA	NA	xy4274018372728167	201477181
730	0.656	1	1.5426	1.930658235	2	9.75	1.181088182	282.716014	0.239892515	0.990310215	0.376170284	NA	NA	NA	NA	xy4280488072704143	201476348
1349	0.634	1	0.0918	0.149644829	1	11.4099998	0.428599458	199.3040293	0.481411374	0.622815993	0.953376987	NA	NA	NA	NA	xy4275851172718151	201477130
1348	0.66	1	0.0099	0.007842724	0	NA	NA	NA	0.970264787	0.995952859	0.432026612	NA	NA	NA	NA	xy4275945972717014	201477130
582	0.553	1	0.6957	0.532051157	0	8.1800003	0.136552534	80.65064285	0.37393184	0.388508592	0.940940352	NA	NA	NA	NA	xy4283445372687634	201476108
724	0.689	1	0.9297	1.338089102	0	10.54	0.765944146	246.1182346	0.330793351	0.550574319	0.13386221	NA	NA	NA	NA	xy4280500972697202	201476332
725	0.659	1	0.9504	1.426068361	1	10.54	0.765944146	246.1182346	0.057019897	0.327460149	0.868234607	NA	NA	NA	NA	xy4280423272697280	201476387
583	0.584	1	1.26	1.130737723	1	5.75	3.62023712	291.9046307	0.777552317	0.957136691	0.199623129	NA	NA	NA	NA	xy4282927372688383	201476108
1376	0.638	1	2.052	4.482191692	2	8.3500004	1.837260577	301.9788346	0.682435967	0.454847075	0.458808249	NA	NA	NA	NA	xy4273967372718672	201477182
1381	0.687	1	0.0621	0.007905622	0	13.7600002	0.129590077	132.1627134	0.744252541	0.259212008	0.145596508	NA	NA	NA	NA	xy4275373372711779	201477182
781	0.5	1	0.3879	0.579472487	1	10.0900002	0.352833048	159.9117708	0.019471043	0.529844237	0.167221253	NA	NA	NA	NA	xy4280453372691901	201476387
778	0.5	1	0.3879	0.552917014	0	10.0900002	0.352833048	159.9117708	0.843642925	0.422721364	0.007255333	NA	NA	NA	NA	xy4280476272691818	201476387
1383	0.64	1	0.2439	0.948239344	0	6.5300002	0.481455434	120.8915297	0.783953041	0.743215097	0.474368906	NA	NA	NA	NA	xy4275278972709512	201477182
780	0.585	1	0.4059	0.661108872	2	10.0900002	0.352833048	159.9117708	0.438219627	0.37356954	0.835721439	NA	NA	NA	NA	xy4280380772691854	201476387
779	0.658	1	0.4347	0.715834307	3	10.0900002	0.352833048	159.9117708	0.482068941	0.022244727	0.021905397	NA	NA	NA	NA	xy4280333772691689	201476387
642	0.614	1	0.1971	0.374494026	0	NA	NA	NA	0.99260165	0.162910873	0.596374768	NA	NA	NA	NA	xy4283698172679782	201476218
664	0.717	1	5.9049	7.356807376	2	3.03	3.693549034	155.3707242	0.776822443	0.586579494	0.223057496	NA	NA	NA	NA	xy4282073072684435	201476241
663	0.539	1	0.324	0.407825697	0	3.5699999	3.871175267	187.4106455	0.339939134	0.048438527	0.917844701	NA	NA	NA	NA	xy4281753772683870	201476241
1111	0.577	1	0.1575	0.220896026	0	6.7800002	0.325779956	103.2515355	0.638743751	0.227997474	0.595766077	NA	NA	NA	NA	xy4276038372703380	201476847
1114	0.602	1	0.6471	0.867408121	0	NA	NA	NA	0.046729127	0.796918958	0.841054328	NA	NA	NA	NA	xy4276183572701462	201476847
775	0.877	1	43.8561	58.86759326	44	2.26	21.55178757	279.933399	0.742483501	0.678979773	0.159800551	NA	NA	NA	NA	xy4280035672686794	201476387
659	0	1	6.9228	8.549194109	4	5.7199998	4.336578699	317.8149045	0.878236889	0.916470886	0.988191796	NA	NA	NA	NA	xy4281484272681438	201476241
1297	0.62	1	0.6363	0.770958434	0	6.4899998	0.434862917	114.1893235	0.37403668	0.894980549	0.227869843	NA	NA	NA	NA	xy4274944172702104	201477093
1105	0	1	1.3824	2.060603546	0	9.0100002	1.321750653	276.3784648	0.356598202	0.245996034	0.404250624	NA	NA	NA	NA	xy4276577972694918	201476841
776	0.902	1	44.2062	59.26934945	45	2.26	21.55178757	279.933399	0.534686776	0.693377398	0.068222326	NA	NA	NA	NA	xy4279808572683614	201476387
963	0.618	1	0.3789	0.214783751	0	2	0.32813342	30.56749567	0.847026048	0.971907438	0.970393393	NA	NA	NA	NA	xy4278207772688196	201476645
661	0.831	1	7.2126	9.105289199	5	3.5599999	4.327844504	197.6015953	0.236012836	0.789949061	0.754894869	NA	NA	NA	NA	xy4281117672677214	201476241
1004	0.639	1	1.9863	3.344636953	0	9.8599997	1.849932668	357.8157821	0.296227162	0.139973882	0.835646037	NA	NA	NA	NA	xy4277397772689999	201476683
956	0.82	1	6.4242	9.737128854	3	4.52	3.953353273	239.7871339	0.191276649	0.572583157	0.985139571	NA	NA	NA	NA	xy4277851072686916	201476645
1295	0.598	1	0.1521	0.30775444	0	8.6899996	0.196872458	102.876663	0.258438823	0.396847767	0.696396102	NA	NA	NA	NA	xy4274125372698651	201477093
1298	0.643	1	1.116	1.622919801	1	6.7600002	1.106613457	189.7358143	0.235513991	0.840194559	0.419369465	NA	NA	NA	NA	xy4274294572697601	201477093
660	0	1	7.4934	9.642388219	6	3.5599999	4.327844504	197.6015953	0.028066346	0.28637218	0.422929347	NA	NA	NA	NA	xy4281114072672086	201476357
1001	0.693	1	2.7072	4.585385933	1	9.8599997	1.849932668	357.8157821	0.05815827	0.835221283	0.058865326	NA	NA	NA	NA	xy4277499472684435	201476683
750	0.878	1	10.1709	14.75242911	8	3.1300001	5.93752137	203.4939855	0.665585833	0.844773122	0.630096489	NA	NA	NA	NA	xy4281113372671331	201476357
753	0.648	1	1.0269	1.318962483	0	4.1300001	0.714048227	93.11474702	0.449864668	0.238128367	0.530898067	NA	NA	NA	NA	xy4279676672674295	201476373
1099	0.774	1	9.7065	15.14857506	6	3.4100001	5.382374612	211.0794636	0.608056336	0.390229191	0.055271015	NA	NA	NA	NA	xy4277356172681153	201476813
751	0.84	1	10.4679	15.26015662	9	3.1300001	5.93752137	203.4939855	0.9644505	0.278048422	0.497464062	NA	NA	NA	NA	xy4280926472666395	201476357
757	0.679	1	0.1395	0.036152181	0	NA	NA	NA	0.006472056	0.886437427	0.550527834	NA	NA	NA	NA	xy4279838872669188	201476374
979	0.629	1	0.4356	0.684601619	0	0.8	28.44474054	113.8401903	0.552722117	0.127199863	0.62521518	NA	NA	NA	NA	xy4278460772672989	201476652
977	0	1	62.3889	85.69210119	63	0.8	28.44474054	113.8401903	0.08794347	0.745804302	0.196040724	NA	NA	NA	NA	xy4278066072673262	201476652
749	0.824	1	10.9413	16.16305581	10	1.86	6.074555174	122.3136199	0.616007744	0.378260273	0.641069072	NA	NA	NA	NA	xy4280574672664138	201476357
