state	county	town	dot_district	huc12_name	ej_criteria	unique_id	featureid
Vermont	Windham	Halifax	VT-2	Upper Green River	None	727	201476337
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1305	201477101
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1148	201476900
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1147	201476900
Vermont	Windham	Halifax	VT-2	Upper Green River	None	907	201476579
Vermont	Windham	Halifax	VT-2	Upper Green River	None	734	201476348
Vermont	Windham	Halifax	VT-2	Upper Green River	None	735	201476348
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1151	201476901
Vermont	Windham	Halifax	VT-2	Upper Green River	None	964	201476645
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1344	201477181
Vermont	Windham	Halifax	VT-2	Upper Green River	None	730	201476348
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1349	201477130
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1348	201477130
Vermont	Windham	Marlboro	VT-2	Upper Green River	None	582	201476108
Vermont	Windham	Halifax	VT-2	Upper Green River	None	724	201476332
Vermont	Windham	Halifax	VT-2	Upper Green River	None	725	201476387
Vermont	Windham	Marlboro	VT-2	Upper Green River	None	583	201476108
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1376	201477182
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1381	201477182
Vermont	Windham	Halifax	VT-2	Upper Green River	None	781	201476387
Vermont	Windham	Halifax	VT-2	Upper Green River	None	778	201476387
Vermont	Windham	Halifax	VT-2	East Branch North River	None	1383	201477182
Vermont	Windham	Halifax	VT-2	Upper Green River	None	780	201476387
Vermont	Windham	Halifax	VT-2	Upper Green River	None	779	201476387
Vermont	Windham	Brattleboro	VT-2	Upper Green River	None	642	201476218
Vermont	Windham	Halifax	VT-2	Upper Green River	None	664	201476241
Vermont	Windham	Halifax	VT-2	Upper Green River	None	663	201476241
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1111	201476847
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1114	201476847
Vermont	Windham	Halifax	VT-2	Upper Green River	None	775	201476387
Vermont	Windham	Guilford	VT-2	Upper Green River	None	659	201476241
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1297	201477093
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1105	201476841
Vermont	Windham	Halifax	VT-2	Upper Green River	None	776	201476387
Vermont	Windham	Halifax	VT-2	Upper Green River	None	963	201476645
Vermont	Windham	Guilford	VT-2	Upper Green River	None	661	201476241
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1004	201476683
Vermont	Windham	Halifax	VT-2	Upper Green River	None	956	201476645
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1295	201477093
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1298	201477093
Vermont	Windham	Guilford	VT-2	Upper Green River	None	660	201476357
Vermont	Windham	Halifax	VT-2	Upper Green River	None	1001	201476683
Vermont	Windham	Guilford	VT-2	Upper Green River	None	750	201476357
Vermont	Windham	Guilford	VT-2	Upper Green River	None	753	201476373
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1099	201476813
Vermont	Windham	Guilford	VT-2	Upper Green River	None	751	201476357
Vermont	Windham	Guilford	VT-2	Upper Green River	None	757	201476374
Vermont	Windham	Guilford	VT-2	Upper Green River	None	979	201476652
Vermont	Windham	Guilford	VT-2	Upper Green River	None	977	201476652
Vermont	Windham	Guilford	VT-2	Upper Green River	None	749	201476357
Vermont	Windham	Guilford	VT-2	Upper Green River	None	740	201476374
Vermont	Windham	Guilford	VT-2	Upper Green River	None	973	201476652
Vermont	Windham	Guilford	VT-2	Upper Green River	None	744	201476357
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1093	201476813
Vermont	Windham	Guilford	VT-2	Upper Green River	None	746	201476357
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1098	201476813
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1097	201476813
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1096	201476813
Vermont	Windham	Guilford	VT-2	Upper Green River	None	985	201476653
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1250	201477014
Vermont	Windham	Guilford	VT-2	Upper Green River	None	984	201476653
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1255	201477015
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1095	201476813
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1256	201477015
Vermont	Windham	Guilford	VT-2	Upper Green River	None	1094	201476813
Vermont	Windham	Guilford	VT-2	Lower Green River	None	1333	201477107
Vermont	Windham	Guilford	VT-2	Lower Green River	None	1332	201477107
Vermont	Windham	Guilford	VT-2	Lower Green River	None	1329	201477107
Vermont	Windham	Guilford	VT-2	Lower Green River	None	1337	201477108
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	183	201474954
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	232	201475418
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	121	201474720
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	235	201475418
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	118	201474721
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	94	201474642
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	233	201475418
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	128	201474778
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	157	201474860
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	234	201475418
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	184	201474954
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	304	201475462
Vermont	Windham	Stratton	VT-1	Headwaters Deerfield River	None	56	201474333
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	236	201475117
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	293	201475373
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	179	201474902
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	239	201475118
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	296	201475373
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	294	201475373
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	295	201475373
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	297	201475373
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	148	201474820
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	298	201475373
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	299	201475364
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	65	201474424
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	348	201475513
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	62	201474430
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	110	201474695
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	124	201474728
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	190	201474932
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	126	201474728
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	192	201474932
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	164	201474868
Vermont	Bennington	Searsburg	VT-1	Headwaters Deerfield River	None	377	201475618
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	168	201474918
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	166	201474918
Vermont	Bennington	Searsburg	VT-1	Headwaters Deerfield River	None	389	201475655
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	132	201474796
