ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K0	Data
819	Armstrong	Armstrong.01	50	1.08	1	Hatchery	0.97428	0	0	0	0	0	0	0	0	0	0.0257	97.4-0-0-0-0-0-0-0-0-0-2.6
820	Bellefonte	HATC8.01	31	1.08	1.02	Hatchery	0.511354839	0	0	0	0	0	0	0	0.417580645	0	0.071096774	51.1-0-0-0-0-0-0-0-41.8-0-7.1
821	Berlin	HATC10.001	50	1.07	1	Hatchery	0.99662	0	0	0	0	0	0	0	0	0	0.00338	99.7-0-0-0-0-0-0-0-0-0-0.3
822	BigHillPd	HATC5.01	55	1.07	1.02	Hatchery	0	0	0	0	0	0	0	0	0.908163636	0	0.0918	0-0-0-0-0-0-0-0-90.8-0-9.2
823	Edray	HATC9.01	21	1.06	1	Hatchery	0.999904762	0	0	0	0	0	0	0	0	0	9.52381E-05	100-0-0-0-0-0-0-0-0-0-0
824	HydePd	HATC3.01	35	1.06	1.02	Hatchery	0.106485714	0	0	0	0	0	0	0	0.892114286	0	0.001371429	10.6-0-0-0-0-0-0-0-89.2-0-0.1
825	Milford1	HATC11.001	50	1.05	1	Hatchery	1	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0
826	Milford2	HATC12.001	50	1.05	1.02	Hatchery	0.98334	0	0	0	0	0	0	0	0	0	0.01666	98.3-0-0-0-0-0-0-0-0-0-1.7
827	Milford3	HATC13.001	50	1.04	1	Hatchery	1	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0
828	MountainPD	HATC4.01	31	1.04	1.02	Hatchery	0.122903226	0	0	0	0	0	0	0	0.865774194	0	0.011322581	12.3-0-0-0-0-0-0-0-86.6-0-1.1
829	PaintBank	PaintBank.01	50	1.03	1	Hatchery	0	0	0	0	0	0	0	0	0.85556	0	0.14422	0-0-0-0-0-0-0-0-85.6-0-14.4
830	Pequest	HATC7.01	20	1.03	1.02	Hatchery	0.24295	0	0	0	0	0	0	0	0.6902	0	0.0668	24.3-0-0-0-0-0-0-0-69-0-6.7
831	Phillips	HATC1.001	60	1.02	1	Hatchery	0.622983333	0	0	0	0	0	0	0	0.376866667	0	0.00015	62.3-0-0-0-0-0-0-0-37.7-0-0
832	Pisgah	Pisgah.01	50	1.02	1.02	Hatchery	0.99956	0	0	0	0	0	0	0	0	0	0.00042	100-0-0-0-0-0-0-0-0-0-0
833	Randolph	DS03.001	30	1.01	1	Hatchery	1	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0
834	RomeHat	HATC6.01	50	1.01	1.02	Hatchery	0.99998	0	0	0	0	0	0	0	0	0	0.00002	100-0-0-0-0-0-0-0-0-0-0
835	Sandwich	HATC2.001	37	1	1	Hatchery	0.780675676	0	0	0	0	0	0	0	0.190054054	0	0.029216216	78.1-0-0-0-0-0-0-0-19-0-2.9
836	TelHatch	TN06.001	68	1	1.02	Hatchery	0	0	0	0	0	0.429044118	0	0	0	0.553544118	0.017382353	0-0-0-0-0-42.9-0-0-0-55.4-1.7
