ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K0	Data
1	PFBNC143	WRC061.001	20	35.12013	-82.75003	Murr Creek	0	0	0	0	0	0	0	0	0	0	0	0.95995	0	0	0	0.04005	0-0-0-0-0-0-0-0-0-0-0-96-0-0-0-4
3	OHCM1	OHCM1.1001	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0	0	0	0	0	0	0	0	0	0	0	0	0.947980263	0	0	0.052019737	0-0-0-0-0-0-0-0-0-0-0-0-94.8-0-0-5.2
4	OHCM2	OHCM2.01	20	38.6023	-79.9109	Lambert Run	0	0	0	0	0	0.1007	0	0	0	0	0	0	0.79255	0	0	0.10675	0-0-0-0-0-10.1-0-0-0-0-0-0-79.3-0-0-10.7
5	OHCM3	OHCM3.01	30	38.55	-79.895	First Fork	0	0	0	0	0	0	0	0	0	0	0	0	0.9998	0	0	0.0002	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0
6	OHCM4	OHCM4.01	27	38.5415	-79.9487	Buck Run	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0
7	OHCM5	OHCM5.01	26	38.5619	-79.9276	Black Run	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0
8	OHCM6	OHCM6.01	33	38.4857	-79.9663	Rocky Run 1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0
9	OHCM7	OHCM7.01	31	38.4868	-79.9753	Rocky Run 2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0
10	OHCM8	OHCM8.101	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0
11	OHTM1	OHTM1.01	50	38.7345	-79.9089	Shavers Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79634	0.20362	0-0-0-0-0-0-0-0-0-0-0-0-0-0-79.6-20.4
12	OHYM1	OHYM1.01	49	39.7148	-79.2305	Puzzley Run	0	0	0.153346939	0	0	0	0	0.103326531	0	0	0	0	0.698816327	0	0	0.044469388	0-0-15.3-0-0-0-0-10.3-0-0-0-0-69.9-0-0-4.4
13	OHYM2	OHYM2.01	49	39.4016	-79.3043	Boiling Springs	0	0	0.446265306	0	0	0	0	0.302979592	0	0	0	0	0.213367347	0	0	0.037265306	0-0-44.6-0-0-0-0-30.3-0-0-0-0-21.3-0-0-3.7
14	OHYM3	OHYM3.01	49	39.6588	-79.2739	Little Bear Creek	0	0	0	0	0	0	0	0	0	0	0	0	0.777367347	0	0	0.222530612	0-0-0-0-0-0-0-0-0-0-0-0-77.7-0-0-22.3
15	OHYM4	OHYM4.001	30	39.6329	-79.2252	Casselman River	0	0	0.155333333	0	0	0	0	0.412366667	0	0	0	0	0.334733333	0	0	0.097533333	0-0-15.5-0-0-0-0-41.2-0-0-0-0-33.5-0-0-9.8
16	GA06	GA06.001	30	34.796427	-83.78574	Upper Chattahoochee River	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0
17	GA07	GA07.001	30	34.764654	-83.804072	Low Gap Creek	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0
18	GA21	GA21.001	30	34.79557	-83.653437	Left Fork Soque River	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0
19	GUNR1	GUNR1.01	50	39.5981	-76.6531	Panther Branch	0	0	0.8082	0	0	0	0	0.1348	0	0	0	0	0	0	0	0.05694	0-0-80.8-0-0-0-0-13.5-0-0-0-0-0-0-0-5.7
20	GUNR2	GUNR2.01	50	39.658	-76.8139	Indian Run	0	0	0.88114	0	0	0.1187	0	0	0	0	0	0	0	0	0	0.0001	0-0-88.1-0-0-11.9-0-0-0-0-0-0-0-0-0-0
23	SUSR4	SUSR4.001	100	39.6481	-76.4454	Rock Hollow Run	0	0	0.90957	0	0	0	0	0	0	0	0	0	0	0	0	0.09043	0-0-91-0-0-0-0-0-0-0-0-0-0-0-0-9
24	SUSR5	SUSR5.001	50	39.6295	-76.4209	Kellogg Branch	0	0	0.94352	0	0	0	0	0	0	0	0	0	0	0	0	0.05646	0-0-94.4-0-0-0-0-0-0-0-0-0-0-0-0-5.6
25	SUSR6	SUSR6.001	50	39.6438	-76.479	Spooners Creek	0	0	0.97712	0	0	0	0	0	0	0	0	0	0	0	0	0.02288	0-0-97.7-0-0-0-0-0-0-0-0-0-0-0-0-2.3
26	CATO1	CATO1.01	47	39.6349	-77.4789	Big Hunting Creek	0	0	0.205276596	0	0	0	0	0.708893617	0	0	0	0	0	0	0	0.085829787	0-0-20.5-0-0-0-0-70.9-0-0-0-0-0-0-0-8.6
27	CATO2	CATO2.01	49	39.6632	-77.4804	Owens Creek	0	0	0	0	0	0	0	0.960040816	0	0	0	0	0	0	0	0.039959184	0-0-0-0-0-0-0-96-0-0-0-0-0-0-0-4
28	CATO3	CATO3.01	32	39.6363	-77.45	Still Creek	0	0	0.72934375	0	0	0	0	0.26921875	0	0	0	0	0	0	0	0.0014375	0-0-72.9-0-0-0-0-26.9-0-0-0-0-0-0-0-0.1
29	CATO4	CATO4.01	38	39.5432	-77.4647	Right Fork Fishing Creek	0	0	0.144736842	0	0	0	0	0.855236842	0	0	0	0	0	0	0	2.63158E-05	0-0-14.5-0-0-0-0-85.5-0-0-0-0-0-0-0-0
30	CATO5	CATO5.01	48	39.5327	-77.4752	Left Fork Fishing Creek	0	0	0.3906875	0	0	0	0	0.6064375	0	0	0	0	0	0	0	0.002895833	0-0-39.1-0-0-0-0-60.6-0-0-0-0-0-0-0-0.3
31	POMR1	POMR1.01	47	39.4734	-77.4152	Tuscarora Creek	0	0	0.167446809	0	0	0	0	0.772638298	0	0	0	0	0	0	0	0.059914894	0-0-16.7-0-0-0-0-77.3-0-0-0-0-0-0-0-6
32	BearCreek	VA05.001	20	36.737334	-80.58159	Bear Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95305	0.04695	0-0-0-0-0-0-0-0-0-0-0-0-0-0-95.3-4.7
33	BigReedIslandCr	VA07.001	20	36.674994	-80.521569	Big Reed Island Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999	0.0001	0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0
35	EFDryRun	VA09.001	20	36.771983	-81.164966	EF Dry Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9994	0.0006	0-0-0-0-0-0-0-0-0-0-0-0-0-0-99.9-0.1
37	NFStonyCreek	VA11.002	19	37.43226	-80.553248	NF Stony Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942157895	0.057842105	0-0-0-0-0-0-0-0-0-0-0-0-0-0-94.2-5.8
38	OHCK1	OHCK1.01	25	38.23711	-80.34118	Byrd Branch	0	0	0	0	0	0.18212	0	0	0	0	0	0	0	0	0.75336	0.06444	0-0-0-0-0-18.2-0-0-0-0-0-0-0-0-75.3-6.4
39	OHCK2	OHCK2.01	49	38.24175	-80.37169	Dogway Fork	0	0	0.233285714	0	0	0.278510204	0	0	0	0	0	0	0	0	0.450795918	0.037530612	0-0-23.3-0-0-27.9-0-0-0-0-0-0-0-0-45.1-3.8
40	OHGK1	OHGK1.01	50	38.58315	-79.66737	Walderman Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85322	0.14672	0-0-0-0-0-0-0-0-0-0-0-0-0-0-85.3-14.7
41	OHGK2	OHGK2.01	49	38.39899	-79.74983	Sutton Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999020408	0.000979592	0-0-0-0-0-0-0-0-0-0-0-0-0-0-99.9-0.1
42	OHGK3	OHGK3.001	27	38.65128	-79.65491	EF Greenbrier Headwater	0	0	0.349962963	0	0	0	0	0	0	0	0	0	0	0	0.599444444	0.050518519	0-0-35-0-0-0-0-0-0-0-0-0-0-0-59.9-5.1
43	OHGK4	OHGK4.001	30	38.62221	-79.68543	Mullenox Run	0	0	0.189566667	0	0	0	0	0	0	0	0	0	0	0	0.8095	0.000966667	0-0-19-0-0-0-0-0-0-0-0-0-0-0-81-0.1
44	OHGK5	OHGK5.001	23	38.61545	-79.67927	Abes Run	0	0	0.111565217	0	0	0	0	0	0	0	0	0	0	0	0.793304348	0.095130435	0-0-11.2-0-0-0-0-0-0-0-0-0-0-0-79.3-9.5
45	OHGK6	OHGK6.001	19	38.57618	-79.70156	Long Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998631579	0.001315789	0-0-0-0-0-0-0-0-0-0-0-0-0-0-99.9-0.1
46	OHGK7	OHGK7.001	22	38.51356	-79.7221	Little River	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9875	0.0125	0-0-0-0-0-0-0-0-0-0-0-0-0-0-98.8-1.3
47	OHGK8	OHGK8.001	29	37.96923	-80.29571	Laurel Run	0	0	0	0	0	0.896482759	0	0	0	0	0	0	0	0	0.100931034	0.002586207	0-0-0-0-0-89.6-0-0-0-0-0-0-0-0-10.1-0.3
49	OHGN1	OHGN1.001	30	38.2026	-80.37271	NF Cherry River	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984833333	0.0151	0-0-0-0-0-0-0-0-0-0-0-0-0-0-98.5-1.5
51	OHNK1	OHNK1.001	30	37.91433	-81.02081	Buffalo Creek	0	0	0.200333333	0	0	0	0	0	0	0	0	0	0	0	0.778266667	0.021266667	0-0-20-0-0-0-0-0-0-0-0-0-0-0-77.8-2.1
52	OHNK10	WRC134.001	20	36.4267603	-81.453945	Ezra Fork	0.9709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0291	97.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2.9
53	OHNK11	WRC137.001	20	36.4493635	-81.0835415	Glade Creek	0.9294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706	92.9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7.1
54	OHNK12	WRC144.001	20	36.5569233	-81.6234242	Little Horse Creek	0.99995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00005	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
55	OHNK13	WRC146.001	20	36.3196431	-81.6919865	Meat Camp Creek	0.92835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07165	92.8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7.2
57	OHNK15	WRC151.001	20	36.3279872	-81.6367979	Pine Orchard Creek	0.94985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05015	95-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5
58	OHNK16	WRC153.001	20	36.4215314	-81.2530259	Reeves Branch	0.81935	0	0	0.18035	0	0	0	0	0	0	0	0	0	0	0	0.0003	81.9-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0
60	OHNK18	WRC165.001	20	36.255907	-81.7003412	Trivett Branch	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
61	OHNK19	WRC167.001	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
63	OHNK20	WRC168.001	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.93995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06005	94-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6
