ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	Data
1	PFBNC143	WRC061-001	20	35.12013	-82.75003	Murr Creek	0.95305	0.04695	95.3-4.7
3	OHCM1	OHCM1-1001	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.020980263	0.979019737	2.1-97.9
4	OHCM2	OHCM2-01	20	38.6023	-79.9109	Lambert Run	6.00E-04	0.9994	0.1-99.9
5	OHCM3	OHCM3-01	30	38.55	-79.895	First Fork	0.0373	0.9627	3.7-96.3
6	OHCM4	OHCM4-01	27	38.5415	-79.9487	Buck Run	0.075925926	0.924074074	7.6-92.4
7	OHCM5	OHCM5-01	26	38.5619	-79.9276	Black Run	0.002923077	0.997076923	0.3-99.7
8	OHCM6	OHCM6-01	33	38.4857	-79.9663	Rocky Run 1	0.001939394	0.998060606	0.2-99.8
9	OHCM7	OHCM7-01	31	38.4868	-79.9753	Rocky Run 2	0.011483871	0.988516129	1.1-98.9
10	OHCM8	OHCM8-101	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0.012596154	0.987403846	1.3-98.7
11	OHTM1	OHTM1-01	50	38.7345	-79.9089	Shavers Run	0.92826	0.07174	92.8-7.2
12	OHYM1	OHYM1-01	49	39.7148	-79.2305	Puzzley Run	0.055469388	0.944530612	5.5-94.5
13	OHYM2	OHYM2-01	49	39.4016	-79.3043	Boiling Springs	0.00122449	0.99877551	0.1-99.9
14	OHYM3	OHYM3-01	49	39.6588	-79.2739	Little Bear Creek	0.294122449	0.705877551	29.4-70.6
15	OHYM4	OHYM4-001	30	39.6329	-79.2252	Casselman River	0.277166667	0.722833333	27.7-72.3
16	GA06	GA06-001	30	34.796427	-83.78574	Upper Chattahoochee River	0.999866667	0.000133333	100-0
17	GA07	GA07-001	30	34.764654	-83.804072	Low Gap Creek	1	0	100-0
18	GA21	GA21-001	30	34.79557	-83.653437	Left Fork Soque River	1	0	100-0
19	GUNR1	GUNR1-01	50	39.5981	-76.6531	Panther Branch	0.00226	0.99774	0.2-99.8
20	GUNR2	GUNR2-01	50	39.658	-76.8139	Indian Run	0.00028	0.99972	0-100
23	SUSR4	SUSR4-001	100	39.6481	-76.4454	Rock Hollow Run	0.00447	0.99553	0.4-99.6
24	SUSR5	SUSR5-001	50	39.6295	-76.4209	Kellogg Branch	0	1	0-100
25	SUSR6	SUSR6-001	50	39.6438	-76.479	Spooners Creek	0.00128	0.99872	0.1-99.9
26	CATO1	CATO1-01	47	39.6349	-77.4789	Big Hunting Creek	4.26E-05	0.999957447	0-100
27	CATO2	CATO2-01	49	39.6632	-77.4804	Owens Creek	0.006469388	0.993530612	0.6-99.4
28	CATO3	CATO3-01	32	39.6363	-77.45	Still Creek	0.022	0.978	2.2-97.8
29	CATO4	CATO4-01	38	39.5432	-77.4647	Right Fork Fishing Creek	0.027184211	0.972815789	2.7-97.3
30	CATO5	CATO5-01	48	39.5327	-77.4752	Left Fork Fishing Creek	0.078979167	0.921020833	7.9-92.1
31	POMR1	POMR1-01	47	39.4734	-77.4152	Tuscarora Creek	0.004170213	0.995829787	0.4-99.6
32	BearCreek	VA05-001	20	36.737334	-80.58159	Bear Creek	0.99995	5.00E-05	100-0
33	BigReedIslandCr	VA07-001	20	36.674994	-80.521569	Big Reed Island Creek	0.9557	0.0443	95.6-4.4
35	EFDryRun	VA09-001	20	36.771983	-81.164966	EF Dry Run	0.9894	0.0106	98.9-1.1
37	NFStonyCreek	VA11-002	19	37.43226	-80.553248	NF Stony Creek	1	0	100-0
38	OHCK1	OHCK1-01	25	38.23711	-80.34118	Byrd Branch	0.633	0.367	63.3-36.7
39	OHCK2	OHCK2-01	49	38.24175	-80.37169	Dogway Fork	0.412061224	0.587938776	41.2-58.8
40	OHGK1	OHGK1-01	50	38.58315	-79.66737	Walderman Run	0.90352	0.09648	90.4-9.6
41	OHGK2	OHGK2-01	49	38.39899	-79.74983	Sutton Run	0.999346939	0.000653061	99.9-0.1
42	OHGK3	OHGK3-001	27	38.65128	-79.65491	EF Greenbrier Headwater	0.680037037	0.319962963	68-32
43	OHGK4	OHGK4-001	30	38.62221	-79.68543	Mullenox Run	0.781533333	0.218466667	78.2-21.8
44	OHGK5	OHGK5-001	23	38.61545	-79.67927	Abes Run	0.818956522	0.181043478	81.9-18.1
