ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K0	Data
819	Armstrong	Armstrong.01	50	1.08	1	Hatchery	0	0	0.98194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01806	0-0-98.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1.8
820	Bellefonte	HATC8.01	31	1.08	1.02	Hatchery	0	0.612806452	0	0	0	0	0	0	0	0	0	0	0	0.219741935	0	0	0	0	0	0	0.167451613	0-61.3-0-0-0-0-0-0-0-0-0-0-0-22-0-0-0-0-0-0-16.7
821	Berlin	HATC10.001	50	1.07	1	Hatchery	0	0.99722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00278	0-99.7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.3
822	BigHillPd	HATC5.01	55	1.07	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.754145455	0	0	0	0.245745455	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-75.4-0-0-0-24.6
823	Edray	HATC9.01	21	1.06	1	Hatchery	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
824	HydePd	HATC3.01	35	1.06	1.02	Hatchery	0	0	0	0.105628571	0	0	0	0	0	0	0	0	0	0.499371429	0	0	0.334771429	0	0	0	0.060028571	0-0-0-10.6-0-0-0-0-0-0-0-0-0-49.9-0-0-33.5-0-0-0-6
825	Milford1	HATC11.001	50	1.05	1	Hatchery	0	0.99986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
826	Milford2	HATC12.001	50	1.05	1.02	Hatchery	0	0.98028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01972	0-98-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2
827	Milford3	HATC13.001	50	1.04	1	Hatchery	0	0.99598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00402	0-99.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.4
828	MountainPD	HATC4.01	31	1.04	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88116129	0	0	0	0.118709677	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-88.1-0-0-0-11.9
829	PaintBank	PaintBank.01	50	1.03	1	Hatchery	0	0	0.99992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00008	0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
830	Pequest	HATC7.01	20	1.03	1.02	Hatchery	0	0.3237	0	0	0	0	0	0	0	0	0	0	0	0.60415	0	0	0	0	0	0	0.0722	0-32.4-0-0-0-0-0-0-0-0-0-0-0-60.4-0-0-0-0-0-0-7.2
831	Phillips	HATC1.001	60	1.02	1	Hatchery	0	0	0	0.765583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234316667	0-0-0-76.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-23.4
832	Pisgah	Pisgah.01	50	1.02	1.02	Hatchery	0	0.2159	0.7841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-21.6-78.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
833	Randolph	DS03.001	30	1.01	1	Hatchery	0	0.931966667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068033333	0-93.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6.8
834	RomeHat	HATC6.01	50	1.01	1.02	Hatchery	0	0.95178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04822	0-95.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4.8
835	Sandwich	HATC2.001	37	1	1	Hatchery	0	0.446540541	0	0.139918919	0	0	0	0	0	0	0.104594595	0	0	0	0	0	0.302459459	0	0	0	0.006405405	0-44.7-0-14-0-0-0-0-0-0-10.5-0-0-0-0-0-30.2-0-0-0-0.6
836	TelHatch	TN06.001	68	1	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0.45075	0	0	0.522558824	0	0	0	0	0	0.026647059	0-0-0-0-0-0-0-0-0-0-0-45.1-0-0-52.3-0-0-0-0-0-2.7
