ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K0	Data
1	PFBNC143	WRC061.001	20	35.12013	-82.75003	Murr Creek	0	0	0	0	0	0	0	0	0	0	0	0.95125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04875	0-0-0-0-0-0-0-0-0-0-0-95.1-0-0-0-0-0-0-0-0-0-0-0-0-0-4.9
3	OHCM1	OHCM1.1001	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936552632	0	0	0	0	0	0	0	0	0.063447368	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-93.7-0-0-0-0-0-0-0-0-6.3
4	OHCM2	OHCM2.01	20	38.6023	-79.9109	Lambert Run	0	0	0	0.1002	0	0	0	0	0	0	0	0	0	0	0	0	0.7643	0	0	0	0	0	0	0	0	0.13535	0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-76.4-0-0-0-0-0-0-0-0-13.5
5	OHCM3	OHCM3.01	30	38.55	-79.895	First Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999733333	0	0	0	0	0	0	0	0	0.000266667	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0
6	OHCM4	OHCM4.01	27	38.5415	-79.9487	Buck Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0
7	OHCM5	OHCM5.01	26	38.5619	-79.9276	Black Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999846154	0	0	0	0	0	0	0	0	0.000153846	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0
8	OHCM6	OHCM6.01	33	38.4857	-79.9663	Rocky Run 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0
9	OHCM7	OHCM7.01	31	38.4868	-79.9753	Rocky Run 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999967742	0	0	0	0	0	0	0	0	3.22581E-05	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0
10	OHCM8	OHCM8.101	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0
11	OHTM1	OHTM1.01	50	38.7345	-79.9089	Shavers Run	0	0	0	0	0	0	0	0	0	0	0	0	0.59138	0	0	0	0	0	0	0	0	0	0.2528	0	0	0.15566	0-0-0-0-0-0-0-0-0-0-0-0-59.1-0-0-0-0-0-0-0-0-0-25.3-0-0-15.6
12	OHYM1	OHYM1.01	49	39.7148	-79.2305	Puzzley Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936510204	0	0	0.063469388	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-93.7-0-0-6.3
13	OHYM2	OHYM2.01	49	39.4016	-79.3043	Boiling Springs	0	0	0	0	0	0.176816327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666163265	0	0	0.156979592	0-0-0-0-0-17.7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66.6-0-0-15.7
14	OHYM3	OHYM3.01	49	39.6588	-79.2739	Little Bear Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95677551	0	0	0.043204082	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-95.7-0-0-4.3
15	OHYM4	OHYM4.001	30	39.6329	-79.2252	Casselman River	0	0	0	0	0.136433333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790266667	0	0	0.073266667	0-0-0-0-13.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79-0-0-7.3
16	GA06	GA06.001	30	34.796427	-83.78574	Upper Chattahoochee River	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0
17	GA07	GA07.001	30	34.764654	-83.804072	Low Gap Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0
18	GA21	GA21.001	30	34.79557	-83.653437	Left Fork Soque River	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0
19	GUNR1	GUNR1.01	50	39.5981	-76.6531	Panther Branch	0	0	0	0	0.8393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16062	0-0-0-0-83.9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16.1
20	GUNR2	GUNR2.01	50	39.658	-76.8139	Indian Run	0	0	0	0.10042	0.8983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116	0-0-0-10-89.8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.1
23	SUSR4	SUSR4.001	100	39.6481	-76.4454	Rock Hollow Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84469	0	0.1553	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-84.5-0-15.5
24	SUSR5	SUSR5.001	50	39.6295	-76.4209	Kellogg Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87572	0	0.1242	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-87.6-0-12.4
25	SUSR6	SUSR6.001	50	39.6438	-76.479	Spooners Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96852	0	0.03142	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-96.9-0-3.1
26	CATO1	CATO1.01	47	39.6349	-77.4789	Big Hunting Creek	0.35193617	0	0	0	0.254744681	0	0	0	0	0	0	0	0	0	0.281680851	0	0	0	0	0	0	0	0	0	0	0.111638298	35.2-0-0-0-25.5-0-0-0-0-0-0-0-0-0-28.2-0-0-0-0-0-0-0-0-0-0-11.2
27	CATO2	CATO2.01	49	39.6632	-77.4804	Owens Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874489796	0	0	0	0	0	0	0	0	0	0	0.12544898	0-0-0-0-0-0-0-0-0-0-0-0-0-0-87.4-0-0-0-0-0-0-0-0-0-0-12.5
28	CATO3	CATO3.01	32	39.6363	-77.45	Still Creek	0	0	0	0	0.4781875	0	0	0	0	0	0	0	0	0	0.19859375	0	0	0	0	0	0	0	0	0.2123125	0	0.11090625	0-0-0-0-47.8-0-0-0-0-0-0-0-0-0-19.9-0-0-0-0-0-0-0-0-21.2-0-11.1
29	CATO4	CATO4.01	38	39.5432	-77.4647	Right Fork Fishing Creek	0	0	0	0	0.209105263	0	0	0	0	0	0	0	0	0	0.720210526	0	0	0	0	0	0	0	0	0	0	0.070605263	0-0-0-0-20.9-0-0-0-0-0-0-0-0-0-72-0-0-0-0-0-0-0-0-0-0-7.1
30	CATO5	CATO5.01	48	39.5327	-77.4752	Left Fork Fishing Creek	0	0	0	0	0.4124375	0	0	0	0	0	0	0	0	0	0.417708333	0	0	0	0	0	0	0	0	0	0	0.169770833	0-0-0-0-41.2-0-0-0-0-0-0-0-0-0-41.8-0-0-0-0-0-0-0-0-0-0-17
31	POMR1	POMR1.01	47	39.4734	-77.4152	Tuscarora Creek	0.121851064	0	0	0	0.205680851	0	0	0	0	0	0	0	0	0	0.452297872	0	0	0	0	0	0	0	0.172765957	0	0	0.047276596	12.2-0-0-0-20.6-0-0-0-0-0-0-0-0-0-45.2-0-0-0-0-0-0-0-17.3-0-0-4.7
32	BearCreek	VA05.001	20	36.737334	-80.58159	Bear Creek	0	0	0	0	0	0	0	0	0	0	0	0	0.9996	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0
33	BigReedIslandCr	VA07.001	20	36.674994	-80.521569	Big Reed Island Creek	0	0	0	0	0	0	0	0	0	0	0	0	0.90585	0	0	0	0	0	0	0	0	0	0	0	0	0.0941	0-0-0-0-0-0-0-0-0-0-0-0-90.6-0-0-0-0-0-0-0-0-0-0-0-0-9.4
35	EFDryRun	VA09.001	20	36.771983	-81.164966	EF Dry Run	0	0	0	0	0	0	0	0	0	0	0	0	0.99985	0	0	0	0	0	0	0	0	0	0	0	0	0.00015	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0
37	NFStonyCreek	VA11.002	19	37.43226	-80.553248	NF Stony Creek	0	0	0	0	0	0	0	0	0	0	0	0	0.970736842	0	0	0	0	0	0	0	0	0	0	0	0	0.029263158	0-0-0-0-0-0-0-0-0-0-0-0-97.1-0-0-0-0-0-0-0-0-0-0-0-0-2.9
38	OHCK1	OHCK1.01	25	38.23711	-80.34118	Byrd Branch	0	0	0	0.16628	0	0	0	0	0	0	0	0	0.59724	0	0	0	0	0	0	0	0	0	0.138	0	0	0.09844	0-0-0-16.6-0-0-0-0-0-0-0-0-59.7-0-0-0-0-0-0-0-0-0-13.8-0-0-9.8
39	OHCK2	OHCK2.01	49	38.24175	-80.37169	Dogway Fork	0	0	0	0.230612245	0.189346939	0	0	0	0	0	0	0	0.468816327	0	0	0	0	0	0	0	0	0	0	0	0	0.111061224	0-0-0-23.1-18.9-0-0-0-0-0-0-0-46.9-0-0-0-0-0-0-0-0-0-0-0-0-11.1
40	OHGK1	OHGK1.01	50	38.58315	-79.66737	Walderman Run	0	0	0	0	0	0	0	0	0	0	0	0	0.88852	0	0	0	0	0	0	0	0	0	0	0	0	0.11152	0-0-0-0-0-0-0-0-0-0-0-0-88.9-0-0-0-0-0-0-0-0-0-0-0-0-11.2
41	OHGK2	OHGK2.01	49	38.39899	-79.74983	Sutton Run	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0
42	OHGK3	OHGK3.001	27	38.65128	-79.65491	EF Greenbrier Headwater	0	0	0	0	0.194037037	0	0	0	0	0	0	0	0.771333333	0	0	0	0	0	0	0	0	0	0	0	0	0.034518519	0-0-0-0-19.4-0-0-0-0-0-0-0-77.1-0-0-0-0-0-0-0-0-0-0-0-0-3.5
43	OHGK4	OHGK4.001	30	38.62221	-79.68543	Mullenox Run	0	0	0	0	0	0	0	0	0	0	0	0	0.872633333	0	0	0	0	0	0	0	0	0	0	0	0	0.127233333	0-0-0-0-0-0-0-0-0-0-0-0-87.3-0-0-0-0-0-0-0-0-0-0-0-0-12.7
44	OHGK5	OHGK5.001	23	38.61545	-79.67927	Abes Run	0	0	0	0	0	0	0	0	0	0	0	0	0.858869565	0	0	0	0	0	0	0	0	0	0	0	0	0.141043478	0-0-0-0-0-0-0-0-0-0-0-0-85.9-0-0-0-0-0-0-0-0-0-0-0-0-14.1
45	OHGK6	OHGK6.001	19	38.57618	-79.70156	Long Run	0	0	0	0	0	0	0	0	0	0	0	0	0.999526316	0	0	0	0	0	0	0	0	0	0	0	0	0.000473684	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0
46	OHGK7	OHGK7.001	22	38.51356	-79.7221	Little River	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0
47	OHGK8	OHGK8.001	29	37.96923	-80.29571	Laurel Run	0	0	0	0.896551724	0	0	0	0	0	0	0	0	0.103448276	0	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-89.7-0-0-0-0-0-0-0-0-10.3-0-0-0-0-0-0-0-0-0-0-0-0-0
49	OHGN1	OHGN1.001	30	38.2026	-80.37271	NF Cherry River	0	0	0	0	0	0	0	0	0	0	0	0	0.964966667	0	0	0	0	0	0	0	0	0	0	0	0	0.035066667	0-0-0-0-0-0-0-0-0-0-0-0-96.5-0-0-0-0-0-0-0-0-0-0-0-0-3.5
51	OHNK1	OHNK1.001	30	37.91433	-81.02081	Buffalo Creek	0	0	0	0	0	0	0	0	0	0	0	0	0.8633	0	0	0	0	0	0	0	0	0	0	0	0	0.1366	0-0-0-0-0-0-0-0-0-0-0-0-86.3-0-0-0-0-0-0-0-0-0-0-0-0-13.7
52	OHNK10	WRC134.001	20	36.4267603	-81.453945	Ezra Fork	0	0	0	0	0	0	0.83615	0	0	0	0	0	0.1516	0	0	0	0	0	0	0	0	0	0	0	0	0.0123	0-0-0-0-0-0-83.6-0-0-0-0-0-15.2-0-0-0-0-0-0-0-0-0-0-0-0-1.2
53	OHNK11	WRC137.001	20	36.4493635	-81.0835415	Glade Creek	0	0	0	0	0	0	0.9415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05855	0-0-0-0-0-0-94.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5.9
54	OHNK12	WRC144.001	20	36.5569233	-81.6234242	Little Horse Creek	0	0	0	0	0	0	0.9914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085	0-0-0-0-0-0-99.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.9
55	OHNK13	WRC146.001	20	36.3196431	-81.6919865	Meat Camp Creek	0	0	0	0	0	0	0.9824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01755	0-0-0-0-0-0-98.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1.8
