ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K0	Data
819	Armstrong	Armstrong.01	50	1.08	1	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0
820	Bellefonte	HATC8.01	31	1.08	1.02	Hatchery	0	0	0	0.659870968	0.126419355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213580645	0-0-0-66-12.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-21.4
821	Berlin	HATC10.001	50	1.07	1	Hatchery	0	0	0	0.99932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00068	0-0-0-99.9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.1
822	Big Hill Pond	HATC5.01	55	1.07	1.02	Hatchery	0	0	0	0	0.158090909	0.6958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146090909	0-0-0-0-15.8-69.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14.6
823	Edray	HATC9.01	21	1.06	1	Hatchery	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
824	Hyde Pond	HATC3.01	35	1.06	1.02	Hatchery	0	0.103457143	0	0	0.459542857	0.201685714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175285714	0	0.059885714	0-10.3-0-0-46-20.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17.5-0-6
825	Milford 1	HATC11.001	50	1.05	1	Hatchery	0	0	0	0.99998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
826	Milford 2	HATC12.001	50	1.05	1.02	Hatchery	0	0	0	0.9844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156	0-0-0-98.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1.6
827	Milford 3	HATC13.001	50	1.04	1	Hatchery	0	0	0	0.99952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
828	Mountain Pond	HATC4.01	31	1.04	1.02	Hatchery	0	0	0	0	0	0.76316129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140483871	0	0.096322581	0-0-0-0-0-76.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-9.6
829	Paint Bank	PaintBank.01	50	1.03	1	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93228	0	0	0	0	0.06766	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-93.2-0-0-0-0-6.8
830	Pequest	HATC7.01	20	1.03	1.02	Hatchery	0	0	0	0.378	0.2281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3056	0	0.08825	0-0-0-37.8-22.8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-30.6-0-8.8
831	Phillips	HATC1.001	60	1.02	1	Hatchery	0	0.648366667	0	0.1021	0.164383333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085133333	0-64.8-0-10.2-16.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8.5
832	Pisgah	Pisgah.01	50	1.02	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0-0-0-0
833	Randolph	DS03.001	30	1.01	1	Hatchery	0	0	0	0.9329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0671	0-0-0-93.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6.7
834	Rome	HATC6.01	50	1.01	1.02	Hatchery	0	0	0	0.96622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03378	0-0-0-96.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3.4
835	Sandwich	HATC2.001	37	1	1	Hatchery	0	0	0	0.480216216	0	0.308594595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211162162	0-0-0-48-0-30.9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-21.1
836	Tellico	TN06.001	68	1	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0.386352941	0	0.459382353	0	0	0	0	0	0	0	0	0	0	0	0	0.154132353	0-0-0-0-0-0-0-0-0-0-38.6-0-45.9-0-0-0-0-0-0-0-0-0-0-0-0-15.4
