ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	Data
819	Armstrong	Armstrong-01	50	1.08	1	Hatchery	0.0018	0.9982	0.2-99.8
820	Bellefonte	HATC8-01	31	1.08	1.02	Hatchery	0	1	0-100
821	Berlin	HATC10-001	50	1.07	1	Hatchery	0	1	0-100
822	Big Hill Pond	HATC5-01	55	1.07	1.02	Hatchery	0.000272727	0.999727273	0-100
823	Edray	HATC9-01	21	1.06	1	Hatchery	0	1	0-100
824	Hyde Pond	HATC3-01	35	1.06	1.02	Hatchery	2.86E-05	0.999971429	0-100
825	Milford 1	HATC11-001	50	1.05	1	Hatchery	0	1	0-100
826	Milford 2	HATC12-001	50	1.05	1.02	Hatchery	0	1	0-100
827	Milford 3	HATC13-001	50	1.04	1	Hatchery	0	1	0-100
828	Mountain Pond	HATC4-01	31	1.04	1.02	Hatchery	0.001290323	0.998709677	0.1-99.9
829	Paint Bank	PaintBank-01	50	1.03	1	Hatchery	0.04816	0.95184	4.8-95.2
830	Pequest	HATC7-01	20	1.03	1.02	Hatchery	0	1	0-100
831	Phillips	HATC1-001	60	1.02	1	Hatchery	1.67E-05	0.999983333	0-100
832	Pisgah	Pisgah-01	50	1.02	1.02	Hatchery	4.00E-05	0.99996	0-100
833	Randolph	DS03-001	30	1.01	1	Hatchery	0	1	0-100
834	Rome	HATC6-01	50	1.01	1.02	Hatchery	0	1	0-100
835	Sandwich	HATC2-001	37	1	1	Hatchery	0.000297297	0.999702703	0-100
836	Tellico	TN06-001	68	1	1.02	Hatchery	0.999955882	4.41E-05	100-0
