ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	Data
819	Armstrong	Armstrong-01	50	1.08	1	Hatchery	0.0066	0.99336	4.00E-05	0.7-99.3-0
820	Bellefonte	HATC8-01	31	1.08	1.02	Hatchery	0.143483871	0.856483871	3.23E-05	14.3-85.6-0
821	Berlin	HATC10-001	50	1.07	1	Hatchery	4.00E-05	0.99996	0	0-100-0
822	BigHillPd	HATC5-01	55	1.07	1.02	Hatchery	0.535436364	0.464218182	0.000327273	53.5-46.4-0
823	Edray	HATC9-01	21	1.06	1	Hatchery	0	1	0	0-100-0
824	HydePd	HATC3-01	35	1.06	1.02	Hatchery	0.661257143	0.338314286	0.000371429	66.1-33.8-0
825	Milford1	HATC11-001	50	1.05	1	Hatchery	0	1	0	0-100-0
826	Milford2	HATC12-001	50	1.05	1.02	Hatchery	0.00664	0.99326	0.00012	0.7-99.3-0
827	Milford3	HATC13-001	50	1.04	1	Hatchery	0	1	0	0-100-0
828	MountainPD	HATC4-01	31	1.04	1.02	Hatchery	0.464322581	0.528322581	0.007322581	46.4-52.8-0.7
829	PaintBank	PaintBank-01	50	1.03	1	Hatchery	0.58926	0.31316	0.0975	58.9-31.3-9.8
830	Pequest	HATC7-01	20	1.03	1.02	Hatchery	0.55675	0.4432	0	55.7-44.3-0
831	Phillips	HATC1-001	60	1.02	1	Hatchery	0.220283333	0.779716667	1.67E-05	22-78-0
832	Pisgah	Pisgah-01	50	1.02	1.02	Hatchery	4.00E-05	0.99996	0	0-100-0
833	Randolph	DS03-001	30	1.01	1	Hatchery	0	1	0	0-100-0
834	RomeHat	HATC6-01	50	1.01	1.02	Hatchery	0	1	0	0-100-0
835	Sandwich	HATC2-001	37	1	1	Hatchery	0.028540541	0.971351351	0.000108108	2.9-97.1-0
836	TelHatch	TN06-001	68	1	1.02	Hatchery	0	0	1	0-0-100
