ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	Data
1	PFBNC143	WRC061-001	20	35.12013	-82.75003	Murr Creek	0.97435	0.0174	0.0082	5.00E-05	97.4-1.7-0.8-0
3	OHCM1	OHCM1-1001	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	6.58E-05	0.950440789	0.002894737	0.046592105	0-95-0.3-4.7
4	OHCM2	OHCM2-01	20	38.6023	-79.9109	Lambert Run	0	0.8268	1.00E-04	0.1731	0-82.7-0-17.3
5	OHCM3	OHCM3-01	30	38.55	-79.895	First Fork	0	0.963333333	0.0026	0.034033333	0-96.3-0.3-3.4
6	OHCM4	OHCM4-01	27	38.5415	-79.9487	Buck Run	0.001185185	0.993888889	0.004555556	0.000407407	0.1-99.4-0.5-0
7	OHCM5	OHCM5-01	26	38.5619	-79.9276	Black Run	0.000230769	0.999153846	0.000153846	0.000461538	0-99.9-0-0
8	OHCM6	OHCM6-01	33	38.4857	-79.9663	Rocky Run 1	0	0.999909091	6.06E-05	3.03E-05	0-100-0-0
9	OHCM7	OHCM7-01	31	38.4868	-79.9753	Rocky Run 2	3.23E-05	0.993709677	0.002580645	0.003612903	0-99.4-0.3-0.4
10	OHCM8	OHCM8-101	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0	0.999807692	0.000173077	1.92E-05	0-100-0-0
11	OHTM1	OHTM1-01	50	38.7345	-79.9089	Shavers Run	0.01444	0.0576	0.9279	4.00E-05	1.4-5.8-92.8-0
12	OHYM1	OHYM1-01	49	39.7148	-79.2305	Puzzley Run	8.16E-05	0.681714286	0.168122449	0.149938776	0-68.2-16.8-15
13	OHYM2	OHYM2-01	49	39.4016	-79.3043	Boiling Springs	0.00977551	0.829326531	0.000918367	0.159897959	1-82.9-0.1-16
14	OHYM3	OHYM3-01	49	39.6588	-79.2739	Little Bear Creek	0.001183673	0.46522449	0.458081633	0.075530612	0.1-46.5-45.8-7.6
15	OHYM4	OHYM4-001	30	39.6329	-79.2252	Casselman River	0.000533333	0.6859	0.3077	0.005933333	0.1-68.6-30.8-0.6
16	GA06	GA06-001	30	34.796427	-83.78574	Upper Chattahoochee River	0	0	1	0	0-0-100-0
17	GA07	GA07-001	30	34.764654	-83.804072	Low Gap Creek	0	0	1	0	0-0-100-0
18	GA21	GA21-001	30	34.79557	-83.653437	Left Fork Soque River	0	0	1	0	0-0-100-0
19	GUNR1	GUNR1-01	50	39.5981	-76.6531	Panther Branch	0.00124	0.74944	0.0025	0.24676	0.1-74.9-0.3-24.7
20	GUNR2	GUNR2-01	50	39.658	-76.8139	Indian Run	0	0.31142	0.02114	0.66746	0-31.1-2.1-66.7
23	SUSR4	SUSR4-001	100	39.6481	-76.4454	Rock Hollow Run	0.00135	0.96748	0.00396	0.02717	0.1-96.7-0.4-2.7
24	SUSR5	SUSR5-001	50	39.6295	-76.4209	Kellogg Branch	0	0.97842	0	0.02158	0-97.8-0-2.2
25	SUSR6	SUSR6-001	50	39.6438	-76.479	Spooners Creek	0.00134	0.94888	2.00E-05	0.04974	0.1-94.9-0-5
26	CATO1	CATO1-01	47	39.6349	-77.4789	Big Hunting Creek	0	0.707723404	0	0.292255319	0-70.8-0-29.2
27	CATO2	CATO2-01	49	39.6632	-77.4804	Owens Creek	0	0.999918367	0	6.12E-05	0-100-0-0
28	CATO3	CATO3-01	32	39.6363	-77.45	Still Creek	0.010625	0.935375	0.0013125	0.05259375	1.1-93.5-0.1-5.3
29	CATO4	CATO4-01	38	39.5432	-77.4647	Right Fork Fishing Creek	0.0055	0.993526316	0.000394737	0.000605263	0.6-99.4-0-0.1
30	CATO5	CATO5-01	48	39.5327	-77.4752	Left Fork Fishing Creek	0.0015	0.933395833	0.028229167	0.036875	0.2-93.3-2.8-3.7
31	POMR1	POMR1-01	47	39.4734	-77.4152	Tuscarora Creek	0.001234043	0.927212766	0.000829787	0.070659574	0.1-92.7-0.1-7.1
32	BearCreek	VA05-001	20	36.737334	-80.58159	Bear Creek	0	0	1	0	0-0-100-0
33	BigReedIslandCr	VA07-001	20	36.674994	-80.521569	Big Reed Island Creek	0.0146	3.00E-04	0.9851	0	1.5-0-98.5-0
35	EFDryRun	VA09-001	20	36.771983	-81.164966	EF Dry Run	0.0038	0.00125	0.99455	4.00E-04	0.4-0.1-99.5-0
37	NFStonyCreek	VA11-002	19	37.43226	-80.553248	NF Stony Creek	0.018421053	0	0.981578947	0	1.8-0-98.2-0
38	OHCK1	OHCK1-01	25	38.23711	-80.34118	Byrd Branch	0.04208	0.0272	0.67116	0.25952	4.2-2.7-67.1-26
39	OHCK2	OHCK2-01	49	38.24175	-80.37169	Dogway Fork	0.048081633	0.039755102	0.460938776	0.451183673	4.8-4-46.1-45.1
40	OHGK1	OHGK1-01	50	38.58315	-79.66737	Walderman Run	0.27994	0.0633	0.6561	0.00064	28-6.3-65.6-0.1
41	OHGK2	OHGK2-01	49	38.39899	-79.74983	Sutton Run	0.000510204	8.16E-05	0.999387755	0	0.1-0-99.9-0
42	OHGK3	OHGK3-001	27	38.65128	-79.65491	EF Greenbrier Headwater	0.047333333	0.248888889	0.652222222	0.051296296	4.7-24.9-65.2-5.1
43	OHGK4	OHGK4-001	30	38.62221	-79.68543	Mullenox Run	0.145766667	0.194033333	0.657233333	0.0029	14.6-19.4-65.7-0.3
44	OHGK5	OHGK5-001	23	38.61545	-79.67927	Abes Run	0.142304348	0.14473913	0.712652174	0.00026087	14.2-14.5-71.3-0
45	OHGK6	OHGK6-001	19	38.57618	-79.70156	Long Run	0.056	0.047	0.896842105	0	5.6-4.7-89.7-0
46	OHGK7	OHGK7-001	22	38.51356	-79.7221	Little River	9.09E-05	0.018954545	0.977727273	0.003227273	0-1.9-97.8-0.3
47	OHGK8	OHGK8-001	29	37.96923	-80.29571	Laurel Run	0.006965517	0.000206897	0.094172414	0.89862069	0.7-0-9.4-89.9
49	OHGN1	OHGN1-001	30	38.2026	-80.37271	NF Cherry River	0.016366667	0.0439	0.9364	0.0033	1.6-4.4-93.6-0.3
51	OHNK1	OHNK1-001	30	37.91433	-81.02081	Buffalo Creek	4.00E-04	0.2428	0.6497	0.106866667	0-24.3-65-10.7
52	OHNK10	WRC134-001	20	36.4267603	-81.453945	Ezra Fork	0.00375	0.00015	0.9925	0.00355	0.4-0-99.3-0.4
53	OHNK11	WRC137-001	20	36.4493635	-81.0835415	Glade Creek	0.03535	0	0.9646	0	3.5-0-96.5-0
54	OHNK12	WRC144-001	20	36.5569233	-81.6234242	Little Horse Creek	0.00015	0	0.99985	0	0-0-100-0
55	OHNK13	WRC146-001	20	36.3196431	-81.6919865	Meat Camp Creek	0.20305	0	0.79695	0	20.3-0-79.7-0
57	OHNK15	WRC151-001	20	36.3279872	-81.6367979	Pine Orchard Creek	5.00E-05	0	0.99995	0	0-0-100-0
58	OHNK16	WRC153-001	20	36.4215314	-81.2530259	Reeves Branch	7.00E-04	0.02445	0.875	0.0998	0.1-2.4-87.5-10
60	OHNK18	WRC165-001	20	36.255907	-81.7003412	Trivett Branch	5.00E-05	0	0.99995	0	0-0-100-0
61	OHNK19	WRC167-001	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0.1357	0	0.8643	0	13.6-0-86.4-0
63	OHNK20	WRC168-001	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.08455	0.0099	0.8964	0.00915	8.5-1-89.6-0.9
64	OHNK21	WRC172-001	20	36.4275894	-81.285759	UT Cranberry Creek	0.00025	0	0.9997	5.00E-05	0-0-100-0
65	OHNK22	WRC177-001	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.03015	0	0.94895	0.0209	3-0-94.9-2.1
66	OHNK23	WRC180-001	20	36.3346989	-81.5191582	UT Old Fields Creek	0.1422	0	0.8578	0	14.2-0-85.8-0
67	OHNK24	WRC181-001	20	36.318367	-81.6350545	UT Pine Orchard Creek	0	0	1	0	0-0-100-0
68	OHNK25	WRC184-001	20	36.3238544	-81.4823595	UT South Fork New River	0.0077	0	0.9923	0	0.8-0-99.2-0
69	OHNK26	WRC186-001	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.09915	5.00E-05	0.9008	0	9.9-0-90.1-0
70	OHNK27	WRC188-001	20	36.2837895	-81.4703543	Wolfpen Creek	1.00E-04	0	0.9999	0	0-0-100-0
72	OHNK29	WRC127-001	20	36.1556403	-81.6500868	Brown Branch	0.0284	0	0.9711	5.00E-04	2.8-0-97.1-0.1
75	OHNK31	WRC129-001	20	36.4408513	-81.4916861	Claybank Creek	0.1131	3.00E-04	0.88505	0.0014	11.3-0-88.5-0.1
76	OHNK32	WRC131-001	20	36.242154	-81.686784	Doe Fork	0.02695	0	0.97305	0	2.7-0-97.3-0
77	OHNK33	WRC133-001	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.22425	0.0515	0.46655	0.25765	22.4-5.2-46.7-25.8
78	OHNK34	WRC135-001	20	36.4266562	-81.4539442	Ezra Fork	0.0018	0.0021	0.9955	6.00E-04	0.2-0.2-99.6-0.1
79	OHNK35	WRC136-001	20	36.2409489	-81.538227	Gap Creek	0.0444	0.00065	0.95495	0	4.4-0.1-95.5-0
81	OHNK37	WRC139-001	19	36.371606	-81.712475	Hoskins Fork	0.001421053	0.012368421	0.962789474	0.023368421	0.1-1.2-96.3-2.3
82	OHNK38	WRC140-001	20	36.5535323	-81.513874	Jerd Branch	0	0.00025	0	0.99975	0-0-0-100
83	OHNK39	WRC141-001	20	36.2687846	-81.7183243	Jones Branch	0.00265	0	0.99735	0	0.3-0-99.7-0
84	OHNK4	WRC122-001	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0.001	0	0.999	0	0.1-0-99.9-0
85	OHNK40	WRC142-001	20	36.5283912	-81.6843392	Kilby Creek	0.34415	3.00E-04	0.6549	0.00045	34.4-0-65.5-0
87	OHNK42	WRC145-001	20	36.424392	-81.197458	Meadow Fork	0.27105	0	0.72865	3.00E-04	27.1-0-72.9-0
89	OHNK44	WRC148-001	20	36.2362881	-81.6642773	Norris Branch	0.22	0.0081	0.7714	0.00045	22-0.8-77.1-0
90	OHNK45	WRC149-001	19	36.2825932	-81.6830482	Norris Fork	0.051947368	0	0.880105263	0.067947368	5.2-0-88-6.8
93	OHNK48	WRC155-001	20	36.3041046	-81.650166	Rittle Fork	0.00215	0	0.99785	0	0.2-0-99.8-0
94	OHNK49	WRC157-001	20	36.5053588	-81.5980255	Roaring Branch	0.7327	3.00E-04	0.26695	0	73.3-0-26.7-0
95	OHNK5	WRC123-001	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.01285	0.0035	0.95915	0.0245	1.3-0.4-95.9-2.5
96	OHNK50	WRC158-001	20	36.5147638	-81.653585	Roaring Fork	0.0026	0.3787	0.0021	0.61655	0.3-37.9-0.2-61.7
98	OHNK52	WRC160-001	20	36.455572	-81.697383	Roundabout Creek	0.0069	0.1321	0.46565	0.3952	0.7-13.2-46.6-39.5
99	OHNK53	WRC162-001	20	36.3749868	-81.5996959	Skin Camp Branch	0	0	1	0	0-0-100-0
100	OHNK54	WRC163-001	20	36.354175	-81.676697	Snyder Branch	0.0035	5.00E-05	0.8536	0.14275	0.4-0-85.4-14.3
102	OHNK56	WRC166-001	19	36.146241	-81.647147	UT Aho Branch	0.206631579	0	0.744157895	0.049105263	20.7-0-74.4-4.9
103	OHNK57	WRC169-001	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.42855	0.05205	0.3755	0.14385	42.9-5.2-37.6-14.4
104	OHNK58	WRC170-001	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.1923	0.0333	0.60195	0.1723	19.2-3.3-60.2-17.2
105	OHNK59	WRC171-001	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.00045	5.00E-05	0.99925	0.00015	0-0-99.9-0
106	OHNK6	WRC124-001	20	36.3573423	-81.6159101	Bald Fork	0	0	1	0	0-0-100-0
110	OHNK63	WRC176-001	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.00625	0	0.99375	0	0.6-0-99.4-0
111	OHNK64	WRC178-001	20	36.4802743	-81.4765576	UT North Fork New River	0.2008	0.164	0.42965	0.20545	20.1-16.4-43-20.5
112	OHNK65	WRC179-001	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.00295	0.00015	0.8378	0.1591	0.3-0-83.8-15.9
113	OHNK66	WRC183-001	20	36.332893	-81.4599757	UT South Fork New River	0.00115	1.00E-04	0.88885	0.10985	0.1-0-88.9-11
115	OHNK68	WRC187-001	19	36.4039791	-81.2784303	Wolf Branch	0.002210526	0	0.955	0.042736842	0.2-0-95.5-4.3
116	OHNK69	D701-001	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.002545455	0	0.997045455	0.000409091	0.3-0-99.7-0
117	OHNK7	WRC126-001	20	36.5626706	-81.6665957	Big Laurel Creek	0.3099	0.14595	0.53005	0.0142	31-14.6-53-1.4
119	OHNK71	D703-001	24	36.1541123	-81.6276005	Aho Branch	5.00E-04	0	0.9995	0	0.1-0-100-0
120	OHNK8	WRC130-001	20	36.2638257	-81.5339435	Cranberry Creek	0.00065	0	0.99935	0	0.1-0-99.9-0
121	OHNK9	WRC132-001	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.00025	0	0.99975	0	0-0-100-0
122	PFBNC124	WRC336-001	20	36.3592958	-81.719256	UT Hoskins Fork	0.034	7.00E-04	0.8753	0.0899	3.4-0.1-87.5-9
123	PFBNC76	WRC332-001	20	36.3083612	-81.6702018	Little Creek	0.03475	0.00015	0.9602	0.00485	3.5-0-96-0.5
124	SnakeCreek	VA12-001	20	36.678723	-80.657286	Snake Creek	0	5.00E-05	0.99995	0	0-0-100-0
125	StandrockBranch	VA13-001	20	37.196585	-80.893499	Standrock Branch	3.00E-04	9.00E-04	0.98735	0.01145	0-0.1-98.7-1.1
126	ToryCreek	VA14-001	18	36.744527	-80.493856	Tory Creek	0.000111111	0	0.999888889	0	0-0-100-0
128	GA13	GA13-001	30	34.769548	-84.033267	Bryant Creek	0.002266667	0	0.997733333	0	0.2-0-99.8-0
129	GA14	GA14-001	40	34.767345	-83.993942	Logan Creek	0.003125	0	0.996875	0	0.3-0-99.7-0
130	GCS1	LR_2013_121	29	35.591956	-83.516187	Grouse Creek Site 1	0.999551724	0	0.000448276	0	100-0-0-0
131	GPS1	FC_2014_001	40	35.594153	-83.561233	Goshen Prong Site 1	0.9999	0	1.00E-04	0	100-0-0-0
132	GPS4	FC_2014_096	50	35.5834	-83.544	Goshen Prong Site 4	1	0	0	0	100-0-0-0
133	GRSML1	GRSML1-001	48	35.591	-83.5744	Fish Camp Run	0.999729167	0	0.000270833	0	100-0-0-0
