ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	Data
819	Armstrong	Armstrong-01	50	1.08	1	Hatchery	0	0.00646	2.00E-05	0.9935	0-0.6-0-99.4
820	Bellefonte	HATC8-01	31	1.08	1.02	Hatchery	6.45E-05	0.14183871	0	0.858096774	0-14.2-0-85.8
821	Berlin	HATC10-001	50	1.07	1	Hatchery	0	4.00E-05	0	0.99996	0-0-0-100
822	BigHillPd	HATC5-01	55	1.07	1.02	Hatchery	9.09E-05	0.545290909	0	0.454563636	0-54.5-0-45.5
823	Edray	HATC9-01	21	1.06	1	Hatchery	0	0	0	1	0-0-0-100
824	HydePd	HATC3-01	35	1.06	1.02	Hatchery	2.86E-05	0.665371429	0	0.334571429	0-66.5-0-33.5
825	Milford1	HATC11-001	50	1.05	1	Hatchery	0	0	0	1	0-0-0-100
826	Milford2	HATC12-001	50	1.05	1.02	Hatchery	2.00E-05	0.00548	0	0.9945	0-0.5-0-99.5
827	Milford3	HATC13-001	50	1.04	1	Hatchery	0	0	0	1	0-0-0-100
828	MountainPD	HATC4-01	31	1.04	1.02	Hatchery	0.002774194	0.471709677	0.000322581	0.525225806	0.3-47.2-0-52.5
829	PaintBank	PaintBank-01	50	1.03	1	Hatchery	0.04558	0.61288	0.0134	0.3281	4.6-61.3-1.3-32.8
830	Pequest	HATC7-01	20	1.03	1.02	Hatchery	0	0.54165	0	0.4583	0-54.2-0-45.8
831	Phillips	HATC1-001	60	1.02	1	Hatchery	0	0.215433333	0	0.784566667	0-21.5-0-78.5
832	Pisgah	Pisgah-01	50	1.02	1.02	Hatchery	0	4.00E-05	0	0.99996	0-0-0-100
833	Randolph	DS03-001	30	1.01	1	Hatchery	0	0	0	1	0-0-0-100
834	RomeHat	HATC6-01	50	1.01	1.02	Hatchery	0	0	0	1	0-0-0-100
835	Sandwich	HATC2-001	37	1	1	Hatchery	2.70E-05	0.026189189	0	0.973756757	0-2.6-0-97.4
836	TelHatch	TN06-001	68	1	1.02	Hatchery	0.457735294	0	0.542264706	0	45.8-0-54.2-0
