ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	Data
1	PFBNC143	WRC061-001	20	35.12013	-82.75003	Murr Creek	0	5.00E-05	0.00565	0.0031	0.9911	0-0-0.6-0.3-99.1
3	OHCM1	OHCM1-1001	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0	0.043177632	0.956526316	0.000230263	5.26E-05	0-4.3-95.7-0-0
4	OHCM2	OHCM2-01	20	38.6023	-79.9109	Lambert Run	0	0.1658	0.83415	5.00E-05	0	0-16.6-83.4-0-0
5	OHCM3	OHCM3-01	30	38.55	-79.895	First Fork	0	0.0267	0.969833333	0.003466667	0	0-2.7-97-0.3-0
6	OHCM4	OHCM4-01	27	38.5415	-79.9487	Buck Run	0	0.000148148	0.99437037	0.004703704	0.000814815	0-0-99.4-0.5-0.1
7	OHCM5	OHCM5-01	26	38.5619	-79.9276	Black Run	0	0.000153846	0.998961538	3.85E-05	0.000807692	0-0-99.9-0-0.1
8	OHCM6	OHCM6-01	33	38.4857	-79.9663	Rocky Run 1	0	0	1	0	0	0-0-100-0-0
9	OHCM7	OHCM7-01	31	38.4868	-79.9753	Rocky Run 2	0	0.003290323	0.993354839	0.003129032	0.000193548	0-0.3-99.3-0.3-0
10	OHCM8	OHCM8-101	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0	0	0.999942308	5.77E-05	0	0-0-100-0-0
11	OHTM1	OHTM1-01	50	38.7345	-79.9089	Shavers Run	0	8.00E-05	0.08764	0.8713	0.04096	0-0-8.8-87.1-4.1
12	OHYM1	OHYM1-01	49	39.7148	-79.2305	Puzzley Run	0	0.126142857	0.743346939	0.13022449	0.000265306	0-12.6-74.3-13-0
13	OHYM2	OHYM2-01	49	39.4016	-79.3043	Boiling Springs	0	0.111755102	0.883612245	0.000979592	0.003632653	0-11.2-88.4-0.1-0.4
14	OHYM3	OHYM3-01	49	39.6588	-79.2739	Little Bear Creek	0	0.065428571	0.603816327	0.320122449	0.010489796	0-6.5-60.4-32-1
15	OHYM4	OHYM4-001	30	39.6329	-79.2252	Casselman River	0	0.002366667	0.704133333	0.287566667	0.0059	0-0.2-70.4-28.8-0.6
16	GA06	GA06-001	30	34.796427	-83.78574	Upper Chattahoochee River	0	0	0	0.999666667	0.000333333	0-0-0-100-0
17	GA07	GA07-001	30	34.764654	-83.804072	Low Gap Creek	0	0	0	1	0	0-0-0-100-0
18	GA21	GA21-001	30	34.79557	-83.653437	Left Fork Soque River	0	0	0	1	0	0-0-0-100-0
19	GUNR1	GUNR1-01	50	39.5981	-76.6531	Panther Branch	0	0.26656	0.72778	0.0033	0.00244	0-26.7-72.8-0.3-0.2
20	GUNR2	GUNR2-01	50	39.658	-76.8139	Indian Run	0	0.67818	0.23674	0.08512	0	0-67.8-23.7-8.5-0
23	SUSR4	SUSR4-001	100	39.6481	-76.4454	Rock Hollow Run	0	0.02004	0.9775	0.00108	0.00135	0-2-97.8-0.1-0.1
24	SUSR5	SUSR5-001	50	39.6295	-76.4209	Kellogg Branch	0	0.0056	0.9944	0	0	0-0.6-99.4-0-0
25	SUSR6	SUSR6-001	50	39.6438	-76.479	Spooners Creek	0	0.02874	0.96988	0	0.00138	0-2.9-97-0-0.1
26	CATO1	CATO1-01	47	39.6349	-77.4789	Big Hunting Creek	0	0.220829787	0.779148936	0	0	0-22.1-77.9-0-0
27	CATO2	CATO2-01	49	39.6632	-77.4804	Owens Creek	0	2.04E-05	0.999979592	0	0	0-0-100-0-0
28	CATO3	CATO3-01	32	39.6363	-77.45	Still Creek	0	0.040125	0.95546875	0.00090625	0.0035	0-4-95.5-0.1-0.4
29	CATO4	CATO4-01	38	39.5432	-77.4647	Right Fork Fishing Creek	0	0.000315789	0.989684211	0.000368421	0.009631579	0-0-99-0-1
30	CATO5	CATO5-01	48	39.5327	-77.4752	Left Fork Fishing Creek	0	0.033520833	0.955333333	0.005375	0.005729167	0-3.4-95.5-0.5-0.6
31	POMR1	POMR1-01	47	39.4734	-77.4152	Tuscarora Creek	0	0.052723404	0.944191489	0.000553191	0.002468085	0-5.3-94.4-0.1-0.2
32	BearCreek	VA05-001	20	36.737334	-80.58159	Bear Creek	0	0	0	1	0	0-0-0-100-0
33	BigReedIslandCr	VA07-001	20	36.674994	-80.521569	Big Reed Island Creek	0	0	0.00035	0.9124	0.08725	0-0-0-91.2-8.7
35	EFDryRun	VA09-001	20	36.771983	-81.164966	EF Dry Run	0	0.00025	0.00195	0.93265	0.06515	0-0-0.2-93.3-6.5
37	NFStonyCreek	VA11-002	19	37.43226	-80.553248	NF Stony Creek	0	0	0	0.957421053	0.042578947	0-0-0-95.7-4.3
38	OHCK1	OHCK1-01	25	38.23711	-80.34118	Byrd Branch	0	0.24024	0.00324	0.6926	0.06392	0-24-0.3-69.3-6.4
39	OHCK2	OHCK2-01	49	38.24175	-80.37169	Dogway Fork	0	0.42477551	0.04055102	0.479510204	0.055163265	0-42.5-4.1-48-5.5
40	OHGK1	OHGK1-01	50	38.58315	-79.66737	Walderman Run	0	0.00038	0.07098	0.55232	0.37626	0-0-7.1-55.2-37.6
41	OHGK2	OHGK2-01	49	38.39899	-79.74983	Sutton Run	0	0	0.000102041	0.980959184	0.018959184	0-0-0-98.1-1.9
42	OHGK3	OHGK3-001	27	38.65128	-79.65491	EF Greenbrier Headwater	0	0.053407407	0.218518519	0.65362963	0.074259259	0-5.3-21.9-65.4-7.4
43	OHGK4	OHGK4-001	30	38.62221	-79.68543	Mullenox Run	0	0.003133333	0.171433333	0.630366667	0.195066667	0-0.3-17.1-63-19.5
44	OHGK5	OHGK5-001	23	38.61545	-79.67927	Abes Run	0	0.000130435	0.130652174	0.710826087	0.158391304	0-0-13.1-71.1-15.8
45	OHGK6	OHGK6-001	19	38.57618	-79.70156	Long Run	0	5.26E-05	0.053052632	0.806736842	0.140105263	0-0-5.3-80.7-14
46	OHGK7	OHGK7-001	22	38.51356	-79.7221	Little River	0	0.005363636	0.002181818	0.991136364	0.001318182	0-0.5-0.2-99.1-0.1
47	OHGK8	OHGK8-001	29	37.96923	-80.29571	Laurel Run	0	0.897827586	0.000344828	0.080931034	0.020862069	0-89.8-0-8.1-2.1
49	OHGN1	OHGN1-001	30	38.2026	-80.37271	NF Cherry River	0	0.002966667	0.063466667	0.850666667	0.0829	0-0.3-6.3-85.1-8.3
51	OHNK1	OHNK1-001	30	37.91433	-81.02081	Buffalo Creek	0	0.086233333	0.167666667	0.745333333	0.000733333	0-8.6-16.8-74.5-0.1
52	OHNK10	WRC134-001	20	36.4267603	-81.453945	Ezra Fork	0	0.007	0.00075	0.97915	0.0131	0-0.7-0.1-97.9-1.3
53	OHNK11	WRC137-001	20	36.4493635	-81.0835415	Glade Creek	0	0	0	0.9654	0.03455	0-0-0-96.5-3.5
54	OHNK12	WRC144-001	20	36.5569233	-81.6234242	Little Horse Creek	0	0	0	0.99905	0.00095	0-0-0-99.9-0.1
55	OHNK13	WRC146-001	20	36.3196431	-81.6919865	Meat Camp Creek	0	0	0	0.81625	0.18375	0-0-0-81.6-18.4
57	OHNK15	WRC151-001	20	36.3279872	-81.6367979	Pine Orchard Creek	0	0	0	0.99965	0.00035	0-0-0-100-0
58	OHNK16	WRC153-001	20	36.4215314	-81.2530259	Reeves Branch	0	0.10045	0.0139	0.8848	0.00075	0-10-1.4-88.5-0.1
60	OHNK18	WRC165-001	20	36.255907	-81.7003412	Trivett Branch	0	0	0	1	0	0-0-0-100-0
61	OHNK19	WRC167-001	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0	0	0	0.78665	0.21335	0-0-0-78.7-21.3
63	OHNK20	WRC168-001	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0	0.0048	0.08735	0.64455	0.26335	0-0.5-8.7-64.5-26.3
64	OHNK21	WRC172-001	20	36.4275894	-81.285759	UT Cranberry Creek	0	0.00015	0	0.99715	0.0027	0-0-0-99.7-0.3
65	OHNK22	WRC177-001	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0	0.0304	0	0.93515	0.03445	0-3-0-93.5-3.4
66	OHNK23	WRC180-001	20	36.3346989	-81.5191582	UT Old Fields Creek	0	0	0	0.7469	0.2531	0-0-0-74.7-25.3
67	OHNK24	WRC181-001	20	36.318367	-81.6350545	UT Pine Orchard Creek	0	0	0	1	0	0-0-0-100-0
68	OHNK25	WRC184-001	20	36.3238544	-81.4823595	UT South Fork New River	0	0	0	0.9531	0.0469	0-0-0-95.3-4.7
69	OHNK26	WRC186-001	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0	0	5.00E-05	0.90005	0.09985	0-0-0-90-10
70	OHNK27	WRC188-001	20	36.2837895	-81.4703543	Wolfpen Creek	0	0	0	0.9999	1.00E-04	0-0-0-100-0
72	OHNK29	WRC127-001	20	36.1556403	-81.6500868	Brown Branch	0	8.00E-04	1.00E-04	0.8262	0.1728	0-0.1-0-82.6-17.3
75	OHNK31	WRC129-001	20	36.4408513	-81.4916861	Claybank Creek	0	0.00105	0.00025	0.83835	0.16025	0-0.1-0-83.8-16
76	OHNK32	WRC131-001	20	36.242154	-81.686784	Doe Fork	0	0	0	0.9659	0.0341	0-0-0-96.6-3.4
77	OHNK33	WRC133-001	20	36.5054486	-81.6451105	East Fork Roaring Fork	0	0.24255	0.07745	0.21805	0.462	0-24.3-7.7-21.8-46.2
78	OHNK34	WRC135-001	20	36.4266562	-81.4539442	Ezra Fork	0	0.00035	0.0029	0.9455	0.0511	0-0-0.3-94.6-5.1
