ID	Population	Pop	Sample Size	Latitude	Longitude	true_lat	true_lon	General Location	K1	K2	K3	K4	K5	Data
819	Armstrong	Armstrong-01	50	1.08	1	35.79817	-82.11271	Hatchery	0	0.99338	0.00644	0.00016	0	0-99.3-0.6-0-0
820	Bellefonte	HATC8-01	31	1.08	1.02	40.88183	-77.79431	Hatchery	0	0.819	0.180967742	0	3.23E-05	0-81.9-18.1-0-0
821	Berlin	HATC10-001	50	1.07	1	44.50523	-71.33618	Hatchery	0	0.99998	2.00E-05	0	0	0-100-0-0-0
822	Big Hill Pond	HATC5-01	55	1.07	1.02	44.1297	-75.27404	Hatchery	0	0.353818182	0.646090909	0	9.09E-05	0-35.4-64.6-0-0
823	Edray	HATC9-01	21	1.06	1	38.26999	-80.10542	Hatchery	0	1	0	0	0	0-100-0-0-0
824	Hyde Pond	HATC3-01	35	1.06	1.02	44.4372451	-74.3315281	Hatchery	0	0.2174	0.782571429	0	2.86E-05	0-21.7-78.3-0-0
825	Milford 1	HATC11-001	50	1.05	1	42.8511	-71.68892	Hatchery	0	1	0	0	0	0-100-0-0-0
826	Milford 2	HATC12-001	50	1.05	1.02	42.8511	-71.68892	Hatchery	0	0.99374	0.00614	0	0.00012	0-99.4-0.6-0-0
827	Milford 3	HATC13-001	50	1.04	1	42.8511	-71.68892	Hatchery	0	1	0	0	0	0-100-0-0-0
828	Mountain Pond	HATC4-01	31	1.04	1.02	43.70707	-74.87641	Hatchery	0	0.410645161	0.585612903	3.23E-05	0.003612903	0-41.1-58.6-0-0.4
829	Paint Bank	PaintBank-01	50	1.03	1	37.55359	-80.24452	Hatchery	0	0.25266	0.6877	0.0031	0.05648	0-25.3-68.8-0.3-5.6
830	Pequest	HATC7-01	20	1.03	1.02	40.8367	-74.95076	Hatchery	0	0.4196	0.58035	0	5.00E-05	0-42-58-0-0
831	Phillips	HATC1-001	60	1.02	1	44.87579	-70.40833	Hatchery	0	0.71285	0.28715	0	0	0-71.3-28.7-0-0
832	Pisgah	Pisgah-01	50	1.02	1.02	35.2846	-82.79404	Hatchery	0	0.99986	0.00014	0	0	0-100-0-0-0
833	Randolph	DS03-001	30	1.01	1	42.15462	-78.94032	Hatchery	0	1	0	0	0	0-100-0-0-0
834	Rome	HATC6-01	50	1.01	1.02	43.26351	-75.43714	Hatchery	0	1	0	0	0	0-100-0-0-0
835	Sandwich	HATC2-001	37	1	1	41.75278	-70.48943	Hatchery	0	0.966486486	0.033405405	0	8.11E-05	0-96.6-3.3-0-0
836	Tellico	TN06-001	68	1	1.02	35.28886	-84.09845	Hatchery	0	0	0	0.448911765	0.551088235	0-0-0-44.9-55.1
