ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	Data
1	PFBNC143	WRC061-001	20	35.12013	-82.75003	Murr Creek	0	3.00E-04	0	0.99715	0	0.00245	0-0-0-99.7-0-0.2
3	OHCM1	OHCM1-1001	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.043848684	0.000401316	0	8.55E-05	0	0.955657895	4.4-0-0-0-0-95.6
4	OHCM2	OHCM2-01	20	38.6023	-79.9109	Lambert Run	0.1632	0	0	0	0	0.83675	16.3-0-0-0-0-83.7
5	OHCM3	OHCM3-01	30	38.55	-79.895	First Fork	0.028466667	0.003266667	0	0	0	0.968233333	2.8-0.3-0-0-0-96.8
6	OHCM4	OHCM4-01	27	38.5415	-79.9487	Buck Run	0.000111111	0.008	0	7.41E-05	0	0.991814815	0-0.8-0-0-0-99.2
7	OHCM5	OHCM5-01	26	38.5619	-79.9276	Black Run	0.000115385	3.85E-05	0	7.69E-05	0	0.999730769	0-0-0-0-0-100
8	OHCM6	OHCM6-01	33	38.4857	-79.9663	Rocky Run 1	0	0	0	0	0	1	0-0-0-0-0-100
9	OHCM7	OHCM7-01	31	38.4868	-79.9753	Rocky Run 2	0.002258065	0.002483871	0	9.68E-05	0	0.995129032	0.2-0.2-0-0-0-99.5
10	OHCM8	OHCM8-101	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0	9.62E-05	0	0	0	0.999903846	0-0-0-0-0-100
11	OHTM1	OHTM1-01	50	38.7345	-79.9089	Shavers Run	1.00E-04	0.85828	0.00018	0.04656	0	0.09492	0-85.8-0-4.7-0-9.5
12	OHYM1	OHYM1-01	49	39.7148	-79.2305	Puzzley Run	0.125387755	0.11177551	0	0.001040816	0	0.761734694	12.5-11.2-0-0.1-0-76.2
13	OHYM2	OHYM2-01	49	39.4016	-79.3043	Boiling Springs	0.101326531	0.001	0	0.000632653	0	0.897040816	10.1-0.1-0-0.1-0-89.7
14	OHYM3	OHYM3-01	49	39.6588	-79.2739	Little Bear Creek	0.052612245	0.307693878	0	0.034918367	0	0.604612245	5.3-30.8-0-3.5-0-60.5
15	OHYM4	OHYM4-001	30	39.6329	-79.2252	Casselman River	0.002666667	0.282366667	0	0.010133333	0	0.704833333	0.3-28.2-0-1-0-70.5
16	GA06	GA06-001	30	34.796427	-83.78574	Upper Chattahoochee River	0	0.999866667	0	0.000133333	0	0	0-100-0-0-0-0
17	GA07	GA07-001	30	34.764654	-83.804072	Low Gap Creek	0	1	0	0	0	0	0-100-0-0-0-0
18	GA21	GA21-001	30	34.79557	-83.653437	Left Fork Soque River	0	1	0	0	0	0	0-100-0-0-0-0
19	GUNR1	GUNR1-01	50	39.5981	-76.6531	Panther Branch	0.26228	0.00242	0	0.00418	0	0.73108	26.2-0.2-0-0.4-0-73.1
20	GUNR2	GUNR2-01	50	39.658	-76.8139	Indian Run	0.66786	0.06784	0	0	0	0.26428	66.8-6.8-0-0-0-26.4
23	SUSR4	SUSR4-001	100	39.6481	-76.4454	Rock Hollow Run	0.01628	0.00077	0.00013	0.00119	0	0.9816	1.6-0.1-0-0.1-0-98.2
24	SUSR5	SUSR5-001	50	39.6295	-76.4209	Kellogg Branch	0.0066	0	0	0	0	0.9934	0.7-0-0-0-0-99.3
25	SUSR6	SUSR6-001	50	39.6438	-76.479	Spooners Creek	0.02506	0	0	0.00034	0	0.97458	2.5-0-0-0-0-97.5
26	CATO1	CATO1-01	47	39.6349	-77.4789	Big Hunting Creek	0.216	0	0	0	0	0.784	21.6-0-0-0-0-78.4
27	CATO2	CATO2-01	49	39.6632	-77.4804	Owens Creek	2.04E-05	0	0	0	0	0.999979592	0-0-0-0-0-100
28	CATO3	CATO3-01	32	39.6363	-77.45	Still Creek	0.03846875	0.0008125	0	0.0010625	0	0.9595625	3.8-0.1-0-0.1-0-96
29	CATO4	CATO4-01	38	39.5432	-77.4647	Right Fork Fishing Creek	0.000236842	0.000184211	0	0.001157895	0	0.998421053	0-0-0-0.1-0-99.8
30	CATO5	CATO5-01	48	39.5327	-77.4752	Left Fork Fishing Creek	0.031875	0.0028125	0	0.012416667	0	0.952770833	3.2-0.3-0-1.2-0-95.3
31	POMR1	POMR1-01	47	39.4734	-77.4152	Tuscarora Creek	0.051680851	0.000340426	0	0.001765957	0	0.946191489	5.2-0-0-0.2-0-94.6
32	BearCreek	VA05-001	20	36.737334	-80.58159	Bear Creek	0	1	0	0	0	0	0-100-0-0-0-0
33	BigReedIslandCr	VA07-001	20	36.674994	-80.521569	Big Reed Island Creek	0	0.92005	0	0.0792	0	7.00E-04	0-92-0-7.9-0-0.1
35	EFDryRun	VA09-001	20	36.771983	-81.164966	EF Dry Run	8.00E-04	0.85665	0	0.13715	0	0.00525	0.1-85.7-0-13.7-0-0.5
37	NFStonyCreek	VA11-002	19	37.43226	-80.553248	NF Stony Creek	0	0.956789474	0	0.043210526	0	0	0-95.7-0-4.3-0-0
38	OHCK1	OHCK1-01	25	38.23711	-80.34118	Byrd Branch	0.25084	0.69216	0.00024	0.052	0	0.00488	25.1-69.2-0-5.2-0-0.5
39	OHCK2	OHCK2-01	49	38.24175	-80.37169	Dogway Fork	0.412795918	0.463346939	0.001387755	0.067489796	0	0.054918367	41.3-46.3-0.1-6.7-0-5.5
40	OHGK1	OHGK1-01	50	38.58315	-79.66737	Walderman Run	0.00042	0.64102	0.131	0.12684	0	0.10068	0-64.1-13.1-12.7-0-10.1
41	OHGK2	OHGK2-01	49	38.39899	-79.74983	Sutton Run	0	0.982836735	0.016163265	0.000959184	0	4.08E-05	0-98.3-1.6-0.1-0-0
42	OHGK3	OHGK3-001	27	38.65128	-79.65491	EF Greenbrier Headwater	0.036518519	0.680518519	0.001481481	0.011074074	0	0.270259259	3.7-68.1-0.1-1.1-0-27
43	OHGK4	OHGK4-001	30	38.62221	-79.68543	Mullenox Run	0.003233333	0.632366667	0.015033333	0.135866667	0	0.2134	0.3-63.2-1.5-13.6-0-21.3
44	OHGK5	OHGK5-001	23	38.61545	-79.67927	Abes Run	4.35E-05	0.770478261	0.08773913	0.010391304	0	0.131217391	0-77-8.8-1-0-13.1
45	OHGK6	OHGK6-001	19	38.57618	-79.70156	Long Run	5.26E-05	0.808263158	0.000157895	0.126526316	0	0.065	0-80.8-0-12.7-0-6.5
46	OHGK7	OHGK7-001	22	38.51356	-79.7221	Little River	0.005727273	0.989409091	0	0.002727273	0	0.002181818	0.6-98.9-0-0.3-0-0.2
47	OHGK8	OHGK8-001	29	37.96923	-80.29571	Laurel Run	0.897413793	0.101103448	0.000103448	0.000758621	0	0.000586207	89.7-10.1-0-0.1-0-0.1
49	OHGN1	OHGN1-001	30	38.2026	-80.37271	NF Cherry River	0.0031	0.8594	0.000133333	0.074233333	0	0.063266667	0.3-85.9-0-7.4-0-6.3
51	OHNK1	OHNK1-001	30	37.91433	-81.02081	Buffalo Creek	0.081266667	0.745366667	0	0.000466667	0	0.172933333	8.1-74.5-0-0-0-17.3
52	OHNK10	WRC134-001	20	36.4267603	-81.453945	Ezra Fork	0.02015	0.873	0	0.105	0	0.00175	2-87.3-0-10.5-0-0.2
53	OHNK11	WRC137-001	20	36.4493635	-81.0835415	Glade Creek	0	0.9517	0	0.04825	0	0	0-95.2-0-4.8-0-0
54	OHNK12	WRC144-001	20	36.5569233	-81.6234242	Little Horse Creek	0	0.9991	0	9.00E-04	0	0	0-99.9-0-0.1-0-0
55	OHNK13	WRC146-001	20	36.3196431	-81.6919865	Meat Camp Creek	0	0.84015	0	0.1598	0	0	0-84-0-16-0-0
57	OHNK15	WRC151-001	20	36.3279872	-81.6367979	Pine Orchard Creek	0	0.98875	0	0.01125	0	0	0-98.9-0-1.1-0-0
58	OHNK16	WRC153-001	20	36.4215314	-81.2530259	Reeves Branch	0.1023	0.8748	0	0.004	0	0.0188	10.2-87.5-0-0.4-0-1.9
60	OHNK18	WRC165-001	20	36.255907	-81.7003412	Trivett Branch	0	1	0	0	0	0	0-100-0-0-0-0
61	OHNK19	WRC167-001	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0	0.7986	0	0.2014	0	0	0-79.9-0-20.1-0-0
63	OHNK20	WRC168-001	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.00415	0.6299	0	0.3025	0	0.06325	0.4-63-0-30.3-0-6.3
64	OHNK21	WRC172-001	20	36.4275894	-81.285759	UT Cranberry Creek	0.00015	0.9745	0	0.02535	0	0	0-97.5-0-2.5-0-0
65	OHNK22	WRC177-001	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.0241	0.94875	0.00585	0.0213	0	0	2.4-94.9-0.6-2.1-0-0
66	OHNK23	WRC180-001	20	36.3346989	-81.5191582	UT Old Fields Creek	0	0.74825	0.0012	0.25055	0	0	0-74.8-0.1-25.1-0-0
67	OHNK24	WRC181-001	20	36.318367	-81.6350545	UT Pine Orchard Creek	0	1	0	0	0	0	0-100-0-0-0-0
68	OHNK25	WRC184-001	20	36.3238544	-81.4823595	UT South Fork New River	0	0.8919	0	0.1081	0	0	0-89.2-0-10.8-0-0
69	OHNK26	WRC186-001	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0	0.87725	5.00E-05	0.1225	0	0.00015	0-87.7-0-12.3-0-0
70	OHNK27	WRC188-001	20	36.2837895	-81.4703543	Wolfpen Creek	0	0.9944	0	0.0056	0	0	0-99.4-0-0.6-0-0
72	OHNK29	WRC127-001	20	36.1556403	-81.6500868	Brown Branch	0.00125	0.6619	0	0.3365	0	3.00E-04	0.1-66.2-0-33.7-0-0
75	OHNK31	WRC129-001	20	36.4408513	-81.4916861	Claybank Creek	1.00E-04	0.7656	0	0.23405	0	1.00E-04	0-76.6-0-23.4-0-0
76	OHNK32	WRC131-001	20	36.242154	-81.686784	Doe Fork	0	0.95325	0	0.04675	0	0	0-95.3-0-4.7-0-0
77	OHNK33	WRC133-001	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.225	0.12305	0	0.5696	0	0.08215	22.5-12.3-0-57-0-8.2
78	OHNK34	WRC135-001	20	36.4266562	-81.4539442	Ezra Fork	0.00035	0.8528	0	0.14205	0	0.0047	0-85.3-0-14.2-0-0.5
79	OHNK35	WRC136-001	20	36.2409489	-81.538227	Gap Creek	0	0.89365	0.00045	0.10575	0	0.00015	0-89.4-0-10.6-0-0
81	OHNK37	WRC139-001	19	36.371606	-81.712475	Hoskins Fork	0.007052632	0.949736842	0	0.041947368	0	0.001105263	0.7-95-0-4.2-0-0.1
82	OHNK38	WRC140-001	20	36.5535323	-81.513874	Jerd Branch	0.9997	0	0	0	0	0.00025	100-0-0-0-0-0
83	OHNK39	WRC141-001	20	36.2687846	-81.7183243	Jones Branch	0	0.982	0	0.018	0	0	0-98.2-0-1.8-0-0
84	OHNK4	WRC122-001	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0	0.9913	0	0.0087	0	0	0-99.1-0-0.9-0-0
85	OHNK40	WRC142-001	20	36.5283912	-81.6843392	Kilby Creek	1.00E-04	0.1285	5.00E-05	0.87055	0	0.00075	0-12.9-0-87.1-0-0.1
87	OHNK42	WRC145-001	20	36.424392	-81.197458	Meadow Fork	5.00E-05	0.6165	0.00105	0.38245	0	0	0-61.7-0.1-38.2-0-0
89	OHNK44	WRC148-001	20	36.2362881	-81.6642773	Norris Branch	2.00E-04	0.52685	0	0.4639	0	0.00905	0-52.7-0-46.4-0-0.9
90	OHNK45	WRC149-001	19	36.2825932	-81.6830482	Norris Fork	0.076368421	0.833	0	0.090631579	0	0	7.6-83.3-0-9.1-0-0
93	OHNK48	WRC155-001	20	36.3041046	-81.650166	Rittle Fork	0	0.9985	0	0.0015	0	0	0-99.9-0-0.2-0-0
94	OHNK49	WRC157-001	20	36.5053588	-81.5980255	Roaring Branch	0	0.2874	0	0.7125	0	1.00E-04	0-28.7-0-71.3-0-0
95	OHNK5	WRC123-001	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.00905	0.94975	5.00E-05	0.03935	0	0.0018	0.9-95-0-3.9-0-0.2
