ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	Data
819	Armstrong	Armstrong-01	50	1.08	1	Hatchery	0.99248	8.00E-05	0	0	0	0.00742	99.2-0-0-0-0-0.7
820	Bellefonte	HATC8-01	31	1.08	1.02	Hatchery	0.809548387	0	0	0	0	0.190451613	81-0-0-0-0-19
821	Berlin	HATC10-001	50	1.07	1	Hatchery	0.99998	0	0	0	0	2.00E-05	100-0-0-0-0-0
822	Big Hill Pond	HATC5-01	55	1.07	1.02	Hatchery	0.341636364	0	0	0.000109091	0	0.658236364	34.2-0-0-0-0-65.8
823	Edray	HATC9-01	21	1.06	1	Hatchery	1	0	0	0	0	0	100-0-0-0-0-0
824	Hyde Pond	HATC3-01	35	1.06	1.02	Hatchery	0.209485714	0	0	2.86E-05	0	0.790457143	20.9-0-0-0-0-79
825	Milford 1	HATC11-001	50	1.05	1	Hatchery	1	0	0	0	0	0	100-0-0-0-0-0
826	Milford 2	HATC12-001	50	1.05	1.02	Hatchery	0.99406	0	0	1.00E-04	0	0.00584	99.4-0-0-0-0-0.6
827	Milford 3	HATC13-001	50	1.04	1	Hatchery	1	0	0	0	0	0	100-0-0-0-0-0
828	Mountain Pond	HATC4-01	31	1.04	1.02	Hatchery	0.403870968	3.23E-05	0	0.004419355	0	0.591645161	40.4-0-0-0.4-0-59.2
829	Paint Bank	PaintBank-01	50	1.03	1	Hatchery	0.2369	0.0024	0.00028	0.02144	0	0.73888	23.7-0.2-0-2.1-0-73.9
830	Pequest	HATC7-01	20	1.03	1.02	Hatchery	0.4139	0	0	0.00015	0	0.586	41.4-0-0-0-0-58.6
831	Phillips	HATC1-001	60	1.02	1	Hatchery	0.7316	0	0	0	0	0.268383333	73.2-0-0-0-0-26.8
832	Pisgah	Pisgah-01	50	1.02	1.02	Hatchery	0.99988	0	0	0	0	0.00012	100-0-0-0-0-0
833	Randolph	DS03-001	30	1.01	1	Hatchery	1	0	0	0	0	0	100-0-0-0-0-0
834	Rome	HATC6-01	50	1.01	1.02	Hatchery	1	0	0	0	0	0	100-0-0-0-0-0
835	Sandwich	HATC2-001	37	1	1	Hatchery	0.967	0	0	0	0	0.032972973	96.7-0-0-0-0-3.3
836	Tellico	TN06-001	68	1	1.02	Hatchery	0	0.497367647	0.460794118	0.041808824	0	1.47E-05	0-49.7-46.1-4.2-0-0
