ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	Data
1	PFBNC143	WRC061-001	20	35.12013	-82.75003	Murr Creek	0	0	0	0	0	1	0	0-0-0-0-0-100-0
3	OHCM1	OHCM1-1001	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.000585526	0	0.951835526	0	6.58E-06	0.004855263	0.042710526	0.1-0-95.2-0-0-0.5-4.3
4	OHCM2	OHCM2-01	20	38.6023	-79.9109	Lambert Run	0	0	0.83975	0	0	0.0032	0.15705	0-0-84-0-0-0.3-15.7
5	OHCM3	OHCM3-01	30	38.55	-79.895	First Fork	0.000833333	0	0.9681	0	0	0	0.031033333	0.1-0-96.8-0-0-0-3.1
6	OHCM4	OHCM4-01	27	38.5415	-79.9487	Buck Run	0.007407407	0	0.992518519	3.70E-05	0	0	3.70E-05	0.7-0-99.3-0-0-0-0
7	OHCM5	OHCM5-01	26	38.5619	-79.9276	Black Run	0	0	0.999884615	0	0	0	3.85E-05	0-0-100-0-0-0-0
8	OHCM6	OHCM6-01	33	38.4857	-79.9663	Rocky Run 1	0	0	1	0	0	0	0	0-0-100-0-0-0-0
9	OHCM7	OHCM7-01	31	38.4868	-79.9753	Rocky Run 2	0.000193548	0	0.998709677	0	0.000258065	0	0.00083871	0-0-99.9-0-0-0-0.1
10	OHCM8	OHCM8-101	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	9.62E-05	0	0.999903846	0	0	0	0	0-0-100-0-0-0-0
11	OHTM1	OHTM1-01	50	38.7345	-79.9089	Shavers Run	0.87384	0	0.09908	9.00E-04	0.00298	0.02322	2.00E-05	87.4-0-9.9-0.1-0.3-2.3-0
12	OHYM1	OHYM1-01	49	39.7148	-79.2305	Puzzley Run	0.137816327	0	0.753571429	0	0	0.003163265	0.105346939	13.8-0-75.4-0-0-0.3-10.5
13	OHYM2	OHYM2-01	49	39.4016	-79.3043	Boiling Springs	0.00044898	0	0.898918367	0	0	0.003714286	0.096959184	0-0-89.9-0-0-0.4-9.7
14	OHYM3	OHYM3-01	49	39.6588	-79.2739	Little Bear Creek	0.330040816	0	0.591857143	0.000265306	0	0.024530612	0.053244898	33-0-59.2-0-0-2.5-5.3
15	OHYM4	OHYM4-001	30	39.6329	-79.2252	Casselman River	0.264433333	0	0.727666667	0	0	0.0057	0.0022	26.4-0-72.8-0-0-0.6-0.2
16	GA06	GA06-001	30	34.796427	-83.78574	Upper Chattahoochee River	0.998633333	0	0	0	0	0.001366667	0	99.9-0-0-0-0-0.1-0
17	GA07	GA07-001	30	34.764654	-83.804072	Low Gap Creek	1	0	0	0	0	0	0	100-0-0-0-0-0-0
18	GA21	GA21-001	30	34.79557	-83.653437	Left Fork Soque River	1	0	0	0	0	0	0	100-0-0-0-0-0-0
19	GUNR1	GUNR1-01	50	39.5981	-76.6531	Panther Branch	0.00044	0	0.78842	2.00E-05	0	0.00106	0.20994	0-0-78.8-0-0-0.1-21
20	GUNR2	GUNR2-01	50	39.658	-76.8139	Indian Run	0.05592	0	0.32466	0	0	0.00012	0.61928	5.6-0-32.5-0-0-0-61.9
23	SUSR4	SUSR4-001	100	39.6481	-76.4454	Rock Hollow Run	5.00E-05	0	0.94754	0	6.00E-05	0.04131	0.01101	0-0-94.8-0-0-4.1-1.1
24	SUSR5	SUSR5-001	50	39.6295	-76.4209	Kellogg Branch	0	0	0.99228	0	0	0	0.00772	0-0-99.2-0-0-0-0.8
25	SUSR6	SUSR6-001	50	39.6438	-76.479	Spooners Creek	0	0	0.97864	0	0	0.00698	0.01438	0-0-97.9-0-0-0.7-1.4
26	CATO1	CATO1-01	47	39.6349	-77.4789	Big Hunting Creek	0	0	0.805234043	0	0	2.13E-05	0.194744681	0-0-80.5-0-0-0-19.5
27	CATO2	CATO2-01	49	39.6632	-77.4804	Owens Creek	0	0	1	0	0	0	0	0-0-100-0-0-0-0
28	CATO3	CATO3-01	32	39.6363	-77.45	Still Creek	0.00025	0	0.97140625	0	0	0.00225	0.02603125	0-0-97.1-0-0-0.2-2.6
29	CATO4	CATO4-01	38	39.5432	-77.4647	Right Fork Fishing Creek	2.63E-05	0	0.999184211	0	0	0.000684211	0.000105263	0-0-99.9-0-0-0.1-0
30	CATO5	CATO5-01	48	39.5327	-77.4752	Left Fork Fishing Creek	0.000520833	0	0.9756875	2.08E-05	0	0.001645833	0.022083333	0.1-0-97.6-0-0-0.2-2.2
31	POMR1	POMR1-01	47	39.4734	-77.4152	Tuscarora Creek	4.26E-05	0	0.939085106	0	0	0.002978723	0.057829787	0-0-93.9-0-0-0.3-5.8
32	BearCreek	VA05-001	20	36.737334	-80.58159	Bear Creek	1	0	0	0	0	0	0	100-0-0-0-0-0-0
33	BigReedIslandCr	VA07-001	20	36.674994	-80.521569	Big Reed Island Creek	0.9014	0	3.00E-04	0.0504	0	0.04785	0	90.1-0-0-5-0-4.8-0
35	EFDryRun	VA09-001	20	36.771983	-81.164966	EF Dry Run	0.92265	0	0.0081	0.04815	0	0.0208	0.00025	92.3-0-0.8-4.8-0-2.1-0
37	NFStonyCreek	VA11-002	19	37.43226	-80.553248	NF Stony Creek	0.973578947	0	0	0	0	0.026421053	0	97.4-0-0-0-0-2.6-0
38	OHCK1	OHCK1-01	25	38.23711	-80.34118	Byrd Branch	0.6888	0	0.0188	0	0.00152	0.03148	0.2594	68.9-0-1.9-0-0.2-3.1-25.9
39	OHCK2	OHCK2-01	49	38.24175	-80.37169	Dogway Fork	0.452244898	0	0.097918367	0.015081633	0.008020408	0.050734694	0.375979592	45.2-0-9.8-1.5-0.8-5.1-37.6
40	OHGK1	OHGK1-01	50	38.58315	-79.66737	Walderman Run	0.65854	0	0.11032	0.02026	0.16318	0.0473	0.00036	65.9-0-11-2-16.3-4.7-0
41	OHGK2	OHGK2-01	49	38.39899	-79.74983	Sutton Run	0.981959184	0	2.04E-05	0	0.018	2.04E-05	0	98.2-0-0-0-1.8-0-0
42	OHGK3	OHGK3-001	27	38.65128	-79.65491	EF Greenbrier Headwater	0.682259259	0	0.280296296	0	0.003555556	0.017888889	0.015851852	68.2-0-28-0-0.4-1.8-1.6
43	OHGK4	OHGK4-001	30	38.62221	-79.68543	Mullenox Run	0.6361	0	0.258666667	0.000133333	0.024833333	0.078966667	0.0012	63.6-0-25.9-0-2.5-7.9-0.1
44	OHGK5	OHGK5-001	23	38.61545	-79.67927	Abes Run	0.772347826	0	0.133956522	0	0.088826087	0.004826087	0	77.2-0-13.4-0-8.9-0.5-0
45	OHGK6	OHGK6-001	19	38.57618	-79.70156	Long Run	0.882578947	0	0.058368421	0.048157895	5.26E-05	0.010789474	5.26E-05	88.3-0-5.8-4.8-0-1.1-0
46	OHGK7	OHGK7-001	22	38.51356	-79.7221	Little River	0.990590909	0	0.004272727	0	0	0.002090909	0.003	99.1-0-0.4-0-0-0.2-0.3
47	OHGK8	OHGK8-001	29	37.96923	-80.29571	Laurel Run	0.101931034	0	0.000827586	0	0.000206897	0.000206897	0.896827586	10.2-0-0.1-0-0-0-89.7
