ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	Data
819	Armstrong	Armstrong-01	50	1.08	1	Hatchery	4.00E-05	0	0.01166	0	0	0.02426	0.964	0-0-1.2-0-0-2.4-96.4
820	Bellefonte	HATC8-01	31	1.08	1.02	Hatchery	0	0	0.223032258	0	0	0.000129032	0.776806452	0-0-22.3-0-0-0-77.7
821	Berlin	HATC10-001	50	1.07	1	Hatchery	0	0	4.00E-05	0	0	0	0.99996	0-0-0-0-0-0-100
822	Big Hill Pond	HATC5-01	55	1.07	1.02	Hatchery	0	0	0.7052	0	0	4.00E-04	0.294418182	0-0-70.5-0-0-0-29.4
823	Edray	HATC9-01	21	1.06	1	Hatchery	0	0	0	0	0	0	1	0-0-0-0-0-0-100
824	Hyde Pond	HATC3-01	35	1.06	1.02	Hatchery	0	0	0.798714286	0	0	0.003257143	0.198028571	0-0-79.9-0-0-0.3-19.8
825	Milford 1	HATC11-001	50	1.05	1	Hatchery	0	0	0	0	0	0	1	0-0-0-0-0-0-100
826	Milford 2	HATC12-001	50	1.05	1.02	Hatchery	0	0	0.00322	0	0	2.00E-05	0.99676	0-0-0.3-0-0-0-99.7
827	Milford 3	HATC13-001	50	1.04	1	Hatchery	0	0	0	0	0	0	1	0-0-0-0-0-0-100
828	Mountain Pond	HATC4-01	31	1.04	1.02	Hatchery	3.23E-05	0	0.612290323	0	0	0.010064516	0.377645161	0-0-61.2-0-0-1-37.8
829	Paint Bank	PaintBank-01	50	1.03	1	Hatchery	6.00E-05	0	0.4208	0	0.00026	0.51782	0.0611	0-0-42.1-0-0-51.8-6.1
830	Pequest	HATC7-01	20	1.03	1.02	Hatchery	0	0	0.609	0	0	0.0017	0.3893	0-0-60.9-0-0-0.2-38.9
831	Phillips	HATC1-001	60	1.02	1	Hatchery	0	0	0.256266667	0	0	0	0.743733333	0-0-25.6-0-0-0-74.4
832	Pisgah	Pisgah-01	50	1.02	1.02	Hatchery	0	0	0.00018	0	0	0.00056	0.99926	0-0-0-0-0-0.1-99.9
833	Randolph	DS03-001	30	1.01	1	Hatchery	0	0	0	0	0	0	1	0-0-0-0-0-0-100
834	Rome	HATC6-01	50	1.01	1.02	Hatchery	0	0	0	0	0	0	1	0-0-0-0-0-0-100
835	Sandwich	HATC2-001	37	1	1	Hatchery	0	0	0.037459459	0	0	8.11E-05	0.962378378	0-0-3.7-0-0-0-96.2
836	Tellico	TN06-001	68	1	1.02	Hatchery	0.513632353	0	1.47E-05	0.021073529	0.464735294	0.000470588	0	51.4-0-0-2.1-46.5-0-0
