ID	Population	Pop	Sample Size	Latitude	Longitude	true_lat	true_lon	General Location	N	Na	AR	Ho	uHe	Ne	Ne_95LCI	Ne_95UCI	Mean_Fst	He_res	AR_res	Ne_res
819	Armstrong	[Armstrong-01]	50	1.08	1	35.79817	-82.11271	Hatchery	50	4.2	3.9	0.569	0.551	50.4	33.4	87.2	NA	NA	NA	NA
820	Bellefonte	[HATC8-01]	31	1.08	1.02	40.88183	-77.79431	Hatchery	31	5.8	5.5	0.695	0.642	48.1	30.0	97.4	NA	NA	NA	NA
821	Berlin	[HATC10-001]	50	1.07	1	44.50523	-71.33618	Hatchery	50	5.0	4.3	0.503	0.491	Infinite	148.8	Infinite	NA	NA	NA	NA
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	44.1297	-75.27404	Hatchery	55	5.0	4.3	0.560	0.547	27.1	18.3	42.3	NA	NA	NA	NA
823	Edray	[HATC9-01]	21	1.06	1	38.26999	-80.10542	Hatchery	21	3.5	3.5	0.513	0.512	Infinite	83.6	Infinite	NA	NA	NA	NA
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	44.4372451	-74.3315281	Hatchery	35	4.3	4.1	0.561	0.550	25.2	14.9	49.6	NA	NA	NA	NA
825	Milford 1	[HATC11-001]	50	1.05	1	42.8511	-71.68892	Hatchery	50	3.0	2.8	0.410	0.432	212.7	52.0	Infinite	NA	NA	NA	NA
826	Milford 2	[HATC12-001]	50	1.05	1.02	42.8511	-71.68892	Hatchery	50	3.6	3.1	0.453	0.437	166.6	40.0	Infinite	NA	NA	NA	NA
827	Milford 3	[HATC13-001]	50	1.04	1	42.8511	-71.68892	Hatchery	50	3.0	2.9	0.433	0.439	93.7	36.6	Infinite	NA	NA	NA	NA
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	43.70707	-74.87641	Hatchery	31	5.8	5.5	0.621	0.660	48.7	32.1	87.6	NA	NA	NA	NA
829	Paint Bank	[PaintBank-01]	50	1.03	1	37.55359	-80.24452	Hatchery	50	4.8	4.5	0.646	0.624	109.0	51.0	1263.6	NA	NA	NA	NA
830	Pequest	[HATC7-01]	20	1.03	1.02	40.8367	-74.95076	Hatchery	20	6.1	6.1	0.679	0.693	150.1	53.9	Infinite	NA	NA	NA	NA
831	Phillips	[HATC1-001]	60	1.02	1	44.87579	-70.40833	Hatchery	60	5.4	4.8	0.582	0.589	95.6	56.9	222.2	NA	NA	NA	NA
832	Pisgah	[Pisgah-01]	50	1.02	1.02	35.2846	-82.79404	Hatchery	50	4.7	4.2	0.475	0.491	33.2	22.6	52.5	NA	NA	NA	NA
833	Randolph	[DS03-001]	30	1.01	1	42.15462	-78.94032	Hatchery	30	3.0	2.9	0.435	0.450	25.4	10.9	135.1	NA	NA	NA	NA
834	Rome	[HATC6-01]	50	1.01	1.02	43.26351	-75.43714	Hatchery	50	3.1	2.9	0.414	0.431	14.2	8.8	22.8	NA	NA	NA	NA
835	Sandwich	[HATC2-001]	37	1	1	41.75278	-70.48943	Hatchery	37	4.6	4.3	0.579	0.600	57.3	31.3	169.1	NA	NA	NA	NA
836	Tellico	[TN06-001]	68	1	1.02	35.28886	-84.09845	Hatchery	68	4.3	3.9	0.475	0.470	26.7	15.4	50.1	NA	NA	NA	NA
