ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K0	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	Hatchery	0	0	0	0	0.931	0	0	0	0	0	0.069	0-0-0-0-93.1-0-0-0-0-0-6.9
820	Bellefonte	[HATC8-01]	31	1.08	1.02	Hatchery	0.525	0	0	0	0.408	0	0	0	0	0	0.067	52.5-0-0-0-40.8-0-0-0-0-0-6.7
821	Berlin	[HATC10-001]	50	1.07	1	Hatchery		0	0	0	0.968	0	0	0	0	0	0.032	0-0-0-0-96.8-0-0-0-0-0-3.2
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	Hatchery	0.832	0	0	0		0	0	0	0	0	0.168	83.2-0-0-0-0-0-0-0-0-0-16.8
823	Edray	[HATC9-01]	21	1.06	1	Hatchery	0	0	0	0	0.958	0	0	0	0	0	0.042	0-0-0-0-95.8-0-0-0-0-0-4.2
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	Hatchery	0.747	0	0	0	0.19	0	0	0	0	0	0.063	74.7-0-0-0-19-0-0-0-0-0-6.3
825	Milford 1	[HATC11-001]	50	1.05	1	Hatchery	0	0	0	0	0.976	0	0	0	0	0	0.024	0-0-0-0-97.6-0-0-0-0-0-2.4
826	Milford 2	[HATC12-001]	50	1.05	1.02	Hatchery	0	0	0	0	0.969	0	0	0	0	0	0.031	0-0-0-0-96.9-0-0-0-0-0-3.1
827	Milford 3	[HATC13-001]	50	1.04	1	Hatchery	0	0	0	0	0.976	0	0	0	0	0	0.024	0-0-0-0-97.6-0-0-0-0-0-2.4
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	Hatchery	0.764	0	0	0	0.185	0	0	0	0	0	0.051	76.4-0-0-0-18.5-0-0-0-0-0-5.1
829	Paint Bank	[PaintBank-01]	50	1.03	1	Hatchery	0.741	0	0	0	0.172	0	0	0	0	0	0.087	74.1-0-0-0-17.2-0-0-0-0-0-8.7
830	Pequest	[HATC7-01]	20	1.03	1.02	Hatchery	0.715	0	0	0	0.218	0	0	0	0	0	0.067	71.5-0-0-0-21.8-0-0-0-0-0-6.7
831	Phillips	[HATC1-001]	60	1.02	1	Hatchery	0.167	0	0	0	0.742	0	0	0	0	0	0.091	16.7-0-0-0-74.2-0-0-0-0-0-9.1
832	Pisgah	[Pisgah-01]	50	1.02	1.02	Hatchery	0	0	0	0	0.933	0	0	0	0	0	0.067	0-0-0-0-93.3-0-0-0-0-0-6.7
833	Randolph	[DS03-001]	30	1.01	1	Hatchery	0	0	0	0	0.975	0	0	0	0	0	0.025	0-0-0-0-97.5-0-0-0-0-0-2.5
834	Rome	[HATC6-01]	50	1.01	1.02	Hatchery	0	0	0	0	0.976	0	0	0	0	0	0.024	0-0-0-0-97.6-0-0-0-0-0-2.4
835	Sandwich	[HATC2-001]	37	1	1	Hatchery	0.166	0	0	0	0.742	0	0	0	0	0	0.092	16.6-0-0-0-74.2-0-0-0-0-0-9.2
836	Tellico	[TN06-001]	68	1	1.02	Hatchery	0	0	0.466	0	0	0	0.2	0.242	0	0	0.092	0-0-46.6-0-0-0-20-24.2-0-0-9.2
