ID	Population	Pop	Sample Size	Latitude	Longitude	true_lat	true_lon	General Location	k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k0	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	35.79817	-82.11271	Hatchery	0	0	0	0	0	0	0	0	0.911	0	0	0	0	0	0	0.089	0-0-0-0-0-0-0-0-91.1-0-0-0-0-0-0-8.9
820	Bellefonte	[HATC8-01]	31	1.08	1.02	40.88183	-77.79431	Hatchery	0	0	0	0	0	0	0	0	0.435	0	0.358	0	0	0	0	0.207	0-0-0-0-0-0-0-0-43.5-0-35.8-0-0-0-0-20.7
821	Berlin	[HATC10-001]	50	1.07	1	44.50523	-71.33618	Hatchery	0	0	0	0	0	0	0	0	0.938	0	0	0	0	0	0	0.062	0-0-0-0-0-0-0-0-93.8-0-0-0-0-0-0-6.2
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	44.1297	-75.27404	Hatchery	0	0	0	0	0	0	0	0	0.101	0	0.721	0	0	0	0	0.178	0-0-0-0-0-0-0-0-10.1-0-72.1-0-0-0-0-17.8
823	Edray	[HATC9-01]	21	1.06	1	38.26999	-80.10542	Hatchery	0	0	0	0	0	0	0	0	0.936	0	0	0	0	0	0	0.064	0-0-0-0-0-0-0-0-93.6-0-0-0-0-0-0-6.4
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	44.4372451	-74.3315281	Hatchery	0	0	0	0	0	0	0	0	0	0	0.603	0.242	0	0	0	0.155	0-0-0-0-0-0-0-0-0-0-60.3-24.2-0-0-0-15.5
825	Milford 1	[HATC11-001]	50	1.05	1	42.8511	-71.68892	Hatchery	0	0	0	0	0	0	0	0	0.948	0	0	0	0	0	0	0.052	0-0-0-0-0-0-0-0-94.8-0-0-0-0-0-0-5.2
826	Milford 2	[HATC12-001]	50	1.05	1.02	42.8511	-71.68892	Hatchery	0	0	0	0	0	0	0	0	0.929	0	0	0	0	0	0	0.071	0-0-0-0-0-0-0-0-92.9-0-0-0-0-0-0-7.1
827	Milford 3	[HATC13-001]	50	1.04	1	42.8511	-71.68892	Hatchery	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0	0	0.07	0-0-0-0-0-0-0-0-93-0-0-0-0-0-0-7
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	43.70707	-74.87641	Hatchery	0	0	0	0	0	0	0	0	0	0	0.705	0.174	0	0	0	0.121	0-0-0-0-0-0-0-0-0-0-70.5-17.4-0-0-0-12.1
829	Paint Bank	[PaintBank-01]	50	1.03	1	37.55359	-80.24452	Hatchery	0	0	0	0	0	0	0	0	0.197	0	0.617	0	0	0	0	0.186	0-0-0-0-0-0-0-0-19.7-0-61.7-0-0-0-0-18.6
830	Pequest	[HATC7-01]	20	1.03	1.02	40.8367	-74.95076	Hatchery	0	0	0	0	0	0	0	0	0.278	0	0.504	0	0	0	0	0.218	0-0-0-0-0-0-0-0-27.8-0-50.4-0-0-0-0-21.8
831	Phillips	[HATC1-001]	60	1.02	1	44.87579	-70.40833	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0.816	0	0	0	0.184	0-0-0-0-0-0-0-0-0-0-0-81.6-0-0-0-18.4
832	Pisgah	[Pisgah-01]	50	1.02	1.02	35.2846	-82.79404	Hatchery	0	0	0	0	0	0	0	0	0.933	0	0	0	0	0	0	0.067	0-0-0-0-0-0-0-0-93.3-0-0-0-0-0-0-6.7
833	Randolph	[DS03-001]	30	1.01	1	42.15462	-78.94032	Hatchery	0	0	0	0	0	0	0	0	0.905	0	0	0	0	0	0	0.095	0-0-0-0-0-0-0-0-90.5-0-0-0-0-0-0-9.5
834	Rome	[HATC6-01]	50	1.01	1.02	43.26351	-75.43714	Hatchery	0	0	0	0	0	0	0	0	0.899	0	0	0	0	0	0	0.101	0-0-0-0-0-0-0-0-89.9-0-0-0-0-0-0-10.1
835	Sandwich	[HATC2-001]	37	1	1	41.75278	-70.48943	Hatchery	0	0	0	0	0	0	0	0	0.464	0	0.126	0.281	0	0	0	0.129	0-0-0-0-0-0-0-0-46.4-0-12.6-28.1-0-0-0-12.9
836	Tellico	[TN06-001]	68	1	1.02	35.28886	-84.09845	Hatchery	0	0	0.181	0	0.209	0.47	0	0	0	0	0	0	0	0	0	0.14	0-0-18.1-0-20.9-47-0-0-0-0-0-0-0-0-0-14
