ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	Data
1	PFBNC143	[WRC061-001]	20	35.12013	-82.75003	Murr Creek	0.716	0.284	71.6-28.4
3	OHCM1	[OHCM1-1001]	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.513	0.487	51.3-48.7
4	OHCM2	[OHCM2-01]	20	38.6023	-79.9109	Lambert Run	0.377	0.623	37.7-62.3
5	OHCM3	[OHCM3-01]	30	38.55	-79.895	First Fork	0.527	0.473	52.7-47.3
6	OHCM4	[OHCM4-01]	27	38.5415	-79.9487	Buck Run	0.601	0.399	60.1-39.9
7	OHCM5	[OHCM5-01]	26	38.5619	-79.9276	Black Run	0.558	0.442	55.8-44.2
8	OHCM6	[OHCM6-01]	33	38.4857	-79.9663	Rocky Run 1	0.556	0.444	55.6-44.4
9	OHCM7	[OHCM7-01]	31	38.4868	-79.9753	Rocky Run 2	0.541	0.459	54.1-45.9
10	OHCM8	[OHCM8-101]	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0.545	0.455	54.5-45.5
11	OHTM1	[OHTM1-01]	50	38.7345	-79.9089	Shavers Run	0.732	0.268	73.2-26.8
12	OHYM1	[OHYM1-01]	49	39.7148	-79.2305	Puzzley Run	0.374	0.626	37.4-62.6
13	OHYM2	[OHYM2-01]	49	39.4016	-79.3043	Boiling Springs	0.182	0.818	18.2-81.8
14	OHYM3	[OHYM3-01]	49	39.6588	-79.2739	Little Bear Creek	0.433	0.567	43.3-56.7
15	OHYM4	[OHYM4-001]	30	39.6329	-79.2252	Casselman River	0.422	0.578	42.2-57.8
16	GA06	[GA06-001]	30	34.796427	-83.78574	Upper Chattahoochee River	0.874	0.126	87.4-12.6
17	GA07	[GA07-001]	30	34.764654	-83.804072	Low Gap Creek	0.987	0.013	98.7-1.3
18	GA21	[GA21-001]	30	34.79557	-83.653437	Left Fork Soque River	0.986	0.014	98.6-1.4
19	GUNR1	[GUNR1-01]	50	39.5981	-76.6531	Panther Branch	0.06	0.94	6-94
20	GUNR2	[GUNR2-01]	50	39.658	-76.8139	Indian Run	0.036	0.964	3.6-96.4
23	SUSR4	[SUSR4-001]	100	39.6481	-76.4454	Rock Hollow Run	0.019	0.981	1.9-98.1
24	SUSR5	[SUSR5-001]	50	39.6295	-76.4209	Kellogg Branch	0.032	0.968	3.2-96.8
25	SUSR6	[SUSR6-001]	50	39.6438	-76.479	Spooners Creek	0.107	0.893	10.7-89.3
26	CATO1	[CATO1-01]	47	39.6349	-77.4789	Big Hunting Creek	0.021	0.979	2.1-97.9
27	CATO2	[CATO2-01]	49	39.6632	-77.4804	Owens Creek	0.033	0.967	3.3-96.7
28	CATO3	[CATO3-01]	32	39.6363	-77.45	Still Creek	0.094	0.906	9.4-90.6
29	CATO4	[CATO4-01]	38	39.5432	-77.4647	Right Fork Fishing Creek	0.042	0.958	4.2-95.8
30	CATO5	[CATO5-01]	48	39.5327	-77.4752	Left Fork Fishing Creek	0.061	0.939	6.1-93.9
31	POMR1	[POMR1-01]	47	39.4734	-77.4152	Tuscarora Creek	0.054	0.946	5.4-94.6
32	BearCreek	[VA05-001]	20	36.737334	-80.58159	Bear Creek	0.981	0.019	98.1-1.9
33	BigReedIslandCr	[VA07-001]	20	36.674994	-80.521569	Big Reed Island Creek	0.917	0.083	91.7-8.3
35	EFDryRun	[VA09-001]	20	36.771983	-81.164966	EF Dry Run	0.968	0.032	96.8-3.2
37	NFStonyCreek	[VA11-002]	19	37.43226	-80.553248	NF Stony Creek	0.98	0.02	98-2
38	OHCK1	[OHCK1-01]	25	38.23711	-80.34118	Byrd Branch	0.614	0.386	61.4-38.6
39	OHCK2	[OHCK2-01]	49	38.24175	-80.37169	Dogway Fork	0.556	0.444	55.6-44.4
40	OHGK1	[OHGK1-01]	50	38.58315	-79.66737	Walderman Run	0.8	0.2	80-20
41	OHGK2	[OHGK2-01]	49	38.39899	-79.74983	Sutton Run	0.981	0.019	98.1-1.9
