ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k16	k17	k18	k19	k20	k0	Data
1	PFBNC143	[WRC061-001]	20	35.12013	-82.75003	Murr Creek	0	0	0	0	0.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277	0-0-0-0-72.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-27.7
3	OHCM1	[OHCM1-1001]	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869	0	0	0	0	0	0.131	0-0-0-0-0-0-0-0-0-0-0-0-0-0-86.9-0-0-0-0-0-13.1
4	OHCM2	[OHCM2-01]	20	38.6023	-79.9109	Lambert Run	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0.667	0	0	0	0	0	0.193	0-0-0-0-0-14-0-0-0-0-0-0-0-0-66.7-0-0-0-0-0-19.3
5	OHCM3	[OHCM3-01]	30	38.55	-79.895	First Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876	0	0	0	0	0	0.124	0-0-0-0-0-0-0-0-0-0-0-0-0-0-87.6-0-0-0-0-0-12.4
6	OHCM4	[OHCM4-01]	27	38.5415	-79.9487	Buck Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.933	0	0	0	0	0	0.067	0-0-0-0-0-0-0-0-0-0-0-0-0-0-93.3-0-0-0-0-0-6.7
7	OHCM5	[OHCM5-01]	26	38.5619	-79.9276	Black Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89	0	0	0	0	0	0.11	0-0-0-0-0-0-0-0-0-0-0-0-0-0-89-0-0-0-0-0-11
8	OHCM6	[OHCM6-01]	33	38.4857	-79.9663	Rocky Run 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919	0	0	0	0	0	0.081	0-0-0-0-0-0-0-0-0-0-0-0-0-0-91.9-0-0-0-0-0-8.1
9	OHCM7	[OHCM7-01]	31	38.4868	-79.9753	Rocky Run 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914	0	0	0	0	0	0.086	0-0-0-0-0-0-0-0-0-0-0-0-0-0-91.4-0-0-0-0-0-8.6
10	OHCM8	[OHCM8-101]	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.953	0	0	0	0	0	0.047	0-0-0-0-0-0-0-0-0-0-0-0-0-0-95.3-0-0-0-0-0-4.7
11	OHTM1	[OHTM1-01]	50	38.7345	-79.9089	Shavers Run	0	0	0	0	0	0	0	0.124	0	0	0	0	0	0.251	0.122	0	0	0	0	0	0.503	0-0-0-0-0-0-0-12.4-0-0-0-0-0-25.1-12.2-0-0-0-0-0-50.3
