ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k16	k17	k18	k19	k20	k0	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	Hatchery	0	0	0	0	0	0.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173	0-0-0-0-0-82.7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17.3
820	Bellefonte	[HATC8-01]	31	1.08	1.02	Hatchery	0	0	0	0.465	0	0.171	0	0	0	0	0	0.159	0	0	0	0	0	0	0	0	0.205	0-0-0-46.5-0-17.1-0-0-0-0-0-15.9-0-0-0-0-0-0-0-0-20.5
821	Berlin	[HATC10-001]	50	1.07	1	Hatchery	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0-0-0-0-0-87.5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12.5
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.812	0	0	0	0.188	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81.2-0-0-0-18.8
823	Edray	[HATC9-01]	21	1.06	1	Hatchery	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0-0-0-0-0-90-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.635	0	0	0	0.365	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-63.5-0-0-0-36.5
825	Milford 1	[HATC11-001]	50	1.05	1	Hatchery	0	0	0	0	0	0.934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066	0-0-0-0-0-93.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6.6
826	Milford 2	[HATC12-001]	50	1.05	1.02	Hatchery	0	0	0	0	0	0.911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	0-0-0-0-0-91.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8.9
827	Milford 3	[HATC13-001]	50	1.04	1	Hatchery	0	0	0	0	0	0.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076	0-0-0-0-0-92.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7.6
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781	0	0	0	0.219	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-78.1-0-0-0-21.9
829	Paint Bank	[PaintBank-01]	50	1.03	1	Hatchery	0	0	0	0.449	0	0	0	0	0	0	0	0.166	0	0	0	0	0.161	0	0	0	0.224	0-0-0-44.9-0-0-0-0-0-0-0-16.6-0-0-0-0-16.1-0-0-0-22.4
830	Pequest	[HATC7-01]	20	1.03	1.02	Hatchery	0	0	0	0.515	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0.275	0-0-0-51.5-0-0-0-0-0-0-0-21-0-0-0-0-0-0-0-0-27.5
831	Phillips	[HATC1-001]	60	1.02	1	Hatchery	0.454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419	0	0	0	0.127	45.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41.9-0-0-0-12.7
832	Pisgah	[Pisgah-01]	50	1.02	1.02	Hatchery	0	0	0	0	0	0.812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188	0-0-0-0-0-81.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18.8
833	Randolph	[DS03-001]	30	1.01	1	Hatchery	0	0	0	0	0	0.902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0-0-0-0-0-90.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9.8
834	Rome	[HATC6-01]	50	1.01	1.02	Hatchery	0	0	0	0	0	0.895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0-0-0-0-0-89.5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10.5
835	Sandwich	[HATC2-001]	37	1	1	Hatchery	0	0	0	0.693	0	0	0	0	0	0	0	0	0	0	0	0	0.122	0	0	0	0.185	0-0-0-69.3-0-0-0-0-0-0-0-0-0-0-0-0-12.2-0-0-0-18.5
836	Tellico	[TN06-001]	68	1	1.02	Hatchery	0	0	0.393	0	0	0	0	0	0	0.208	0	0	0	0	0	0	0	0	0	0	0.399	0-0-39.3-0-0-0-0-0-0-20.8-0-0-0-0-0-0-0-0-0-0-39.9
