ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K0	Data
1	PFBNC143	[WRC061-001]	20	35.12013	-82.75003	Murr Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722	0	0	0	0	0	0	0	0	0.278	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-72.2-0-0-0-0-0-0-0-0-27.8
3	OHCM1	[OHCM1-1001]	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844	0	0	0	0	0	0	0.156	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-84.4-0-0-0-0-0-0-15.6
4	OHCM2	[OHCM2-01]	20	38.6023	-79.9109	Lambert Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.649	0	0	0	0	0	0	0.351	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-64.9-0-0-0-0-0-0-35.1
5	OHCM3	[OHCM3-01]	30	38.55	-79.895	First Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876	0	0	0	0	0	0	0.124	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-87.6-0-0-0-0-0-0-12.4
6	OHCM4	[OHCM4-01]	27	38.5415	-79.9487	Buck Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919	0	0	0	0	0	0	0.081	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-91.9-0-0-0-0-0-0-8.1
7	OHCM5	[OHCM5-01]	26	38.5619	-79.9276	Black Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869	0	0	0	0	0	0	0.131	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-86.9-0-0-0-0-0-0-13.1
8	OHCM6	[OHCM6-01]	33	38.4857	-79.9663	Rocky Run 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.886	0	0	0	0	0	0	0.114	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-88.6-0-0-0-0-0-0-11.4
9	OHCM7	[OHCM7-01]	31	38.4868	-79.9753	Rocky Run 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.891	0	0	0	0	0	0	0.109	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89.1-0-0-0-0-0-0-10.9
10	OHCM8	[OHCM8-101]	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938	0	0	0	0	0	0	0.062	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-93.8-0-0-0-0-0-0-6.2
11	OHTM1	[OHTM1-01]	50	38.7345	-79.9089	Shavers Run	0	0	0	0	0	0	0	0.114	0	0	0	0	0	0	0.163	0	0	0	0	0	0	0	0	0.275	0	0.448	0-0-0-0-0-0-0-11.4-0-0-0-0-0-0-16.3-0-0-0-0-0-0-0-0-27.5-0-44.8
12	OHYM1	[OHYM1-01]	49	39.7148	-79.2305	Puzzley Run	0	0	0	0	0	0	0	0	0	0	0	0.198	0	0	0	0	0	0	0	0	0	0	0	0.198	0	0.604	0-0-0-0-0-0-0-0-0-0-0-19.8-0-0-0-0-0-0-0-0-0-0-0-19.8-0-60.4
13	OHYM2	[OHYM2-01]	49	39.4016	-79.3043	Boiling Springs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0.66	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-34-0-0-0-0-66
14	OHYM3	[OHYM3-01]	49	39.6588	-79.2739	Little Bear Creek	0	0	0	0	0	0	0	0	0	0	0	0.362	0	0	0	0	0	0	0	0	0	0	0	0.249	0	0.389	0-0-0-0-0-0-0-0-0-0-0-36.2-0-0-0-0-0-0-0-0-0-0-0-24.9-0-38.9
15	OHYM4	[OHYM4-001]	30	39.6329	-79.2252	Casselman River	0	0	0	0	0	0	0	0.283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.326	0	0.392	0-0-0-0-0-0-0-28.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-32.6-0-39.2
16	GA06	[GA06-001]	30	34.796427	-83.78574	Upper Chattahoochee River	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.672	0	0	0	0	0	0	0	0.328	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-67.2-0-0-0-0-0-0-0-32.8
17	GA07	[GA07-001]	30	34.764654	-83.804072	Low Gap Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.951	0	0	0	0	0	0	0	0.049	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-95.1-0-0-0-0-0-0-0-4.9
