ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K0	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	Hatchery	0	0	0.312	0	0	0.542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146	0-0-31.2-0-0-54.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14.6
820	Bellefonte	[HATC8-01]	31	1.08	1.02	Hatchery	0	0	0.339	0	0	0	0	0	0	0	0	0	0.168	0	0	0	0	0	0	0	0.172	0	0	0	0	0.321	0-0-33.9-0-0-0-0-0-0-0-0-0-16.8-0-0-0-0-0-0-0-17.2-0-0-0-0-32.1
821	Berlin	[HATC10-001]	50	1.07	1	Hatchery	0	0	0.293	0	0	0.588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119	0-0-29.3-0-0-58.8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11.9
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	Hatchery	0	0	0.164	0	0	0	0	0	0	0	0	0	0.464	0	0	0	0	0	0	0	0	0	0	0	0	0.372	0-0-16.4-0-0-0-0-0-0-0-0-0-46.4-0-0-0-0-0-0-0-0-0-0-0-0-37.2
823	Edray	[HATC9-01]	21	1.06	1	Hatchery	0	0	0.343	0	0	0.552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0-0-34.3-0-0-55.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10.5
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0.255	0	0	0	0	0	0	0	0.149	0.248	0	0	0	0.348	0-0-0-0-0-0-0-0-0-0-0-0-25.5-0-0-0-0-0-0-0-14.9-24.8-0-0-0-34.8
825	Milford 1	[HATC11-001]	50	1.05	1	Hatchery	0	0	0	0	0	0.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0-0-0-0-0-93.5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6.5
826	Milford 2	[HATC12-001]	50	1.05	1.02	Hatchery	0	0	0	0	0	0.919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0-0-0-0-0-91.9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8.1
827	Milford 3	[HATC13-001]	50	1.04	1	Hatchery	0	0	0	0	0	0.935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	0-0-0-0-0-93.5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6.5
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.716	0	0	0	0	0.284	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71.6-0-0-0-0-28.4
829	Paint Bank	[PaintBank-01]	50	1.03	1	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0.115	0	0	0	0	0	0	0	0.677	0	0	0	0	0.208	0-0-0-0-0-0-0-0-0-0-0-0-11.5-0-0-0-0-0-0-0-67.7-0-0-0-0-20.8
830	Pequest	[HATC7-01]	20	1.03	1.02	Hatchery	0	0	0.112	0	0	0	0	0	0	0	0	0	0.239	0	0	0	0	0	0	0	0.329	0	0	0	0	0.32	0-0-11.2-0-0-0-0-0-0-0-0-0-23.9-0-0-0-0-0-0-0-32.9-0-0-0-0-32
831	Phillips	[HATC1-001]	60	1.02	1	Hatchery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738	0	0	0	0.262	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-73.8-0-0-0-26.2
832	Pisgah	[Pisgah-01]	50	1.02	1.02	Hatchery	0	0	0.515	0	0	0.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124	0-0-51.5-0-0-36.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12.4
833	Randolph	[DS03-001]	30	1.01	1	Hatchery	0	0	0	0	0	0.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079	0-0-0-0-0-92.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7.9
834	Rome	[HATC6-01]	50	1.01	1.02	Hatchery	0	0	0	0	0	0.916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084	0-0-0-0-0-91.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8.4
835	Sandwich	[HATC2-001]	37	1	1	Hatchery	0	0	0.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.636	0	0	0	0	0.222	0-0-14.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-63.6-0-0-0-0-22.2
836	Tellico	[TN06-001]	68	1	1.02	Hatchery	0	0	0	0	0	0	0	0	0.371	0.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361	0-0-0-0-0-0-0-0-37.1-26.8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-36.1
