ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	Hatchery	0.014	0.986	1.4-98.6
820	Bellefonte	[HATC8-01]	31	1.08	1.02	Hatchery	0.029	0.971	2.9-97.1
821	Berlin	[HATC10-001]	50	1.07	1	Hatchery	0.009	0.991	0.9-99.1
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	Hatchery	0.061	0.939	6.1-93.9
823	Edray	[HATC9-01]	21	1.06	1	Hatchery	0.024	0.976	2.4-97.6
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	Hatchery	0.014	0.986	1.4-98.6
825	Milford 1	[HATC11-001]	50	1.05	1	Hatchery	0.009	0.991	0.9-99.1
826	Milford 2	[HATC12-001]	50	1.05	1.02	Hatchery	0.009	0.991	0.9-99.1
827	Milford 3	[HATC13-001]	50	1.04	1	Hatchery	0.009	0.991	0.9-99.1
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	Hatchery	0.033	0.967	3.3-96.7
829	Paint Bank	[PaintBank-01]	50	1.03	1	Hatchery	0.055	0.945	5.5-94.5
830	Pequest	[HATC7-01]	20	1.03	1.02	Hatchery	0.026	0.974	2.6-97.4
831	Phillips	[HATC1-001]	60	1.02	1	Hatchery	0.011	0.989	1.1-98.9
832	Pisgah	[Pisgah-01]	50	1.02	1.02	Hatchery	0.012	0.988	1.2-98.8
833	Randolph	[DS03-001]	30	1.01	1	Hatchery	0.009	0.991	0.9-99.1
834	Rome	[HATC6-01]	50	1.01	1.02	Hatchery	0.009	0.991	0.9-99.1
835	Sandwich	[HATC2-001]	37	1	1	Hatchery	0.026	0.974	2.6-97.4
836	Tellico	[TN06-001]	68	1	1.02	Hatchery	0.987	0.013	98.7-1.3
