ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	Data
1	PFBNC143	[WRC061-001]	20	35.12013	-82.75003	Murr Creek	0.238	0.21	0.552	23.8-21-55.2
3	OHCM1	[OHCM1-1001]	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.227	0.743	0.03	22.7-74.3-3
4	OHCM2	[OHCM2-01]	20	38.6023	-79.9109	Lambert Run	0.461	0.51	0.028	46.1-51-2.8
5	OHCM3	[OHCM3-01]	30	38.55	-79.895	First Fork	0.221	0.733	0.046	22.1-73.3-4.6
6	OHCM4	[OHCM4-01]	27	38.5415	-79.9487	Buck Run	0.097	0.873	0.03	9.7-87.3-3
7	OHCM5	[OHCM5-01]	26	38.5619	-79.9276	Black Run	0.145	0.827	0.028	14.5-82.7-2.8
8	OHCM6	[OHCM6-01]	33	38.4857	-79.9663	Rocky Run 1	0.151	0.832	0.018	15.1-83.2-1.8
9	OHCM7	[OHCM7-01]	31	38.4868	-79.9753	Rocky Run 2	0.176	0.79	0.033	17.6-79-3.3
10	OHCM8	[OHCM8-101]	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0.176	0.801	0.023	17.6-80.1-2.3
11	OHTM1	[OHTM1-01]	50	38.7345	-79.9089	Shavers Run	0.177	0.802	0.021	17.7-80.2-2.1
12	OHYM1	[OHYM1-01]	49	39.7148	-79.2305	Puzzley Run	0.554	0.428	0.018	55.4-42.8-1.8
13	OHYM2	[OHYM2-01]	49	39.4016	-79.3043	Boiling Springs	0.796	0.144	0.061	79.6-14.4-6.1
14	OHYM3	[OHYM3-01]	49	39.6588	-79.2739	Little Bear Creek	0.478	0.503	0.019	47.8-50.3-1.9
15	OHYM4	[OHYM4-001]	30	39.6329	-79.2252	Casselman River	0.524	0.451	0.025	52.4-45.1-2.5
16	GA06	[GA06-001]	30	34.796427	-83.78574	Upper Chattahoochee River	0.055	0.923	0.022	5.5-92.3-2.2
17	GA07	[GA07-001]	30	34.764654	-83.804072	Low Gap Creek	0.008	0.973	0.019	0.8-97.3-1.9
18	GA21	[GA21-001]	30	34.79557	-83.653437	Left Fork Soque River	0.007	0.98	0.013	0.7-98-1.3
19	GUNR1	[GUNR1-01]	50	39.5981	-76.6531	Panther Branch	0.93	0.027	0.043	93-2.7-4.3
20	GUNR2	[GUNR2-01]	50	39.658	-76.8139	Indian Run	0.962	0.029	0.009	96.2-2.9-0.9
23	SUSR4	[SUSR4-001]	100	39.6481	-76.4454	Rock Hollow Run	0.859	0.045	0.096	85.9-4.5-9.6
24	SUSR5	[SUSR5-001]	50	39.6295	-76.4209	Kellogg Branch	0.95	0.01	0.039	95-1-3.9
25	SUSR6	[SUSR6-001]	50	39.6438	-76.479	Spooners Creek	0.819	0.015	0.166	81.9-1.5-16.6
26	CATO1	[CATO1-01]	47	39.6349	-77.4789	Big Hunting Creek	0.978	0.014	0.008	97.8-1.4-0.8
