ID	Population	Pop	Sample Size	Latitude	Longitude	true_lat	true_lon	General Location	k1	k2	k3	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	35.79817	-82.11271	Hatchery	0.985	0.007	0.007	98.5-0.7-0.7
820	Bellefonte	[HATC8-01]	31	1.08	1.02	40.88183	-77.79431	Hatchery	0.968	0.015	0.017	96.8-1.5-1.7
821	Berlin	[HATC10-001]	50	1.07	1	44.50523	-71.33618	Hatchery	0.991	0.005	0.004	99.1-0.5-0.4
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	44.1297	-75.27404	Hatchery	0.939	0.031	0.03	93.9-3.1-3
823	Edray	[HATC9-01]	21	1.06	1	38.26999	-80.10542	Hatchery	0.974	0.014	0.012	97.4-1.4-1.2
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	44.4372451	-74.3315281	Hatchery	0.986	0.008	0.006	98.6-0.8-0.6
825	Milford 1	[HATC11-001]	50	1.05	1	42.8511	-71.68892	Hatchery	0.991	0.004	0.004	99.1-0.4-0.4
826	Milford 2	[HATC12-001]	50	1.05	1.02	42.8511	-71.68892	Hatchery	0.991	0.005	0.005	99.1-0.5-0.5
827	Milford 3	[HATC13-001]	50	1.04	1	42.8511	-71.68892	Hatchery	0.991	0.005	0.004	99.1-0.5-0.4
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	43.70707	-74.87641	Hatchery	0.969	0.019	0.012	96.9-1.9-1.2
829	Paint Bank	[PaintBank-01]	50	1.03	1	37.55359	-80.24452	Hatchery	0.926	0.018	0.056	92.6-1.8-5.6
830	Pequest	[HATC7-01]	20	1.03	1.02	40.8367	-74.95076	Hatchery	0.97	0.011	0.019	97-1.1-1.9
831	Phillips	[HATC1-001]	60	1.02	1	44.87579	-70.40833	Hatchery	0.988	0.007	0.005	98.8-0.7-0.5
832	Pisgah	[Pisgah-01]	50	1.02	1.02	35.2846	-82.79404	Hatchery	0.988	0.006	0.006	98.8-0.6-0.6
833	Randolph	[DS03-001]	30	1.01	1	42.15462	-78.94032	Hatchery	0.99	0.005	0.005	99-0.5-0.5
834	Rome	[HATC6-01]	50	1.01	1.02	43.26351	-75.43714	Hatchery	0.991	0.005	0.005	99.1-0.5-0.5
835	Sandwich	[HATC2-001]	37	1	1	41.75278	-70.48943	Hatchery	0.972	0.011	0.017	97.2-1.1-1.7
836	Tellico	[TN06-001]	68	1	1.02	35.28886	-84.09845	Hatchery	0.008	0.456	0.536	0.8-45.6-53.6
