ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	Hatchery	0.020	0.009	0.007	0.964	2-0.9-0.7-96.4
820	Bellefonte	[HATC8-01]	31	1.08	1.02	Hatchery	0.173	0.029	0.016	0.782	17.3-2.9-1.6-78.2
821	Berlin	[HATC10-001]	50	1.07	1	Hatchery	0.008	0.005	0.004	0.983	0.8-0.5-0.4-98.3
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	Hatchery	0.532	0.035	0.036	0.398	53.2-3.5-3.6-39.8
823	Edray	[HATC9-01]	21	1.06	1	Hatchery	0.007	0.009	0.013	0.971	0.7-0.9-1.3-97.1
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	Hatchery	0.305	0.011	0.009	0.675	30.5-1.1-0.9-67.5
825	Milford 1	[HATC11-001]	50	1.05	1	Hatchery	0.007	0.004	0.004	0.984	0.7-0.4-0.4-98.4
826	Milford 2	[HATC12-001]	50	1.05	1.02	Hatchery	0.009	0.006	0.004	0.981	0.9-0.6-0.4-98.1
827	Milford 3	[HATC13-001]	50	1.04	1	Hatchery	0.007	0.004	0.004	0.984	0.7-0.4-0.4-98.4
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	Hatchery	0.132	0.026	0.016	0.826	13.2-2.6-1.6-82.6
829	Paint Bank	[PaintBank-01]	50	1.03	1	Hatchery	0.184	0.031	0.037	0.747	18.4-3.1-3.7-74.7
830	Pequest	[HATC7-01]	20	1.03	1.02	Hatchery	0.277	0.016	0.022	0.685	27.7-1.6-2.2-68.5
831	Phillips	[HATC1-001]	60	1.02	1	Hatchery	0.082	0.026	0.006	0.886	8.2-2.6-0.6-88.6
832	Pisgah	[Pisgah-01]	50	1.02	1.02	Hatchery	0.011	0.009	0.007	0.973	1.1-0.9-0.7-97.3
833	Randolph	[DS03-001]	30	1.01	1	Hatchery	0.006	0.005	0.005	0.984	0.6-0.5-0.5-98.4
834	Rome	[HATC6-01]	50	1.01	1.02	Hatchery	0.006	0.004	0.004	0.985	0.6-0.4-0.4-98.5
835	Sandwich	[HATC2-001]	37	1	1	Hatchery	0.038	0.011	0.014	0.937	3.8-1.1-1.4-93.7
836	Tellico	[TN06-001]	68	1	1.02	Hatchery	0.007	0.013	0.971	0.009	0.7-1.3-97.1-0.9
