ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	k1	k2	k3	k4	k5	Data
1	PFBNC143	[WRC061-001]	20	35.12013	-82.75003	Murr Creek	0.093	0.267	0.012	0.536	0.092	9.3-26.7-1.2-53.6-9.2
3	OHCM1	[OHCM1-1001]	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.083	0.851	0.007	0.008	0.051	8.3-85.1-0.7-0.8-5.1
4	OHCM2	[OHCM2-01]	20	38.6023	-79.9109	Lambert Run	0.326	0.6	0.007	0.009	0.057	32.6-60-0.7-0.9-5.7
5	OHCM3	[OHCM3-01]	30	38.55	-79.895	First Fork	0.056	0.867	0.005	0.008	0.064	5.6-86.7-0.5-0.8-6.4
6	OHCM4	[OHCM4-01]	27	38.5415	-79.9487	Buck Run	0.028	0.935	0.006	0.007	0.025	2.8-93.5-0.6-0.7-2.5
7	OHCM5	[OHCM5-01]	26	38.5619	-79.9276	Black Run	0.042	0.888	0.011	0.006	0.052	4.2-88.8-1.1-0.6-5.2
8	OHCM6	[OHCM6-01]	33	38.4857	-79.9663	Rocky Run 1	0.045	0.879	0.011	0.006	0.059	4.5-87.9-1.1-0.6-5.9
9	OHCM7	[OHCM7-01]	31	38.4868	-79.9753	Rocky Run 2	0.039	0.889	0.008	0.007	0.057	3.9-88.9-0.8-0.7-5.7
10	OHCM8	[OHCM8-101]	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0.019	0.914	0.006	0.008	0.053	1.9-91.4-0.6-0.8-5.3
11	OHTM1	[OHTM1-01]	50	38.7345	-79.9089	Shavers Run	0.018	0.761	0.045	0.012	0.164	1.8-76.1-4.5-1.2-16.4
12	OHYM1	[OHYM1-01]	49	39.7148	-79.2305	Puzzley Run	0.268	0.517	0.016	0.01	0.189	26.8-51.7-1.6-1-18.9
13	OHYM2	[OHYM2-01]	49	39.4016	-79.3043	Boiling Springs	0.452	0.207	0.016	0.047	0.278	45.2-20.7-1.6-4.7-27.8
14	OHYM3	[OHYM3-01]	49	39.6588	-79.2739	Little Bear Creek	0.301	0.564	0.011	0.012	0.113	30.1-56.4-1.1-1.2-11.3
15	OHYM4	[OHYM4-001]	30	39.6329	-79.2252	Casselman River	0.082	0.471	0.017	0.015	0.415	8.2-47.1-1.7-1.5-41.5
16	GA06	[GA06-001]	30	34.796427	-83.78574	Upper Chattahoochee River	0.11	0.008	0.854	0.018	0.01	11-0.8-85.4-1.8-1
