ID	Population	Pop	Sample Size	Latitude	Longitude	true_lat	true_lon	General Location	k1	k2	k3	k4	k5	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	35.79817	-82.11271	Hatchery	0.971	0.006	0.006	0.004	0.013	97.1-0.6-0.6-0.4-1.3
820	Bellefonte	[HATC8-01]	31	1.08	1.02	40.88183	-77.79431	Hatchery	0.871	0.017	0.01	0.015	0.086	87.1-1.7-1-1.5-8.6
821	Berlin	[HATC10-001]	50	1.07	1	44.50523	-71.33618	Hatchery	0.984	0.003	0.004	0.003	0.006	98.4-0.3-0.4-0.3-0.6
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	44.1297	-75.27404	Hatchery	0.518	0.03	0.024	0.026	0.402	51.8-3-2.4-2.6-40.2
823	Edray	[HATC9-01]	21	1.06	1	38.26999	-80.10542	Hatchery	0.971	0.007	0.01	0.007	0.005	97.1-0.7-1-0.7-0.5
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	44.4372451	-74.3315281	Hatchery	0.876	0.005	0.01	0.007	0.103	87.6-0.5-1-0.7-10.3
825	Milford 1	[HATC11-001]	50	1.05	1	42.8511	-71.68892	Hatchery	0.985	0.003	0.003	0.003	0.005	98.5-0.3-0.3-0.3-0.5
826	Milford 2	[HATC12-001]	50	1.05	1.02	42.8511	-71.68892	Hatchery	0.984	0.003	0.004	0.004	0.006	98.4-0.3-0.4-0.4-0.6
827	Milford 3	[HATC13-001]	50	1.04	1	42.8511	-71.68892	Hatchery	0.985	0.003	0.003	0.003	0.005	98.5-0.3-0.3-0.3-0.5
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	43.70707	-74.87641	Hatchery	0.902	0.006	0.028	0.012	0.052	90.2-0.6-2.8-1.2-5.2
829	Paint Bank	[PaintBank-01]	50	1.03	1	37.55359	-80.24452	Hatchery	0.854	0.011	0.015	0.064	0.056	85.4-1.1-1.5-6.4-5.6
830	Pequest	[HATC7-01]	20	1.03	1.02	40.8367	-74.95076	Hatchery	0.801	0.01	0.013	0.028	0.148	80.1-1-1.3-2.8-14.8
831	Phillips	[HATC1-001]	60	1.02	1	44.87579	-70.40833	Hatchery	0.937	0.008	0.004	0.004	0.046	93.7-0.8-0.4-0.4-4.6
832	Pisgah	[Pisgah-01]	50	1.02	1.02	35.2846	-82.79404	Hatchery	0.975	0.006	0.007	0.004	0.008	97.5-0.6-0.7-0.4-0.8
833	Randolph	[DS03-001]	30	1.01	1	42.15462	-78.94032	Hatchery	0.985	0.004	0.004	0.004	0.005	98.5-0.4-0.4-0.4-0.5
834	Rome	[HATC6-01]	50	1.01	1.02	43.26351	-75.43714	Hatchery	0.986	0.003	0.003	0.003	0.004	98.6-0.3-0.3-0.3-0.4
835	Sandwich	[HATC2-001]	37	1	1	41.75278	-70.48943	Hatchery	0.948	0.008	0.014	0.015	0.016	94.8-0.8-1.4-1.5-1.6
836	Tellico	[TN06-001]	68	1	1.02	35.28886	-84.09845	Hatchery	0.007	0.273	0.219	0.495	0.006	0.7-27.3-21.9-49.5-0.6
