ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	Data
1	PFBNC143	[WRC061-001]	20	35.12013	-82.75003	Murr Creek	0.078	0.597	0.037	0.103	0.17	0.014	7.8-59.7-3.7-10.3-17-1.4
3	OHCM1	[OHCM1-1001]	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.086	0.026	0.026	0.079	0.777	0.006	8.6-2.6-2.6-7.9-77.7-0.6
4	OHCM2	[OHCM2-01]	20	38.6023	-79.9109	Lambert Run	0.312	0.027	0.008	0.128	0.519	0.006	31.2-2.7-0.8-12.8-51.9-0.6
5	OHCM3	[OHCM3-01]	30	38.55	-79.895	First Fork	0.07	0.059	0.048	0.052	0.767	0.005	7-5.9-4.8-5.2-76.7-0.5
6	OHCM4	[OHCM4-01]	27	38.5415	-79.9487	Buck Run	0.034	0.021	0.008	0.069	0.863	0.005	3.4-2.1-0.8-6.9-86.3-0.5
7	OHCM5	[OHCM5-01]	26	38.5619	-79.9276	Black Run	0.038	0.028	0.022	0.099	0.803	0.01	3.8-2.8-2.2-9.9-80.3-1
8	OHCM6	[OHCM6-01]	33	38.4857	-79.9663	Rocky Run 1	0.041	0.025	0.019	0.126	0.78	0.01	4.1-2.5-1.9-12.6-78-1
9	OHCM7	[OHCM7-01]	31	38.4868	-79.9753	Rocky Run 2	0.044	0.025	0.024	0.099	0.802	0.006	4.4-2.5-2.4-9.9-80.2-0.6
10	OHCM8	[OHCM8-101]	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0.022	0.03	0.032	0.088	0.822	0.005	2.2-3-3.2-8.8-82.2-0.5
11	OHTM1	[OHTM1-01]	50	38.7345	-79.9089	Shavers Run	0.015	0.011	0.006	0.226	0.676	0.066	1.5-1.1-0.6-22.6-67.6-6.6
12	OHYM1	[OHYM1-01]	49	39.7148	-79.2305	Puzzley Run	0.275	0.025	0.014	0.235	0.428	0.023	27.5-2.5-1.4-23.5-42.8-2.3
13	OHYM2	[OHYM2-01]	49	39.4016	-79.3043	Boiling Springs	0.349	0.017	0.024	0.378	0.218	0.014	34.9-1.7-2.4-37.8-21.8-1.4
14	OHYM3	[OHYM3-01]	49	39.6588	-79.2739	Little Bear Creek	0.295	0.021	0.008	0.151	0.511	0.014	29.5-2.1-0.8-15.1-51.1-1.4
15	OHYM4	[OHYM4-001]	30	39.6329	-79.2252	Casselman River	0.063	0.018	0.012	0.436	0.451	0.02	6.3-1.8-1.2-43.6-45.1-2
16	GA06	[GA06-001]	30	34.796427	-83.78574	Upper Chattahoochee River	0.091	0.008	0.016	0.007	0.009	0.869	9.1-0.8-1.6-0.7-0.9-86.9
17	GA07	[GA07-001]	30	34.764654	-83.804072	Low Gap Creek	0.003	0.004	0.004	0.004	0.004	0.981	0.3-0.4-0.4-0.4-0.4-98.1
18	GA21	[GA21-001]	30	34.79557	-83.653437	Left Fork Soque River	0.003	0.005	0.004	0.005	0.005	0.979	0.3-0.5-0.4-0.5-0.5-97.9
19	GUNR1	[GUNR1-01]	50	39.5981	-76.6531	Panther Branch	0.319	0.048	0.03	0.56	0.025	0.018	31.9-4.8-3-56-2.5-1.8
20	GUNR2	[GUNR2-01]	50	39.658	-76.8139	Indian Run	0.35	0.008	0.043	0.522	0.028	0.048	35-0.8-4.3-52.2-2.8-4.8
23	SUSR4	[SUSR4-001]	100	39.6481	-76.4454	Rock Hollow Run	0.131	0.021	0.022	0.744	0.06	0.022	13.1-2.1-2.2-74.4-6-2.2
24	SUSR5	[SUSR5-001]	50	39.6295	-76.4209	Kellogg Branch	0.178	0.009	0.007	0.786	0.012	0.008	17.8-0.9-0.7-78.6-1.2-0.8
25	SUSR6	[SUSR6-001]	50	39.6438	-76.479	Spooners Creek	0.135	0.023	0.018	0.77	0.039	0.015	13.5-2.3-1.8-77-3.9-1.5
26	CATO1	[CATO1-01]	47	39.6349	-77.4789	Big Hunting Creek	0.122	0.007	0.006	0.849	0.006	0.009	12.2-0.7-0.6-84.9-0.6-0.9
27	CATO2	[CATO2-01]	49	39.6632	-77.4804	Owens Creek	0.015	0.006	0.011	0.953	0.005	0.009	1.5-0.6-1.1-95.3-0.5-0.9
28	CATO3	[CATO3-01]	32	39.6363	-77.45	Still Creek	0.095	0.032	0.008	0.814	0.019	0.032	9.5-3.2-0.8-81.4-1.9-3.2
29	CATO4	[CATO4-01]	38	39.5432	-77.4647	Right Fork Fishing Creek	0.015	0.02	0.012	0.938	0.007	0.008	1.5-2-1.2-93.8-0.7-0.8
30	CATO5	[CATO5-01]	48	39.5327	-77.4752	Left Fork Fishing Creek	0.012	0.01	0.006	0.944	0.009	0.018	1.2-1-0.6-94.4-0.9-1.8
31	POMR1	[POMR1-01]	47	39.4734	-77.4152	Tuscarora Creek	0.076	0.017	0.007	0.865	0.019	0.016	7.6-1.7-0.7-86.5-1.9-1.6
32	BearCreek	[VA05-001]	20	36.737334	-80.58159	Bear Creek	0.005	0.02	0.009	0.006	0.926	0.033	0.5-2-0.9-0.6-92.6-3.3
33	BigReedIslandCr	[VA07-001]	20	36.674994	-80.521569	Big Reed Island Creek	0.032	0.03	0.024	0.015	0.868	0.031	3.2-3-2.4-1.5-86.8-3.1
35	EFDryRun	[VA09-001]	20	36.771983	-81.164966	EF Dry Run	0.009	0.045	0.003	0.014	0.906	0.022	0.9-4.5-0.3-1.4-90.6-2.2
37	NFStonyCreek	[VA11-002]	19	37.43226	-80.553248	NF Stony Creek	0.013	0.023	0.006	0.006	0.867	0.085	1.3-2.3-0.6-0.6-86.7-8.5
38	OHCK1	[OHCK1-01]	25	38.23711	-80.34118	Byrd Branch	0.339	0.011	0.013	0.013	0.561	0.062	33.9-1.1-1.3-1.3-56.1-6.2
39	OHCK2	[OHCK2-01]	49	38.24175	-80.37169	Dogway Fork	0.425	0.014	0.013	0.016	0.453	0.079	42.5-1.4-1.3-1.6-45.3-7.9
40	OHGK1	[OHGK1-01]	50	38.58315	-79.66737	Walderman Run	0.066	0.021	0.017	0.098	0.786	0.012	6.6-2.1-1.7-9.8-78.6-1.2
41	OHGK2	[OHGK2-01]	49	38.39899	-79.74983	Sutton Run	0.005	0.009	0.005	0.007	0.952	0.022	0.5-0.9-0.5-0.7-95.2-2.2
42	OHGK3	[OHGK3-001]	27	38.65128	-79.65491	EF Greenbrier Headwater	0.102	0.012	0.026	0.231	0.583	0.046	10.2-1.2-2.6-23.1-58.3-4.6
43	OHGK4	[OHGK4-001]	30	38.62221	-79.68543	Mullenox Run	0.058	0.018	0.018	0.17	0.721	0.014	5.8-1.8-1.8-17-72.1-1.4
44	OHGK5	[OHGK5-001]	23	38.61545	-79.67927	Abes Run	0.041	0.032	0.013	0.123	0.763	0.028	4.1-3.2-1.3-12.3-76.3-2.8
45	OHGK6	[OHGK6-001]	19	38.57618	-79.70156	Long Run	0.092	0.015	0.022	0.04	0.812	0.02	9.2-1.5-2.2-4-81.2-2
46	OHGK7	[OHGK7-001]	22	38.51356	-79.7221	Little River	0.056	0.008	0.02	0.032	0.873	0.011	5.6-0.8-2-3.2-87.3-1.1
47	OHGK8	[OHGK8-001]	29	37.96923	-80.29571	Laurel Run	0.896	0.005	0.004	0.005	0.075	0.015	89.6-0.5-0.4-0.5-7.5-1.5
49	OHGN1	[OHGN1-001]	30	38.2026	-80.37271	NF Cherry River	0.137	0.013	0.008	0.01	0.755	0.077	13.7-1.3-0.8-1-75.5-7.7
51	OHNK1	[OHNK1-001]	30	37.91433	-81.02081	Buffalo Creek	0.236	0.036	0.016	0.018	0.662	0.032	23.6-3.6-1.6-1.8-66.2-3.2
52	OHNK10	[WRC134-001]	20	36.4267603	-81.453945	Ezra Fork	0.06	0.024	0.014	0.015	0.876	0.011	6-2.4-1.4-1.5-87.6-1.1
53	OHNK11	[WRC137-001]	20	36.4493635	-81.0835415	Glade Creek	0.044	0.02	0.006	0.007	0.908	0.016	4.4-2-0.6-0.7-90.8-1.6
54	OHNK12	[WRC144-001]	20	36.5569233	-81.6234242	Little Horse Creek	0.004	0.011	0.014	0.006	0.893	0.072	0.4-1.1-1.4-0.6-89.3-7.2
55	OHNK13	[WRC146-001]	20	36.3196431	-81.6919865	Meat Camp Creek	0.014	0.059	0.005	0.006	0.863	0.052	1.4-5.9-0.5-0.6-86.3-5.2
57	OHNK15	[WRC151-001]	20	36.3279872	-81.6367979	Pine Orchard Creek	0.005	0.016	0.005	0.005	0.942	0.027	0.5-1.6-0.5-0.5-94.2-2.7
58	OHNK16	[WRC153-001]	20	36.4215314	-81.2530259	Reeves Branch	0.164	0.011	0.012	0.012	0.765	0.036	16.4-1.1-1.2-1.2-76.5-3.6
60	OHNK18	[WRC165-001]	20	36.255907	-81.7003412	Trivett Branch	0.009	0.013	0.011	0.008	0.876	0.082	0.9-1.3-1.1-0.8-87.6-8.2
61	OHNK19	[WRC167-001]	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0.003	0.007	0.009	0.005	0.962	0.014	0.3-0.7-0.9-0.5-96.2-1.4
63	OHNK20	[WRC168-001]	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.176	0.007	0.008	0.043	0.703	0.063	17.6-0.7-0.8-4.3-70.3-6.3
64	OHNK21	[WRC172-001]	20	36.4275894	-81.285759	UT Cranberry Creek	0.02	0.008	0.022	0.011	0.929	0.009	2-0.8-2.2-1.1-92.9-0.9
65	OHNK22	[WRC177-001]	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.03	0.021	0.007	0.009	0.845	0.089	3-2.1-0.7-0.9-84.5-8.9
66	OHNK23	[WRC180-001]	20	36.3346989	-81.5191582	UT Old Fields Creek	0.032	0.008	0.005	0.008	0.923	0.023	3.2-0.8-0.5-0.8-92.3-2.3
67	OHNK24	[WRC181-001]	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.008	0.008	0.047	0.007	0.92	0.01	0.8-0.8-4.7-0.7-92-1
68	OHNK25	[WRC184-001]	20	36.3238544	-81.4823595	UT South Fork New River	0.01	0.014	0.017	0.008	0.942	0.009	1-1.4-1.7-0.8-94.2-0.9
69	OHNK26	[WRC186-001]	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.004	0.017	0.008	0.006	0.952	0.013	0.4-1.7-0.8-0.6-95.2-1.3
70	OHNK27	[WRC188-001]	20	36.2837895	-81.4703543	Wolfpen Creek	0.004	0.012	0.005	0.004	0.94	0.035	0.4-1.2-0.5-0.4-94-3.5
72	OHNK29	[WRC127-001]	20	36.1556403	-81.6500868	Brown Branch	0.238	0.008	0.005	0.011	0.716	0.022	23.8-0.8-0.5-1.1-71.6-2.2
75	OHNK31	[WRC129-001]	20	36.4408513	-81.4916861	Claybank Creek	0.045	0.019	0.01	0.009	0.885	0.031	4.5-1.9-1-0.9-88.5-3.1
76	OHNK32	[WRC131-001]	20	36.242154	-81.686784	Doe Fork	0.004	0.049	0.006	0.004	0.897	0.041	0.4-4.9-0.6-0.4-89.7-4.1
