ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	Data
1	PFBNC143	[WRC061-001]	20	35.12013	-82.75003	Murr Creek	0.013	0.065	0.711	0.036	0.009	0.062	0.104	1.3-6.5-71.1-3.6-0.9-6.2-10.4
3	OHCM1	[OHCM1-1001]	152	38.6031	-79.8815	Shavers Fork, Segs 1-10	0.006	0.012	0.907	0.005	0.004	0.055	0.011	0.6-1.2-90.7-0.5-0.4-5.5-1.1
4	OHCM2	[OHCM2-01]	20	38.6023	-79.9109	Lambert Run	0.006	0.037	0.697	0.004	0.004	0.242	0.01	0.6-3.7-69.7-0.4-0.4-24.2-1
5	OHCM3	[OHCM3-01]	30	38.55	-79.895	First Fork	0.005	0.006	0.923	0.007	0.003	0.044	0.01	0.5-0.6-92.3-0.7-0.3-4.4-1
6	OHCM4	[OHCM4-01]	27	38.5415	-79.9487	Buck Run	0.006	0.006	0.968	0.003	0.004	0.006	0.008	0.6-0.6-96.8-0.3-0.4-0.6-0.8
7	OHCM5	[OHCM5-01]	26	38.5619	-79.9276	Black Run	0.006	0.01	0.936	0.004	0.013	0.013	0.018	0.6-1-93.6-0.4-1.3-1.3-1.8
8	OHCM6	[OHCM6-01]	33	38.4857	-79.9663	Rocky Run 1	0.005	0.008	0.956	0.004	0.005	0.014	0.009	0.5-0.8-95.6-0.4-0.5-1.4-0.9
9	OHCM7	[OHCM7-01]	31	38.4868	-79.9753	Rocky Run 2	0.006	0.009	0.958	0.004	0.005	0.011	0.008	0.6-0.9-95.8-0.4-0.5-1.1-0.8
10	OHCM8	[OHCM8-101]	52	38.4974	-79.9298	2nd Fork, Segs. 7,8,10	0.004	0.005	0.972	0.004	0.004	0.004	0.006	0.4-0.5-97.2-0.4-0.4-0.4-0.6
11	OHTM1	[OHTM1-01]	50	38.7345	-79.9089	Shavers Run	0.009	0.221	0.135	0.004	0.044	0.012	0.575	0.9-22.1-13.5-0.4-4.4-1.2-57.5
12	OHYM1	[OHYM1-01]	49	39.7148	-79.2305	Puzzley Run	0.008	0.224	0.209	0.013	0.018	0.238	0.29	0.8-22.4-20.9-1.3-1.8-23.8-29
13	OHYM2	[OHYM2-01]	49	39.4016	-79.3043	Boiling Springs	0.021	0.367	0.18	0.02	0.010	0.289	0.113	2.1-36.7-18-2-1-28.9-11.3
14	OHYM3	[OHYM3-01]	49	39.6588	-79.2739	Little Bear Creek	0.010	0.17	0.225	0.008	0.012	0.238	0.337	1-17-22.5-0.8-1.2-23.8-33.7
15	OHYM4	[OHYM4-001]	30	39.6329	-79.2252	Casselman River	0.009	0.452	0.112	0.009	0.014	0.047	0.356	0.9-45.2-11.2-0.9-1.4-4.7-35.6
16	GA06	[GA06-001]	30	34.796427	-83.78574	Upper Chattahoochee River	0.015	0.006	0.004	0.014	0.869	0.086	0.006	1.5-0.6-0.4-1.4-86.9-8.6-0.6
17	GA07	[GA07-001]	30	34.764654	-83.804072	Low Gap Creek	0.006	0.004	0.003	0.003	0.978	0.002	0.004	0.6-0.4-0.3-0.3-97.8-0.2-0.4
18	GA21	[GA21-001]	30	34.79557	-83.653437	Left Fork Soque River	0.005	0.004	0.004	0.003	0.978	0.003	0.004	0.5-0.4-0.4-0.3-97.8-0.3-0.4
19	GUNR1	[GUNR1-01]	50	39.5981	-76.6531	Panther Branch	0.021	0.551	0.056	0.028	0.015	0.306	0.023	2.1-55.1-5.6-2.8-1.5-30.6-2.3
20	GUNR2	[GUNR2-01]	50	39.658	-76.8139	Indian Run	0.005	0.518	0.022	0.041	0.043	0.329	0.04	0.5-51.8-2.2-4.1-4.3-32.9-4
23	SUSR4	[SUSR4-001]	100	39.6481	-76.4454	Rock Hollow Run	0.054	0.714	0.039	0.019	0.019	0.122	0.032	5.4-71.4-3.9-1.9-1.9-12.2-3.2
24	SUSR5	[SUSR5-001]	50	39.6295	-76.4209	Kellogg Branch	0.021	0.779	0.015	0.006	0.008	0.166	0.005	2.1-77.9-1.5-0.6-0.8-16.6-0.5
25	SUSR6	[SUSR6-001]	50	39.6438	-76.479	Spooners Creek	0.102	0.709	0.029	0.017	0.010	0.123	0.009	10.2-70.9-2.9-1.7-1-12.3-0.9
26	CATO1	[CATO1-01]	47	39.6349	-77.4789	Big Hunting Creek	0.004	0.849	0.016	0.006	0.008	0.11	0.007	0.4-84.9-1.6-0.6-0.8-11-0.7
27	CATO2	[CATO2-01]	49	39.6632	-77.4804	Owens Creek	0.007	0.954	0.005	0.01	0.008	0.013	0.003	0.7-95.4-0.5-1-0.8-1.3-0.3
28	CATO3	[CATO3-01]	32	39.6363	-77.45	Still Creek	0.017	0.809	0.027	0.007	0.028	0.091	0.02	1.7-80.9-2.7-0.7-2.8-9.1-2
29	CATO4	[CATO4-01]	38	39.5432	-77.4647	Right Fork Fishing Creek	0.015	0.938	0.01	0.011	0.007	0.013	0.006	1.5-93.8-1-1.1-0.7-1.3-0.6
30	CATO5	[CATO5-01]	48	39.5327	-77.4752	Left Fork Fishing Creek	0.011	0.941	0.007	0.005	0.017	0.011	0.008	1.1-94.1-0.7-0.5-1.7-1.1-0.8
31	POMR1	[POMR1-01]	47	39.4734	-77.4152	Tuscarora Creek	0.013	0.857	0.026	0.007	0.013	0.07	0.015	1.3-85.7-2.6-0.7-1.3-7-1.5
32	BearCreek	[VA05-001]	20	36.737334	-80.58159	Bear Creek	0.009	0.005	0.012	0.007	0.020	0.005	0.943	0.9-0.5-1.2-0.7-2-0.5-94.3
33	BigReedIslandCr	[VA07-001]	20	36.674994	-80.521569	Big Reed Island Creek	0.013	0.024	0.042	0.02	0.023	0.032	0.846	1.3-2.4-4.2-2-2.3-3.2-84.6
35	EFDryRun	[VA09-001]	20	36.771983	-81.164966	EF Dry Run	0.008	0.007	0.16	0.003	0.015	0.008	0.798	0.8-0.7-16-0.3-1.5-0.8-79.8
37	NFStonyCreek	[VA11-002]	19	37.43226	-80.553248	NF Stony Creek	0.017	0.004	0.006	0.004	0.035	0.011	0.922	1.7-0.4-0.6-0.4-3.5-1.1-92.2
38	OHCK1	[OHCK1-01]	25	38.23711	-80.34118	Byrd Branch	0.081	0.018	0.024	0.014	0.059	0.335	0.469	8.1-1.8-2.4-1.4-5.9-33.5-46.9
39	OHCK2	[OHCK2-01]	49	38.24175	-80.37169	Dogway Fork	0.052	0.017	0.019	0.012	0.066	0.421	0.412	5.2-1.7-1.9-1.2-6.6-42.1-41.2
40	OHGK1	[OHGK1-01]	50	38.58315	-79.66737	Walderman Run	0.132	0.113	0.052	0.015	0.015	0.064	0.609	13.2-11.3-5.2-1.5-1.5-6.4-60.9
41	OHGK2	[OHGK2-01]	49	38.39899	-79.74983	Sutton Run	0.022	0.008	0.027	0.004	0.019	0.005	0.915	2.2-0.8-2.7-0.4-1.9-0.5-91.5
42	OHGK3	[OHGK3-001]	27	38.65128	-79.65491	EF Greenbrier Headwater	0.057	0.251	0.029	0.028	0.046	0.099	0.49	5.7-25.1-2.9-2.8-4.6-9.9-49
43	OHGK4	[OHGK4-001]	30	38.62221	-79.68543	Mullenox Run	0.085	0.179	0.064	0.019	0.021	0.054	0.578	8.5-17.9-6.4-1.9-2.1-5.4-57.8
44	OHGK5	[OHGK5-001]	23	38.61545	-79.67927	Abes Run	0.125	0.132	0.081	0.013	0.037	0.043	0.57	12.5-13.2-8.1-1.3-3.7-4.3-57
45	OHGK6	[OHGK6-001]	19	38.57618	-79.70156	Long Run	0.047	0.046	0.067	0.02	0.022	0.092	0.706	4.7-4.6-6.7-2-2.2-9.2-70.6
46	OHGK7	[OHGK7-001]	22	38.51356	-79.7221	Little River	0.024	0.032	0.009	0.021	0.012	0.057	0.846	2.4-3.2-0.9-2.1-1.2-5.7-84.6
47	OHGK8	[OHGK8-001]	29	37.96923	-80.29571	Laurel Run	0.016	0.005	0.007	0.004	0.015	0.896	0.058	1.6-0.5-0.7-0.4-1.5-89.6-5.8
49	OHGN1	[OHGN1-001]	30	38.2026	-80.37271	NF Cherry River	0.084	0.012	0.023	0.008	0.091	0.142	0.64	8.4-1.2-2.3-0.8-9.1-14.2-64
51	OHNK1	[OHNK1-001]	30	37.91433	-81.02081	Buffalo Creek	0.027	0.017	0.067	0.013	0.024	0.231	0.621	2.7-1.7-6.7-1.3-2.4-23.1-62.1
52	OHNK10	[WRC134-001]	20	36.4267603	-81.453945	Ezra Fork	0.008	0.012	0.021	0.009	0.008	0.058	0.885	0.8-1.2-2.1-0.9-0.8-5.8-88.5
53	OHNK11	[WRC137-001]	20	36.4493635	-81.0835415	Glade Creek	0.013	0.014	0.043	0.006	0.012	0.047	0.865	1.3-1.4-4.3-0.6-1.2-4.7-86.5
54	OHNK12	[WRC144-001]	20	36.5569233	-81.6234242	Little Horse Creek	0.009	0.006	0.009	0.008	0.048	0.004	0.915	0.9-0.6-0.9-0.8-4.8-0.4-91.5
55	OHNK13	[WRC146-001]	20	36.3196431	-81.6919865	Meat Camp Creek	0.088	0.007	0.017	0.006	0.039	0.013	0.831	8.8-0.7-1.7-0.6-3.9-1.3-83.1
57	OHNK15	[WRC151-001]	20	36.3279872	-81.6367979	Pine Orchard Creek	0.015	0.005	0.009	0.004	0.016	0.005	0.948	1.5-0.5-0.9-0.4-1.6-0.5-94.8
58	OHNK16	[WRC153-001]	20	36.4215314	-81.2530259	Reeves Branch	0.010	0.014	0.027	0.007	0.036	0.166	0.739	1-1.4-2.7-0.7-3.6-16.6-73.9
60	OHNK18	[WRC165-001]	20	36.255907	-81.7003412	Trivett Branch	0.018	0.008	0.025	0.012	0.062	0.007	0.867	1.8-0.8-2.5-1.2-6.2-0.7-86.7
61	OHNK19	[WRC167-001]	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0.011	0.004	0.005	0.005	0.008	0.003	0.964	1.1-0.4-0.5-0.5-0.8-0.3-96.4
63	OHNK20	[WRC168-001]	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.014	0.07	0.117	0.007	0.046	0.163	0.583	1.4-7-11.7-0.7-4.6-16.3-58.3
64	OHNK21	[WRC172-001]	20	36.4275894	-81.285759	UT Cranberry Creek	0.011	0.01	0.017	0.019	0.010	0.017	0.916	1.1-1-1.7-1.9-1-1.7-91.6
65	OHNK22	[WRC177-001]	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.029	0.008	0.006	0.005	0.041	0.027	0.884	2.9-0.8-0.6-0.5-4.1-2.7-88.4
66	OHNK23	[WRC180-001]	20	36.3346989	-81.5191582	UT Old Fields Creek	0.022	0.008	0.02	0.004	0.016	0.034	0.895	2.2-0.8-2-0.4-1.6-3.4-89.5
67	OHNK24	[WRC181-001]	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.009	0.007	0.007	0.04	0.008	0.007	0.923	0.9-0.7-0.7-4-0.8-0.7-92.3
68	OHNK25	[WRC184-001]	20	36.3238544	-81.4823595	UT South Fork New River	0.026	0.007	0.007	0.008	0.006	0.008	0.938	2.6-0.7-0.7-0.8-0.6-0.8-93.8
69	OHNK26	[WRC186-001]	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.014	0.005	0.016	0.005	0.007	0.004	0.949	1.4-0.5-1.6-0.5-0.7-0.4-94.9
70	OHNK27	[WRC188-001]	20	36.2837895	-81.4703543	Wolfpen Creek	0.008	0.003	0.011	0.004	0.013	0.003	0.958	0.8-0.3-1.1-0.4-1.3-0.3-95.8
72	OHNK29	[WRC127-001]	20	36.1556403	-81.6500868	Brown Branch	0.009	0.01	0.006	0.004	0.014	0.217	0.739	0.9-1-0.6-0.4-1.4-21.7-73.9
75	OHNK31	[WRC129-001]	20	36.4408513	-81.4916861	Claybank Creek	0.032	0.012	0.019	0.01	0.028	0.047	0.852	3.2-1.2-1.9-1-2.8-4.7-85.2
76	OHNK32	[WRC131-001]	20	36.242154	-81.686784	Doe Fork	0.010	0.004	0.008	0.004	0.015	0.003	0.956	1-0.4-0.8-0.4-1.5-0.3-95.6
77	OHNK33	[WRC133-001]	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.100	0.129	0.049	0.005	0.026	0.32	0.37	10-12.9-4.9-0.5-2.6-32-37
78	OHNK34	[WRC135-001]	20	36.4266562	-81.4539442	Ezra Fork	0.008	0.022	0.026	0.007	0.008	0.021	0.908	0.8-2.2-2.6-0.7-0.8-2.1-90.8
79	OHNK35	[WRC136-001]	20	36.2409489	-81.538227	Gap Creek	0.026	0.011	0.016	0.013	0.018	0.018	0.899	2.6-1.1-1.6-1.3-1.8-1.8-89.9
81	OHNK37	[WRC139-001]	19	36.371606	-81.712475	Hoskins Fork	0.024	0.093	0.013	0.019	0.074	0.27	0.507	2.4-9.3-1.3-1.9-7.4-27-50.7
