ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	Data
819	Armstrong	[Armstrong-01]	50	1.08	1	Hatchery	0.004	0.011	0.003	0.005	0.005	0.967	0.004	0.4-1.1-0.3-0.5-0.5-96.7-0.4
820	Bellefonte	[HATC8-01]	31	1.08	1.02	Hatchery	0.022	0.144	0.015	0.019	0.007	0.783	0.009	2.2-14.4-1.5-1.9-0.7-78.3-0.9
821	Berlin	[HATC10-001]	50	1.07	1	Hatchery	0.003	0.005	0.003	0.003	0.003	0.981	0.002	0.3-0.5-0.3-0.3-0.3-98.1-0.2
822	Big Hill Pond	[HATC5-01]	55	1.07	1.02	Hatchery	0.014	0.562	0.029	0.015	0.019	0.347	0.014	1.4-56.2-2.9-1.5-1.9-34.7-1.4
823	Edray	[HATC9-01]	21	1.06	1	Hatchery	0.008	0.004	0.005	0.003	0.008	0.968	0.004	0.8-0.4-0.5-0.3-0.8-96.8-0.4
824	Hyde Pond	[HATC3-01]	35	1.06	1.02	Hatchery	0.004	0.298	0.01	0.007	0.008	0.67	0.004	0.4-29.8-1-0.7-0.8-67-0.4
825	Milford 1	[HATC11-001]	50	1.05	1	Hatchery	0.003	0.004	0.002	0.003	0.003	0.983	0.002	0.3-0.4-0.2-0.3-0.3-98.3-0.2
826	Milford 2	[HATC12-001]	50	1.05	1.02	Hatchery	0.003	0.005	0.004	0.003	0.003	0.98	0.002	0.3-0.5-0.4-0.3-0.3-98-0.2
827	Milford 3	[HATC13-001]	50	1.04	1	Hatchery	0.003	0.004	0.002	0.003	0.003	0.983	0.002	0.3-0.4-0.2-0.3-0.3-98.3-0.2
828	Mountain Pond	[HATC4-01]	31	1.04	1.02	Hatchery	0.008	0.117	0.029	0.01	0.030	0.801	0.005	0.8-11.7-2.9-1-3-80.1-0.5
829	Paint Bank	[PaintBank-01]	50	1.03	1	Hatchery	0.043	0.152	0.043	0.01	0.013	0.73	0.009	4.3-15.2-4.3-1-1.3-73-0.9
830	Pequest	[HATC7-01]	20	1.03	1.02	Hatchery	0.017	0.249	0.021	0.009	0.009	0.687	0.008	1.7-24.9-2.1-0.9-0.9-68.7-0.8
831	Phillips	[HATC1-001]	60	1.02	1	Hatchery	0.003	0.067	0.023	0.011	0.003	0.889	0.005	0.3-6.7-2.3-1.1-0.3-88.9-0.5
832	Pisgah	[Pisgah-01]	50	1.02	1.02	Hatchery	0.004	0.006	0.004	0.008	0.005	0.969	0.004	0.4-0.6-0.4-0.8-0.5-96.9-0.4
833	Randolph	[DS03-001]	30	1.01	1	Hatchery	0.003	0.004	0.003	0.003	0.003	0.983	0.003	0.3-0.4-0.3-0.3-0.3-98.3-0.3
834	Rome	[HATC6-01]	50	1.01	1.02	Hatchery	0.003	0.003	0.003	0.003	0.003	0.984	0.002	0.3-0.3-0.3-0.3-0.3-98.4-0.2
835	Sandwich	[HATC2-001]	37	1	1	Hatchery	0.016	0.025	0.01	0.005	0.006	0.93	0.007	1.6-2.5-1-0.5-0.6-93-0.7
836	Tellico	[TN06-001]	68	1	1.02	Hatchery	0.558	0.004	0.013	0.005	0.182	0.005	0.233	55.8-0.4-1.3-0.5-18.2-0.5-23.3
