state	county	town	dot_district	huc12_name	ej_criteria	unique_id	featureid
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	0	201473434
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	1	201473434
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	2	201473435
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	3	201473435
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	4	201473448
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	5	201473554
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	6	201473449
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	7	201473555
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	8	201473682
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	9	201473683
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	10	201473794
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	10	201473794
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	11	201473794
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	11	201473794
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	12	201473794
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	12	201473794
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	13	201473794
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	14	201473794
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	15	201473794
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	16	201473795
Vermont	Windham	Sunderland	VT-1	East Branch Deerfield River	None	17	201473806
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	17	201473806
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	17	201473806
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	17	201473806
Vermont	Windham	Sunderland	VT-1	East Branch Deerfield River	None	18	201473826
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	18	201473826
Vermont	Bennington	Sunderland	VT-1	East Branch Deerfield River	None	18	201473826
Vermont	Bennington	Stratton	VT-1	East Branch Deerfield River	None	18	201473826
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	19	201473815
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	20	201474006
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	21	201473815
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	22	201473846
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	23	201473846
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	24	201473847
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	25	201473847
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	26	201473895
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	27	201473895
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	28	201473895
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	29	201473896
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	30	201473896
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	31	201473896
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	32	201474006
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	33	201474006
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	34	201474006
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	35	201474006
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	36	201474006
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	37	201474006
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	38	201474093
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	39	201474007
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	40	201474132
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	41	201474114
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	42	201474113
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	43	201474132
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	44	201474132
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	45	201474376
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	45	201474376
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	46	201474169
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	47	201474168
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	48	201474169
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	49	201474169
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	50	201474179
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	51	201474184
Vermont	Windham	Stratton	VT-1	Headwaters Deerfield River	None	52	201474332
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	52	201474332
Vermont	Windham	Stratton	VT-1	Headwaters Deerfield River	None	53	201474333
Vermont	Windham	Stratton	VT-1	Headwaters Deerfield River	None	54	201474333
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	54	201474333
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	55	201474375
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	55	201474375
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	56	201474387
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	57	201474532
Vermont	Windham	Stratton	VT-1	Headwaters Deerfield River	None	58	201474400
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	58	201474400
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	59	201474401
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	60	201474430
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	61	201474430
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	62	201474424
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	63	201474424
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	64	201474407
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	65	201474437
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	66	201474587
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	67	201474438
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	68	201474438
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	69	201474438
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	69	201474438
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	70	201474438
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	71	201474438
Vermont	Bennington	Sunderland	VT-1	Headwaters Deerfield River	None	72	201474460
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	72	201474460
Vermont	Bennington	Sunderland	VT-1	Headwaters Deerfield River	None	73	201474466
Vermont	Bennington	Glastenbury	VT-1	Headwaters Deerfield River	None	73	201474466
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	74	201474531
Vermont	Windham	Sunderland	VT-1	Headwaters Deerfield River	None	75	201474531
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	75	201474531
Vermont	Bennington	Sunderland	VT-1	Headwaters Deerfield River	None	75	201474531
Vermont	Bennington	Somerset	VT-1	Headwaters Deerfield River	None	75	201474531
Vermont	Windham	Sunderland	VT-1	Headwaters Deerfield River	None	76	201474531
Vermont	Windham	Somerset	VT-1	Headwaters Deerfield River	None	76	201474531
Vermont	Bennington	Sunderland	VT-1	Headwaters Deerfield River	None	76	201474531
Vermont	Bennington	Somerset	VT-1	Headwaters Deerfield River	None	76	201474531
Vermont	Windham	Dover	VT-1	North Branch Deerfield River	None	77	201474583
Vermont	Windham	Dover	VT-1	North Branch Deerfield River	None	78	201474584
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	79	201474588
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	80	201474588
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	81	201474588
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	81	201474588
Vermont	Windham	Dover	VT-1	East Branch Deerfield River	None	81	201474588
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	82	201474588
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	83	201474588
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	84	201474588
Vermont	Windham	Stratton	VT-1	East Branch Deerfield River	None	85	201474588
Vermont	Windham	Somerset	VT-1	East Branch Deerfield River	None	85	201474588
